time,semitone
1.773,71
1.784,71
1.794,71
1.805,71
1.816,71
1.827,71
1.837,71
1.848,71
1.859,71
1.869,71
1.88,71
1.891,71
1.902,71
1.912,71
1.923,71
1.934,71
1.944,71
1.955,71
1.966,71
1.977,71
1.987,71
1.998,71
2.009,71
2.019,71
2.03,71
2.041,71
2.052,71
2.062,71
2.073,71
2.084,71
2.094,71
2.105,71
2.116,71
2.127,71
2.137,71
2.148,71
2.159,71
2.169,71
2.18,71
2.191,71
2.202,71
2.212,71
2.223,71
2.234,71
2.244,71
2.255,71
2.266,71
2.277,71
2.287,71
2.298,71
2.309,71
2.319,71
2.33,71
2.341,71
2.352,71
2.362,71
2.373,71
2.491,71
2.502,71
2.512,71
2.523,71
2.534,71
2.544,71
2.555,71
2.566,71
2.577,71
2.587,71
2.598,71
2.609,71
2.619,71
2.63,71
2.641,71
2.652,71
2.662,71
2.673,71
2.684,71
2.694,71
2.705,71
2.716,71
2.727,71
2.737,71
2.748,71
2.759,71
2.769,71
2.78,71
2.791,71
2.802,71
2.812,71
2.823,71
2.834,71
2.844,71
2.855,71
2.866,71
2.877,71
2.887,71
2.898,71
2.909,71
2.919,71
2.93,71
2.941,71
2.952,71
2.962,71
2.973,71
2.984,71
2.994,71
3.005,71
3.016,71
3.027,71
3.037,71
3.048,71
3.059,71
3.069,71
3.08,71
3.091,71
3.102,71
3.112,71
3.284,71
3.294,71
3.305,71
3.316,71
3.327,71
3.337,71
3.348,71
3.359,71
3.369,71
3.38,71
3.391,71
3.402,71
3.412,71
3.423,71
3.434,71
3.444,71
3.455,71
3.466,71
3.477,71
3.487,71
3.498,71
3.509,71
3.519,71
3.53,71
3.541,71
3.552,71
3.562,71
3.573,71
3.584,71
3.594,71
3.605,71
3.616,71
3.627,71
3.637,71
3.648,71
3.659,71
3.669,71
3.68,71
3.691,71
3.702,71
3.712,71
3.723,71
3.734,71
3.744,73
3.755,73
3.766,73
3.777,73
3.787,73
3.798,73
3.809,73
3.819,73
3.83,73
3.841,73
3.852,73
3.862,73
3.873,73
3.884,73
3.894,73
3.905,73
3.916,73
3.927,73
3.937,73
3.948,73
3.959,73
3.969,73
3.98,73
3.991,73
4.002,73
4.012,73
4.023,73
4.034,73
4.044,73
4.055,73
4.066,73
4.077,73
4.087,73
4.098,73
4.109,73
4.119,73
4.184,75
4.194,75
4.205,75
4.216,75
4.227,75
4.237,75
4.248,75
4.259,75
4.269,75
4.28,75
4.291,75
4.302,75
4.312,75
4.323,75
4.334,75
4.344,75
4.355,75
4.366,75
4.377,75
4.387,75
4.398,75
4.409,75
4.419,75
4.43,75
4.441,75
4.452,75
4.462,75
4.473,75
4.484,75
4.494,75
4.505,63
4.516,63
4.527,63
4.537,63
4.548,63
4.559,63
4.569,63
4.58,63
4.591,63
4.602,63
4.612,63
