time,semitone
2.521,73
2.532,73
2.542,73
2.553,73
2.564,73
2.574,73
2.585,73
2.596,73
2.607,73
2.617,73
2.628,73
2.639,73
2.649,73
2.66,73
2.671,73
2.682,73
2.692,73
2.703,73
2.714,73
2.724,73
2.735,73
2.746,73
2.757,73
2.767,73
2.778,73
2.789,73
2.799,73
2.81,73
2.821,73
2.832,73
2.842,73
2.853,73
3.132,71
3.142,71
3.153,71
3.164,71
3.174,71
3.185,71
3.196,71
3.207,71
3.217,71
3.228,71
3.239,71
3.249,71
3.26,71
3.271,71
3.282,71
3.292,71
3.303,71
3.314,71
3.324,71
3.335,71
3.346,71
3.357,71
3.367,71
3.378,71
3.389,71
3.399,71
3.41,71
3.421,71
3.432,71
3.442,71
3.699,68
3.71,69
3.721,69
3.732,69
3.742,69
3.753,69
3.764,69
3.774,69
3.785,69
3.796,69
3.807,69
3.817,69
3.828,69
3.839,69
3.849,69
3.86,69
3.871,69
3.882,69
3.892,69
3.903,69
3.914,69
3.924,69
3.935,69
3.946,69
3.957,69
3.967,69
3.978,69
3.989,69
3.999,69
4.01,69
4.021,69
4.032,69
4.042,69
4.053,69
4.064,69
4.074,69
4.085,69
4.096,69
4.107,69
4.599,68
4.61,68
4.621,68
4.632,68
4.642,68
4.653,68
4.664,68
4.674,68
4.685,68
4.696,68
4.707,68
4.717,68
4.728,68
4.739,68
4.749,68
4.76,68
4.771,68
4.782,68
4.792,68
4.803,68
4.814,68
4.824,68
4.835,68
4.846,68
4.857,68
4.867,68
4.878,68
4.889,68
4.899,68
4.91,68
4.921,68
4.932,68
4.942,68
4.953,68
4.964,68
4.974,68
4.985,68
4.996,68
5.007,68
5.017,68
5.028,68
5.039,68
5.049,68
5.542,69
5.553,69
5.564,69
5.574,69
5.585,69
5.596,69
5.607,69
5.617,69
5.628,69
5.639,69
5.649,69
5.66,69
5.671,69
5.682,69
5.692,69
5.703,69
5.714,69
5.724,69
5.735,69
5.746,69
5.757,69
5.767,69
5.778,69
5.789,69
5.799,69
5.81,69
5.821,69
5.832,69
5.842,69
5.853,69
5.864,69
5.874,69
5.885,69
5.896,69
5.907,69
5.917,69
5.928,69
5.939,69
5.949,69
5.96,69
6.432,73
6.442,73
6.453,73
6.464,73
6.474,73
6.485,73
6.496,73
6.507,73
6.517,73
6.528,73
6.539,73
6.549,73
6.56,73
6.571,73
6.582,73
6.592,73
6.603,73
6.614,73
6.624,73
6.635,73
6.646,73
6.657,73
6.667,73
6.678,73
6.689,73
6.699,73
6.71,73
6.721,73
6.732,73
8.124,73
8.135,73
8.146,73
8.157,73
8.167,73
8.178,73
8.189,73
8.199,73
8.21,73
8.221,73
8.232,73
8.242,73
8.253,73
8.264,73
8.274,73
8.285,73
8.296,73
8.307,73
8.317,73
8.328,73
8.339,73
8.349,73
8.36,73
8.371,73
8.382,73
8.392,73
8.403,73
8.414,73
8.424,73
8.435,73
8.821,71
8.832,71
8.842,71
8.853,71
8.864,71
8.874,71
8.885,71
8.896,71
8.907,71
8.917,71
8.928,71
8.939,71
8.949,71
8.96,71
8.971,71
8.982,71
8.992,71
9.003,71
9.014,71
9.024,71
9.035,71
9.046,71
9.057,71
9.067,71
9.078,71
9.089,71
9.099,71
9.11,71
9.121,71
9.132,71
9.421,69
9.432,69
9.442,69
9.453,69
9.464,69
9.474,69
9.485,69
9.496,69
9.507,69
9.517,69
9.528,69
9.539,69
9.549,69
9.56,69
9.571,69
9.582,69
9.592,69
9.603,69
9.614,69
9.624,69
9.635,69
9.646,69
9.657,69
9.667,69
9.678,69
9.689,69
9.699,69
9.71,69
9.721,69
9.732,69
9.742,69
9.753,69
9.764,69
9.774,69
9.785,69
9.796,69
9.807,69
9.817,69
10.224,68
10.235,68
10.246,68
10.257,68
10.267,68
10.278,68
10.289,68
10.299,68
10.31,68
10.321,68
10.332,68
10.342,68
10.353,68
10.364,68
10.374,68
10.385,68
10.396,68
10.407,68
10.417,68
10.428,68
10.439,68
10.449,68
10.46,68
10.471,68
10.482,68
10.492,68
10.503,68
10.514,68
10.524,68
10.535,68
10.546,68
10.557,68
10.567,68
10.578,68
10.589,68
10.599,68
10.61,68
10.621,68
10.632,68
10.642,68
10.653,68
11.114,69
11.124,69
11.135,69
11.146,69
11.157,69
11.167,69
11.178,69
11.189,69
11.199,69
11.21,69
11.221,69
11.232,69
11.242,69
11.253,69
11.264,69
11.274,69
11.285,69
11.296,69
11.307,69
11.317,69
11.328,69
11.339,69
11.349,69
11.36,69
11.371,69
11.382,69
11.392,69
11.403,69
11.414,69
11.424,69
11.435,69
11.446,69
11.457,69
11.467,69
11.478,69
11.489,69
11.499,69
11.51,69
12.024,84
12.035,83
12.046,82
12.057,81
12.067,81
12.078,81
12.089,81
12.099,81
12.11,81
12.121,81
12.132,81
12.142,81
12.153,81
12.164,81
12.174,81
12.185,81
12.196,81
12.207,81
12.217,81
12.228,81
12.239,81
12.249,81
12.26,81
