time,semitone
0.73,61
0.74,61
0.751,61
0.762,62
0.772,62
0.783,62
0.794,62
0.805,62
0.815,62
0.826,62
0.837,62
0.847,62
0.858,62
0.869,62
0.88,62
0.89,61
0.901,61
0.912,61
0.922,61
0.933,61
0.944,61
0.955,61
0.965,61
0.976,61
0.987,61
0.997,61
1.008,61
1.019,61
1.03,61
1.04,61
1.051,61
1.062,61
1.072,61
1.083,61
1.094,61
1.105,61
1.115,61
1.126,61
1.137,61
1.147,61
1.158,61
1.169,61
1.18,61
1.19,61
1.201,61
1.212,61
1.222,61
1.233,61
1.244,61
1.255,61
1.265,61
1.276,61
1.287,61
1.297,61
1.308,61
1.319,61
1.33,61
1.34,61
1.351,61
1.362,61
1.372,61
1.383,61
1.394,61
1.405,61
1.415,61
1.426,61
1.437,61
1.447,61
1.458,62
1.469,61
1.48,61
1.49,61
1.501,61
1.512,61
1.522,61
1.533,61
1.544,61
1.555,61
1.565,61
1.576,61
1.587,61
1.597,61
1.608,61
1.619,61
1.63,61
1.64,61
1.651,61
1.662,61
1.672,61
1.683,61
1.694,61
1.705,61
1.715,61
1.726,61
1.737,61
1.747,61
1.758,60
1.769,60
1.78,59
1.79,59
1.801,59
1.812,60
1.822,59
1.833,59
1.844,59
1.855,59
1.865,59
1.876,59
1.887,59
1.897,59
1.908,59
1.919,59
1.93,59
1.94,59
1.951,59
1.962,59
1.972,59
1.983,59
1.994,59
2.005,59
2.015,59
2.026,59
2.037,59
2.047,59
2.058,59
2.069,59
2.08,59
2.09,59
2.101,59
2.112,59
2.122,60
2.133,60
2.144,60
2.155,61
2.165,61
2.176,61
2.187,61
2.197,61
2.208,61
2.219,61
2.23,61
2.24,61
2.251,61
2.262,61
2.272,61
2.283,61
2.294,61
2.305,61
2.315,61
2.326,61
2.337,61
2.347,61
2.358,61
2.369,61
2.38,61
2.39,61
2.401,61
2.412,61
2.422,61
2.433,61
2.444,61
2.455,61
2.465,61
2.476,61
2.487,61
2.497,61
2.508,61
2.519,61
2.53,61
2.54,61
2.551,61
2.562,61
2.572,61
2.583,61
2.594,61
2.605,61
2.615,61
2.626,61
2.637,61
2.647,61
2.658,61
2.669,61
2.68,61
2.69,61
2.701,61
2.712,61
2.722,61
2.733,61
2.744,61
2.755,61
2.765,61
2.776,61
2.787,62
2.797,62
2.808,63
2.819,63
2.83,63
2.84,63
2.851,63
2.862,63
2.872,63
2.883,63
2.894,63
2.905,63
2.915,64
2.926,64
2.937,64
2.947,64
2.958,65
2.969,65
2.98,65
2.99,65
3.001,65
3.012,65
3.022,65
3.033,65
3.044,65
3.055,65
3.065,65
3.076,65
3.087,65
3.097,65
3.108,65
3.119,64
3.13,64
3.14,64
3.151,64
3.162,64
3.172,65
3.183,65
3.194,65
3.205,65
3.215,65
3.226,65
3.237,65
3.247,64
3.258,64
3.269,64
3.28,64
3.29,64
3.301,64
3.312,64
3.322,64
3.333,64
3.344,64
3.355,64
3.365,64
3.376,64
3.387,64
3.397,64
3.408,64
3.419,64
3.43,64
3.44,64
3.451,64
3.462,64
3.472,64
3.483,64
3.494,64
3.505,64
3.515,64
3.526,64
3.537,64
3.547,64
3.558,64
3.569,64
3.58,64
3.59,64
3.601,64
3.612,64
3.622,64
3.633,64
3.644,64
3.655,64
3.665,64
3.676,64
3.687,64
3.697,64
3.708,64
3.719,64
3.73,63
3.74,63
3.751,62
3.762,62
3.772,61
3.783,60
3.794,59
3.805,59
3.815,59
3.826,59
3.837,60
3.847,59
3.858,59
3.869,59
3.88,59
3.89,59
3.901,59
3.912,59
3.922,59
3.933,59
3.944,59
3.955,59
3.965,59
3.976,59
3.987,59
3.997,59
4.008,60
4.019,59
4.03,59
4.04,59
4.051,59
4.062,59
4.072,59
4.083,59
4.094,59
4.105,59
4.115,59
4.126,59
4.137,59
4.148,59
4.158,59
4.169,59
4.18,59
4.19,59
4.201,59
4.212,59
4.223,59
4.233,59
4.244,59
4.255,59
4.265,59
4.276,59
4.287,59
4.297,59
4.308,59
4.319,59
4.33,59
4.34,59
4.351,59
4.362,59
4.372,59
4.383,59
4.394,59
4.405,59
4.415,59
4.426,59
4.437,59
4.447,59
4.458,59
4.469,59
4.48,59
4.49,59
4.501,60
4.512,60
4.523,59
4.533,59
4.544,59
4.555,59
4.565,58
4.576,58
4.587,57
5.133,59
5.144,59
5.155,60
5.165,59
5.176,59
5.187,59
5.197,59
5.208,59
5.219,59
5.23,59
5.24,59
5.251,59
5.262,59
5.273,59
5.283,59
5.294,59
5.305,59
5.315,59
5.326,59
5.337,59
5.348,59
5.358,59
5.369,59
5.38,59
5.39,59
5.401,59
5.412,59
5.422,59
5.433,59
5.444,59
5.455,59
5.465,59
5.476,59
5.487,59
5.497,60
5.508,59
5.519,59
5.53,59
5.54,59
5.551,59
5.562,59
5.572,59
5.583,59
5.594,59
5.605,59
5.615,59
5.626,59
5.637,59
5.648,59
5.658,59
5.669,59
5.68,59
5.69,59
5.701,59
5.712,59
5.723,59
5.733,59
5.744,59
5.755,59
5.765,59
5.776,59
5.787,59
5.797,60
5.808,60
5.819,61
5.83,61
5.84,61
5.851,61
5.862,61
5.872,61
5.883,61
5.894,62
5.905,62
5.915,62
5.926,61
5.937,61
5.947,61
5.958,61
5.969,61
5.98,61
5.99,61
6.001,61
6.012,61
6.023,61
6.033,61
6.044,61
6.055,61
6.065,61
6.076,61
6.087,61
6.098,61
6.108,61
6.119,61
6.13,61
6.14,61
6.151,62
6.162,62
6.172,62
6.183,62
6.194,62
6.205,62
6.215,62
6.226,62
6.237,62
6.247,62
6.258,62
6.269,62
6.28,62
6.29,62
6.301,62
6.312,62
6.322,62
6.333,62
6.344,62
6.355,62
6.365,62
6.376,62
6.387,62
6.398,62
6.408,62
6.419,62
6.43,62
6.44,62
6.451,62
6.462,62
6.473,62
6.483,62
6.494,62
6.505,62
6.515,62
6.526,62
6.537,62
6.547,62
6.558,62
6.569,62
6.58,62
6.59,62
6.601,62
6.612,62
6.622,62
6.633,62
6.644,62
6.655,62
6.665,62
6.676,62
6.687,62
6.697,62
6.708,62
6.719,62
6.73,62
6.74,62
6.751,62
6.762,62
6.773,62
6.783,62
6.794,62
6.805,62
6.815,62
6.826,63
6.837,62
6.848,62
6.858,62
6.869,62
6.88,62
6.89,62
6.901,62
6.912,62
6.922,62
6.933,62
6.944,62
6.955,62
6.965,62
6.976,62
6.987,62
6.997,62
7.008,62
7.019,62
7.03,62
7.04,62
7.051,62
7.062,62
7.072,62
7.083,62
7.094,62
7.105,62
7.115,62
7.126,62
7.137,62
7.148,62
7.158,61
7.169,62
7.18,62
7.19,61
7.201,61
7.212,61
7.223,61
7.233,61
7.244,61
7.255,61
7.265,61
7.276,61
7.287,61
7.297,61
7.308,61
7.319,61
7.33,61
7.34,61
7.351,61
7.362,61
7.372,61
7.383,61
7.394,61
7.405,61
7.415,61
7.426,61
7.437,61
7.447,61
7.458,61
7.469,61
7.48,61
7.49,62
7.501,62
7.512,62
7.523,62
7.533,62
7.544,62
7.555,62
7.565,62
7.576,62
7.587,62
7.598,62
7.608,62
7.619,62
7.63,62
7.64,62
7.651,62
7.662,62
7.672,62
7.683,62
7.694,62
7.705,62
7.715,62
7.726,62
7.737,62
7.747,62
7.758,62
7.769,62
7.78,62
7.79,62
7.801,62
7.812,62
7.822,62
7.833,62
7.844,62
7.855,62
7.865,62
7.876,62
7.887,62
7.898,62
7.908,62
7.919,62
7.93,62
7.94,62
7.951,62
7.962,62
7.973,62
7.983,62
7.994,62
8.005,62
8.015,62
8.026,62
8.037,62
8.047,62
8.058,62
8.069,62
8.08,62
8.09,62
8.101,62
8.112,62
8.123,62
8.133,62
8.144,63
8.155,63
8.165,64
8.176,64
8.187,65
8.197,66
8.208,66
8.219,66
8.23,66
8.24,66
8.251,66
8.262,66
8.272,66
8.283,66
8.294,66
8.305,67
8.315,67
8.326,67
8.337,67
8.348,67
8.358,67
8.369,67
8.38,67
8.39,67
8.401,66
8.412,66
8.422,66
8.433,66
8.444,65
8.455,65
8.465,64
8.476,64
8.487,63
8.498,62
8.508,62
8.519,61
8.53,61
8.54,61
8.551,61
8.562,61
8.572,61
8.583,61
8.594,61
8.605,61
8.615,61
8.626,61
8.637,61
8.647,61
8.658,61
8.669,61
8.68,61
8.69,61
8.701,61
8.712,61
8.723,61
8.733,61
8.744,61
8.755,61
8.765,61
8.776,61
8.787,61
8.797,61
8.808,61
8.819,61
8.83,61
8.84,61
8.851,61
8.862,61
8.873,61
8.883,61
8.894,61
8.905,61
8.915,61
8.926,61
8.937,61
8.947,61
8.958,61
8.969,61
8.98,61
8.99,61
9.001,61
9.012,61
9.022,61
9.033,61
9.044,61
9.055,61
9.065,61
9.076,61
9.087,61
9.098,61
9.108,61
9.119,61
9.13,61
9.14,61
9.151,61
9.162,61
9.172,61
9.183,61
9.194,61
9.205,61
9.215,61
9.226,61
9.237,61
9.248,61
9.258,61
9.269,61
9.28,61
9.29,61
9.301,61
9.312,61
9.322,61
9.333,61
9.344,61
9.355,61
9.365,61
9.376,61
9.387,61
9.397,61
9.408,61
9.419,61
9.43,61
9.44,61
9.451,61
9.462,61
9.473,61
9.483,61
9.494,61
9.505,61
9.515,61
9.526,61
9.537,61
9.547,61
9.558,61
9.569,61
9.58,61
9.59,61
9.601,61
9.612,61
9.623,61
9.633,61
9.644,61
9.655,61
9.665,61
9.676,61
9.687,61
9.697,61
9.708,61
9.719,61
9.73,61
9.74,61
9.751,61
9.762,61
9.772,60
9.783,60
9.794,60
9.805,60
9.815,59
9.826,59
9.837,59
9.848,60
9.858,59
9.869,59
9.88,59
9.89,59
9.901,59
9.912,59
9.922,59
9.933,59
9.944,59
9.955,59
9.965,59
9.976,59
9.987,59
9.998,59
10.008,59
10.019,59
10.03,59
10.04,59
10.051,59
10.062,59
10.073,59
10.083,59
10.094,59
10.105,59
10.115,59
10.126,59
10.137,59
10.147,59
10.158,59
10.169,59
10.18,59
10.19,59
10.201,59
10.212,59
10.223,59
10.233,59
10.244,59
10.255,59
10.265,59
10.276,59
10.287,59
10.297,59
10.308,59
10.319,59
10.33,59
10.34,59
10.351,59
10.362,59
10.373,59
10.383,59
10.394,59
10.405,58
10.415,58
10.426,58
10.437,57
10.448,57
10.458,57
10.469,56
10.48,56
10.49,57
10.501,57
10.512,57
10.522,57
10.533,57
10.544,57
10.555,57
10.565,57
10.576,57
10.587,57
10.598,57
10.608,57
10.619,57
10.63,57
10.64,57
10.651,57
10.662,57
10.672,57
10.683,57
10.694,57
10.705,57
10.715,57
10.726,57
10.737,57
10.748,57
10.758,57
10.769,57
10.78,57
10.79,57
10.801,57
10.812,57
10.823,57
10.833,57
10.844,57
10.855,57
10.865,57
10.876,57
10.887,57
10.897,57
10.908,57
10.919,58
10.93,58
10.94,58
10.951,58
10.962,57
10.973,57
10.983,57
11.551,62
11.562,62
11.573,61
11.583,61
11.594,61
11.605,61
11.615,61
11.626,61
11.637,61
11.647,61
11.658,61
11.669,61
11.68,61
11.69,61
11.701,61
11.712,61
11.723,61
11.733,61
11.744,61
11.755,61
11.765,61
11.776,61
11.787,61
11.797,61
11.808,61
11.819,61
11.83,61
11.84,61
11.851,61
11.862,61
11.873,61
11.883,61
11.894,61
11.905,61
11.915,61
11.926,61
11.937,61
11.948,61
11.958,61
11.969,61
11.98,61
11.99,61
12.001,61
12.012,61
12.022,61
12.033,61
12.044,61
12.055,61
12.065,61
12.076,61
12.087,61
12.098,61
12.108,61
12.119,61
12.13,61
12.14,61
12.151,61
12.162,61
12.172,61
12.183,61
12.194,61
12.205,61
12.215,61
12.226,61
12.237,62
12.248,62
12.258,62
12.269,62
12.28,61
12.29,61
12.301,61
12.312,61
12.323,61
12.333,61
12.344,61
12.355,61
12.365,61
12.376,61
12.387,61
12.397,61
12.408,61
12.419,61
12.43,61
12.44,61
12.451,61
12.462,61
12.473,61
12.483,61
12.494,61
12.505,61
12.515,61
12.526,61
12.537,61
12.547,61
12.558,60
12.569,60
12.58,59
12.59,59
12.601,59
12.612,59
12.623,59
12.633,59
12.644,59
12.655,59
12.665,59
12.676,59
12.687,59
12.698,59
12.708,59
12.719,59
12.73,59
12.74,59
12.751,59
12.762,59
12.772,59
12.783,59
12.794,59
12.805,59
12.815,59
12.826,59
12.837,59
12.848,59
12.858,60
12.869,60
12.88,60
12.89,60
12.901,61
12.912,61
12.922,62
12.933,62
12.944,62
12.955,62
12.965,62
12.976,62
12.987,62
12.998,62
13.008,62
13.019,62
13.03,61
13.04,61
13.051,61
13.062,61
13.073,61
13.083,61
13.094,61
13.105,61
13.115,61
13.126,61
13.137,61
13.147,61
13.158,61
13.169,61
13.18,61
13.19,61
13.201,61
13.212,61
13.223,61
13.233,61
13.244,61
13.255,61
13.265,61
13.276,61
13.287,61
13.297,61
13.308,61
13.319,61
13.33,61
13.34,61
13.351,61
13.362,61
13.373,61
13.383,61
13.394,61
13.405,61
13.415,61
13.426,61
13.437,61
13.448,61
13.458,61
13.469,61
13.48,61
13.49,61
13.501,62
13.512,62
13.522,61
13.533,62
13.544,62
13.555,62
13.565,63
13.576,63
13.587,64
13.598,65
13.608,64
13.619,65
13.63,65
13.64,65
13.651,65
13.662,65
13.672,65
13.683,65
13.694,65
13.705,65
13.715,64
13.726,64
13.737,64
13.748,64
13.758,64
13.769,64
13.78,64
13.79,64
13.801,64
13.812,64
13.823,64
13.833,64
13.844,64
13.855,64
13.865,64
13.876,64
13.887,64
13.897,64
13.908,64
13.919,64
13.93,64
13.94,64
13.951,64
13.962,65
13.973,65
13.983,65
13.994,65
14.005,65
14.015,64
14.026,64
14.037,64
14.047,64
14.058,64
14.069,64
14.08,64
14.09,64
14.101,64
14.112,64
14.123,64
14.133,64
14.144,64
14.155,64
14.165,64
14.176,64
14.187,64
14.198,64
14.208,64
14.219,64
14.23,64
14.24,64
14.251,64
14.262,64
14.272,64
14.283,64
14.294,64
14.305,64
14.315,64
14.326,64
14.337,64
14.348,64
14.358,64
14.369,64
14.38,64
14.39,64
14.401,64
14.412,64
14.422,64
14.433,64
14.444,64
14.455,64
14.465,64
14.476,64
14.487,64
14.498,64
14.508,64
14.519,64
14.53,63
14.54,63
14.551,62
14.562,62
14.573,61
14.583,60
14.594,60
14.605,60
14.615,59
14.626,59
14.637,59
14.647,60
14.658,60
14.669,59
14.68,59
14.69,59
14.701,59
14.712,59
14.723,59
14.733,59
14.744,59
14.755,59
14.765,59
14.776,59
14.787,59
14.797,59
14.808,59
14.819,59
14.83,59
14.84,59
14.851,59
14.862,59
14.873,59
14.883,59
14.894,59
14.905,59
14.915,59
14.926,59
14.937,59
14.948,59
14.958,59
14.969,59
