time,semitone
13680,66
13681,999
13920,66
13921,999
14160,66
14161,999
14400,69
14401,999
15120,62
15121,999
15300,61
15301,999
15840,59
15841,999
16080,59
16081,999
17460,71
17461,999
17700,71
17701,999
18000,71
18001,999
18240,71
18241,999
18960,66
18961,999
19200,69
19201,999
19680,67
19681,999
19920,67
19921,999
21360,67
21361,999
21600,67
21601,999
21840,67
21841,999
22080,66
22081,999
22800,61
22801,999
23040,64
23041,999
23520,62
23521,999
23760,66
23761,999
24720,61
24721,999
24960,59
24961,999
25920,71
25921,999
26160,69
26161,999
26340,67
26341,999
26580,66
26581,999
26880,69
26881,999
27600,67
27601,999
27720,66
27721,999
27840,64
27841,999
28740,65
28741,999
28800,66
28801,999
31620,71
31621,999
32100,73
32101,999
32580,75
32581,999
32880,75
32881,999
33120,75
33121,999
33360,78
33361,999
33600,76
33601,999
34080,75
34081,999
34320,73
34321,999
35040,71
35041,999
35280,71
35281,999
36240,71
36241,999
36300,73
36301,999
36480,75
36481,999
36720,75
36721,999
36960,75
36961,999
37200,75
37201,999
37440,75
37441,999
37920,73
37921,999
38160,76
38161,999
40080,75
40081,999
40320,73
40321,999
40560,73
40561,999
40800,73
40801,999
41040,73
41041,999
41280,78
41281,999
41760,73
41761,999
42000,76
42001,999
42660,75
42661,999
42960,73
42961,999
43680,71
43681,999
43920,68
43921,999
44640,73
44641,999
44880,70
44881,999
45360,66
45361,999
49200,66
49201,999
49440,66
49441,999
49680,66
49681,999
49860,67
49861,999
49920,69
49921,999
50520,66
50521,999
50580,64
50581,999
50640,62
50641,999
50880,61
50881,999
51300,59
51301,999
51600,59
51601,999
52980,69
52981,999
53040,71
53041,999
53040,70
53041,999
53280,71
53281,999
53520,71
53521,999
53760,71
53761,999
54480,69
54481,999
54720,69
54721,999
55200,67
55201,999
55440,71
55441,999
56880,67
56881,999
57120,67
57121,999
57360,67
57361,999
57600,66
57601,999
58320,61
58321,999
58500,62
58501,999
58560,64
58561,999
58980,62
58981,999
59220,64
59221,999
59280,66
59281,999
60180,62
60181,999
60480,59
60481,999
61380,69
61381,999
61440,71
61441,999
61680,69
61681,999
61920,67
61921,999
62160,66
62161,999
62400,69
62401,999
63120,67
63121,999
63360,67
63361,999
64020,69
64021,999
64080,71
64081,999
64320,69
64321,999
65280,74
65281,999
65760,76
65761,999
66240,78
66241,999
66480,78
66481,999
66720,78
66721,999
66960,81
66961,999
67200,79
67201,999
67920,78
67921,999
68160,76
68161,999
68880,74
68881,999
69120,74
69121,999
69840,74
69841,999
69960,76
69961,999
70080,78
70081,999
70320,78
70321,999
70560,78
70561,999
70800,78
70801,999
71040,78
71041,999
71400,74
71401,999
71460,73
71461,999
71520,71
71521,999
71760,79
71761,999
73680,78
73681,999
73920,76
73921,999
74160,76
74161,999
74400,76
74401,999
74640,76
74641,999
74820,79
74821,999
74880,81
74881,999
75360,76
75361,999
75600,79
75601,999
76320,78
76321,999
76560,76
76561,999
77280,74
77281,999
77760,71
77761,999
78240,76
78241,999
78480,73
78481,999
78960,73
78961,999
78960,71
78961,999
79020,69
79021,999
79440,69
79441,999
79680,74
79681,999
80160,76
80161,999
80640,78
80641,999
81120,79
81121,999
81420,78
81421,999
81480,79
81481,999
81540,78
81541,999
97860,76
97861,999
98340,78
98341,999
98880,80
98881,999
99120,80
99121,999
99360,80
99361,999
99600,83
99601,999
99840,81
99841,999
100320,80
100321,999
100560,78
100561,999
101280,76
101281,999
101460,78
101461,999
101520,80
101521,999
102480,76
102481,999
102540,78
102541,999
102720,80
102721,999
102900,80
102901,999
103200,80
103201,999
103440,80
103441,999
103680,80
103681,999
104040,76
104041,999
104100,75
104101,999
104160,73
104161,999
104400,81
104401,999
106260,80
106261,999
106560,78
106561,999
106800,78
106801,999
107040,78
107041,999
107280,78
107281,999
107460,83
107461,999
107460,80
107461,999
108000,78
108001,999
108180,81
108181,999
108900,80
108901,999
109200,78
109201,999
109920,76
109921,999
110160,73
110161,999
110880,78
110881,999
111120,75
111121,999
113760,83
113761,999
114000,83
114001,999
114240,80
114241,999
114480,80
114481,999
114660,80
114661,999
114900,80
114901,999
115080,83
115081,999
115140,85
115141,999
115620,80
115621,999
115860,78
115861,999
116580,76
116581,999
116880,80
116881,999
117840,76
117841,999
117900,78
117901,999
118080,80
118081,999
118260,80
118261,999
118560,80
118561,999
118740,80
118741,999
118932,83
118933,999
118992,85
118993,999
119532,83
119533,999
119772,83
119773,999
120270,81
120271,999
120750,81
120751,999
121710,80
121711,999
121950,78
121951,999
122130,78
122131,999
122430,78
122431,999
122610,78
122611,999
122850,83
122851,999
122850,81
122851,999
123390,78
123391,999
123570,81
123571,999
124032,80
124033,999
124512,78
124513,999
125052,76
125053,999
125790,80
125791,999
126210,76
126211,999
126390,77
126391,999
126450,78
126451,999
129792,78
129793,999
129852,80
129853,999
130032,80
130033,999
130332,80
130333,999
130512,83
130513,999
131232,76
131233,999
131550,75
131551,999
131970,73
131971,999
132210,73
132211,999
