time,semitone
10560,83
10561,999
13680,84
13681,999
13800,83
13801,999
13920,81
13921,999
14040,83
14041,999
14880,81
14881,999
17760,83
17761,999
18240,79
18241,999
18480,81
18481,999
19080,79
19081,999
19200,78
19201,999
19440,79
19441,999
19680,78
19681,999
20640,74
20641,999
21120,69
21121,999
21360,71
21361,999
21600,69
21601,999
38160,78
38161,999
38520,78
38521,999
39000,79
39001,999
40320,71
40321,999
40800,71
40801,999
41280,78
41281,999
41580,79
41581,999
42000,78
42001,999
42480,78
42481,999
42900,78
42901,999
45840,78
45841,999
46080,78
46081,999
46380,81
46381,999
47820,71
47821,999
48300,71
48301,999
48720,79
48721,999
48760,81
48761,999
49300,79
49301,999
50380,79
50381,999
50740,81
50741,999
51100,79
51101,999
53260,76
53261,999
53980,74
53981,999
54220,76
54221,999
55660,67
55661,999
56140,67
56141,999
56380,74
56381,999
56460,76
56461,999
57600,74
57601,999
59520,67
59521,999
60000,67
60001,999
60240,74
60241,999
60960,72
60961,999
61440,72
61441,999
63840,67
63841,999
64080,74
64081,999
64800,72
64801,999
65280,71
65281,999
65760,69
65761,999
66000,71
66001,999
66240,69
66241,999
66600,69
66601,999
68640,78
68641,999
69240,78
69241,999
69720,79
69721,999
71040,71
71041,999
71520,71
71521,999
72000,78
72001,999
72300,79
72301,999
72720,78
72721,999
73200,78
73201,999
73620,78
73621,999
76560,78
76561,999
77100,81
77101,999
78540,71
78541,999
79020,71
79021,999
79440,79
79441,999
79480,81
79481,999
80020,79
80021,999
80660,79
80661,999
81140,81
81141,999
81620,79
81621,999
84020,76
84021,999
84740,74
84741,999
84980,76
84981,999
86420,67
86421,999
86900,67
86901,999
87140,74
87141,999
87220,76
87221,999
87580,74
87581,999
88060,74
88061,999
88540,74
88541,999
90220,67
90221,999
90700,67
90701,999
90940,74
90941,999
91900,72
91901,999
92380,72
92381,999
94540,72
94541,999
94660,74
94661,999
95500,72
95501,999
95980,71
95981,999
96300,69
96301,999
96460,71
96461,999
96940,69
96941,999
97300,69
97301,999
99360,81
99361,999
101280,81
101281,999
101520,79
101521,999
101880,82
101881,999
102240,81
102241,999
103200,81
103201,999
103320,79
103321,999
103900,86
103901,999
104860,87
104861,999
105340,86
105341,999
105660,87
105661,999
107040,79
107041,999
107520,81
107521,999
108960,79
108961,999
109200,77
109201,999
109560,81
109561,999
110040,79
110041,999
110640,79
110641,999
111000,77
111001,999
111360,82
111361,999
111600,84
111601,999
112560,86
112561,999
113040,84
113041,999
113360,86
113361,999
115220,77
115221,999
115700,79
115701,999
116660,77
116661,999
116900,75
116901,999
117260,79
117261,999
118340,77
118341,999
118700,75
118701,999
119060,74
119061,999
119180,75
119181,999
119260,74
119261,999
119980,72
119981,999
120460,82
120461,999
122380,79
122381,999
123100,81
123101,999
123820,79
123821,999
124300,79
124301,999
124540,78
124541,999
124780,81
124781,999
125640,79
125641,999
126120,78
126121,999
126440,79
126441,999
126740,81
126741,999
127700,82
127701,999
128180,81
128181,999
128420,82
128421,999
128660,84
128661,999
130100,81
130101,999
130820,82
130821,999
131540,81
131541,999
132020,81
132021,999
132260,79
132261,999
132500,81
132501,999
132620,82
132621,999
132980,81
132981,999
133940,81
133941,999
134060,79
134061,999
134420,79
134421,999
134660,86
134661,999
135620,87
135621,999
136100,86
136101,999
136440,87
136441,999
137760,79
137761,999
138380,82
138381,999
139660,79
139661,999
139900,77
139901,999
140280,81
140281,999
140760,79
140761,999
141360,79
141361,999
141720,77
141721,999
142300,84
142301,999
143260,86
143261,999
143740,84
143741,999
144060,86
144061,999
144140,87
144141,999
145940,77
145941,999
146420,79
146421,999
147380,77
147381,999
147620,75
147621,999
147980,79
147981,999
149060,77
149061,999
149420,75
149421,999
149780,74
149781,999
149900,75
149901,999
149980,74
149981,999
150700,72
150701,999
151180,82
151181,999
153100,79
153101,999
153820,81
153821,999
154540,79
154541,999
155020,79
155021,999
155260,78
155261,999
155500,81
155501,999
156360,79
156361,999
156840,78
156841,999
157160,79
157161,999
157460,81
157461,999
159380,82
159381,999
160100,81
160101,999
160340,82
160341,999
160500,81
160501,999
160660,82
160661,999
160820,81
160821,999
220940,78
220941,999
221420,79
221421,999
222740,71
222741,999
223220,71
223221,999
223700,78
223701,999
223940,79
223941,999
224420,78
224421,999
224900,78
224901,999
225260,78
225261,999
228260,78
228261,999
228740,81
228741,999
