time,semitone
9600,71
9601,999
9960,71
9961,999
10320,71
10321,999
10560,71
10561,999
10920,71
10921,999
11280,71
11281,999
11760,68
11761,999
12960,71
12961,999
13200,71
13201,999
13440,73
13441,999
13800,71
13801,999
14160,68
14161,999
14400,68
14401,999
14640,66
14641,999
14760,64
14761,999
15000,71
15001,999
15360,68
15361,999
16800,64
16801,999
17040,64
17041,999
17280,68
17281,999
17640,69
17641,999
18000,68
18001,999
18240,66
18241,999
18720,64
18721,999
18960,64
18961,999
19200,68
19201,999
19560,69
19561,999
19920,68
19921,999
20160,66
20161,999
20640,64
20641,999
20880,64
20881,999
24960,71
24961,999
25320,71
25321,999
25680,71
25681,999
25920,71
25921,999
26280,71
26281,999
26640,68
26641,999
28320,71
28321,999
28560,71
28561,999
28800,73
28801,999
29160,71
29161,999
29520,68
29521,999
29760,68
29761,999
30000,66
30001,999
30120,64
30121,999
30960,64
30961,999
31320,71
31321,999
31680,68
31681,999
32160,64
32161,999
32400,64
32401,999
32640,68
32641,999
33000,69
33001,999
33360,68
33361,999
33600,66
33601,999
33960,64
33961,999
34320,64
34321,999
34560,68
34561,999
34920,69
34921,999
35280,68
35281,999
35520,66
35521,999
36000,64
36001,999
36240,71
36241,999
36720,68
36721,999
40080,71
40081,999
40320,80
40321,999
40680,78
40681,999
41040,76
41041,999
41280,76
41281,999
41640,71
41641,999
42000,76
42001,999
42240,76
42241,999
42600,78
42601,999
42960,76
42961,999
43680,76
43681,999
43920,76
43921,999
44160,80
44161,999
44520,78
44521,999
44880,76
44881,999
45120,76
45121,999
45480,71
45481,999
45840,76
45841,999
46080,76
46081,999
46440,78
46441,999
46800,76
46801,999
47520,76
47521,999
47760,76
47761,999
48000,80
48001,999
48360,78
48361,999
48720,76
48721,999
48960,76
48961,999
49320,71
49321,999
49680,76
49681,999
49920,76
49921,999
50280,78
50281,999
50640,76
50641,999
51360,71
51361,999
51600,71
51601,999
51840,80
51841,999
52200,76
52201,999
52560,75
52561,999
53040,76
53041,999
53520,73
53521,999
55200,71
55201,999
55440,71
55441,999
55680,80
55681,999
56040,76
56041,999
56400,75
56401,999
56880,76
56881,999
57360,80
57361,999
59040,76
59041,999
59280,76
59281,999
59520,80
59521,999
59880,81
59881,999
60240,80
60241,999
60480,78
60481,999
60840,76
60841,999
61200,76
61201,999
61440,80
61441,999
61800,81
61801,999
62160,80
62161,999
62400,78
62401,999
62760,76
62761,999
63120,76
63121,999
63360,83
63361,999
63720,76
63721,999
64080,75
64081,999
64320,75
64321,999
64680,76
64681,999
65040,75
65041,999
65280,73
65281,999
68400,71
68401,999
68400,66
68401,999
68640,78
68641,999
68640,71
68641,999
69120,76
69121,999
69120,71
69121,999
72240,71
72241,999
72240,66
72241,999
72480,78
72481,999
72480,71
72481,999
72960,76
72961,999
72960,71
72961,999
73920,75
73921,999
73920,71
73921,999
74880,73
74881,999
74880,68
74881,999
76800,71
76801,999
76800,68
76801,999
77160,71
77161,999
77160,68
77161,999
77520,71
77521,999
77520,68
77521,999
77760,71
77761,999
77760,68
77761,999
78120,71
78121,999
78120,68
78121,999
78480,68
78481,999
78480,64
78481,999
80160,71
80161,999
80160,68
80161,999
80400,71
80401,999
80400,68
80401,999
80640,73
80641,999
