time,semitone
42240,69
42241,999
42480,68
42481,999
42960,64
42961,999
43440,59
43441,999
43920,61
43921,999
44640,57
44641,999
44880,61
44881,999
45360,64
45361,999
46080,69
46081,999
46320,68
46321,999
46800,64
46801,999
47280,59
47281,999
47760,61
47761,999
48000,57
48001,999
49920,69
49921,999
50160,68
50161,999
50640,64
50641,999
51120,59
51121,999
51600,61
51601,999
52320,57
52321,999
52560,61
52561,999
53040,64
53041,999
53760,69
53761,999
54000,68
54001,999
54480,64
54481,999
54960,59
54961,999
55200,59
55201,999
55440,61
55441,999
55680,57
55681,999
57840,64
57841,999
58080,66
58081,999
58320,66
58321,999
58560,68
58561,999
58800,66
58801,999
59040,64
59041,999
59280,66
59281,999
59520,68
59521,999
59760,64
59761,999
60000,64
60001,999
60240,63
60241,999
60480,64
60481,999
60960,66
60961,999
61920,66
61921,999
62160,66
62161,999
62400,64
62401,999
62640,66
62641,999
62880,66
62881,999
63120,64
63121,999
63360,61
63361,999
65760,66
65761,999
66000,66
66001,999
66240,68
66241,999
66480,66
66481,999
66720,64
66721,999
66960,66
66961,999
67200,68
67201,999
67440,64
67441,999
67680,64
67681,999
67920,63
67921,999
68160,64
68161,999
68640,66
68641,999
69120,56
69121,999
69360,57
69361,999
70560,57
70561,999
70800,59
70801,999
72720,59
72721,999
72960,61
72961,999
73440,63
73441,999
73680,64
73681,999
74160,61
74161,999
74880,68
74881,999
75840,66
75841,999
76800,69
76801,999
77040,68
77041,999
77520,64
77521,999
78000,59
78001,999
78480,61
78481,999
79200,57
79201,999
79440,61
79441,999
79920,64
79921,999
80640,69
80641,999
80880,68
80881,999
81360,64
81361,999
81840,59
81841,999
82320,61
82321,999
82560,57
82561,999
84480,69
84481,999
84720,68
84721,999
85200,64
85201,999
85680,59
85681,999
86160,61
86161,999
86880,57
86881,999
87120,61
87121,999
87600,64
87601,999
88320,69
88321,999
88560,68
88561,999
89040,64
89041,999
89520,59
89521,999
90000,61
90001,999
90240,57
90241,999
92640,66
92641,999
92880,66
92881,999
93120,68
93121,999
93360,66
93361,999
93600,64
93601,999
93840,66
93841,999
94080,68
94081,999
94320,64
94321,999
94560,64
94561,999
94800,63
94801,999
95040,64
95041,999
95520,66
95521,999
96480,66
96481,999
96720,66
96721,999
96960,64
96961,999
97200,66
97201,999
97440,66
97441,999
97680,64
97681,999
97920,61
97921,999
100080,66
100081,999
100320,66
100321,999
100560,66
100561,999
100800,68
100801,999
101040,66
101041,999
101280,64
101281,999
101520,66
101521,999
101760,68
101761,999
102000,64
102001,999
102240,64
102241,999
102480,63
102481,999
102720,64
102721,999
103200,66
103201,999
103680,66
103681,999
104160,68
104161,999
104400,69
104401,999
104880,66
104881,999
105360,71
105361,999
107280,68
107281,999
107400,69
107401,999
107520,71
107521,999
107760,71
107761,999
108000,71
108001,999
108240,71
108241,999
108720,69
108721,999
108960,68
108961,999
109200,66
109201,999
109680,66
109681,999
109920,64
109921,999
110160,66
110161,999
111120,68
111121,999
111240,69
111241,999
111360,71
111361,999
111600,71
111601,999
111840,71
111841,999
112080,71
112081,999
112560,69
112561,999
112800,68
112801,999
113040,66
113041,999
114960,68
114961,999
115080,69
115081,999
115200,71
115201,999
115440,71
115441,999
115680,71
115681,999
115920,71
115921,999
116400,69
116401,999
116640,68
116641,999
116880,66
116881,999
117360,64
117361,999
117600,66
117601,999
117840,68
117841,999
118320,64
118321,999
119040,64
119041,999
119280,69
119281,999
119520,68
119521,999
120000,64
120001,999
120480,61
120481,999
120960,69
120961,999
121200,68
121201,999
121680,64
121681,999
122400,61
122401,999
122880,64
122881,999
125760,61
125761,999
126000,69
126001,999
126240,68
126241,999
126480,61
126481,999
126720,64
126721,999
129600,69
129601,999
129840,68
129841,999
130080,64
130081,999
130320,66
130321,999
130560,68
130561,999
133440,69
133441,999
133680,68
133681,999
133920,64
133921,999
134160,66
134161,999
134400,64
134401,999
157200,68
157201,999
157320,69
157321,999
157440,71
157441,999
157680,71
157681,999
157920,71
157921,999
158160,71
158161,999
158640,69
158641,999
158880,68
158881,999
159120,66
159121,999
159600,66
159601,999
159840,64
159841,999
160080,66
160081,999
161040,68
161041,999
161160,69
161161,999
161280,71
161281,999
161520,71
161521,999
161760,71
161761,999
162000,71
162001,999
162480,69
162481,999
162720,68
162721,999
162960,66
162961,999
164880,68
164881,999
165000,69
165001,999
165120,71
165121,999
165360,71
165361,999
165600,71
165601,999
165840,71
165841,999
166320,69
166321,999
166560,68
166561,999
166800,66
166801,999
167280,64
167281,999
167520,66
167521,999
167760,68
167761,999
168240,68
168241,999
168960,64
168961,999
169200,69
169201,999
169440,68
169441,999
169680,64
169681,999
169920,61
169921,999
170880,69
170881,999
171120,69
171121,999
171360,71
171361,999
171840,73
171841,999
172080,71
172081,999
172800,71
172801,999
174720,73
174721,999
175680,71
175681,999
176640,68
176641,999
176760,69
176761,999
176880,71
176881,999
177120,71
177121,999
177360,73
177361,999
177840,71
177841,999
178080,71
178081,999
178320,66
178321,999
180240,68
180241,999
180360,69
180361,999
180480,71
180481,999
180720,71
180721,999
180960,71
180961,999
181200,71
181201,999
181680,69
181681,999
181920,68
181921,999
182160,66
182161,999
182640,64
182641,999
182880,66
182881,999
183120,68
183121,999
184320,69
184321,999
184560,68
184561,999
185040,64
185041,999
185520,61
185521,999
186240,69
186241,999
186480,68
186481,999
186960,64
186961,999
187440,61
187441,999
188160,64
188161,999
191040,61
191041,999
191160,69
191161,999
191400,68
191401,999
191640,64
191641,999
191880,61
191881,999
192120,64
192121,999
194880,69
194881,999
195120,68
195121,999
195360,64
195361,999
195600,66
195601,999
195840,68
195841,999
198720,61
198721,999
198840,69
198841,999
199080,68
199081,999
199320,64
199321,999
199560,61
199561,999
199800,64
199801,999
202560,69
202561,999
202800,68
202801,999
203040,64
203041,999
203280,66
203281,999
203520,68
203521,999
206400,61
206401,999
206520,69
206521,999
206760,68
206761,999
207000,64
207001,999
207240,61
207241,999
207480,64
207481,999
214080,66
214081,999
214320,64
214321,999
216000,66
216001,999
216960,66
216961,999
217680,64
217681,999
