time,semitone
11400,62
11401,999
11520,62
11521,999
11760,67
11761,999
11880,67
11881,999
12360,69
12361,999
12480,69
12481,999
12720,71
12721,999
12840,71
12841,999
13320,71
13321,999
13440,72
13441,999
13680,71
13681,999
13800,69
13801,999
14400,71
14401,999
14640,67
14641,999
14760,64
14761,999
15240,62
15241,999
15360,62
15361,999
17280,71
17281,999
17520,74
17521,999
17640,71
17641,999
18240,71
18241,999
18360,71
18361,999
18480,69
18481,999
18600,67
18601,999
18720,69
18721,999
19200,69
19201,999
19320,69
19321,999
19440,69
19441,999
19560,67
19561,999
19680,67
19681,999
19800,64
19801,999
19920,67
19921,999
20040,64
20041,999
20160,69
20161,999
20400,64
20401,999
20520,62
20521,999
21000,62
21001,999
21120,64
21121,999
21240,67
21241,999
21360,67
21361,999
21480,64
21481,999
21600,67
21601,999
21840,71
21841,999
22080,69
22081,999
22920,62
22921,999
23040,64
23041,999
23160,67
23161,999
23280,67
23281,999
23400,64
23401,999
23520,67
23521,999
23760,76
23761,999
24000,74
24001,999
24840,62
24841,999
24960,64
24961,999
25200,67
25201,999
25320,67
25321,999
25560,64
25561,999
25920,71
25921,999
26160,71
26161,999
26280,69
26281,999
26640,67
26641,999
26760,69
26761,999
28680,62
28681,999
28800,62
28801,999
29040,67
29041,999
29160,67
29161,999
29640,69
29641,999
29760,69
29761,999
30000,71
30001,999
30120,71
30121,999
30720,72
30721,999
30960,71
30961,999
31080,69
31081,999
31680,71
31681,999
31920,67
31921,999
32040,64
32041,999
32520,62
32521,999
32640,62
32641,999
34560,71
34561,999
34800,74
34801,999
34920,71
34921,999
35520,71
35521,999
35640,71
35641,999
35760,69
35761,999
35880,67
35881,999
36000,69
36001,999
36480,71
36481,999
36600,71
36601,999
36720,69
36721,999
36840,67
36841,999
36960,67
36961,999
37080,64
37081,999
37200,67
37201,999
37320,64
37321,999
37440,69
37441,999
37680,64
37681,999
37800,62
37801,999
38280,62
38281,999
38400,64
38401,999
38520,67
38521,999
38640,67
38641,999
38760,64
38761,999
38880,67
38881,999
39120,71
39121,999
39360,69
39361,999
40200,62
40201,999
40320,64
40321,999
40440,67
40441,999
40560,67
40561,999
40680,64
40681,999
40800,67
40801,999
41040,76
41041,999
41280,74
41281,999
42120,62
42121,999
42240,64
42241,999
42480,67
42481,999
42600,67
42601,999
42840,64
42841,999
43200,72
43201,999
43440,71
43441,999
43560,69
43561,999
44040,67
44041,999
44160,67
44161,999
46080,76
46081,999
46560,76
46561,999
46680,74
46681,999
46800,71
46801,999
46920,74
46921,999
47880,71
47881,999
48000,72
48001,999
48240,71
48241,999
48480,67
48481,999
48600,69
48601,999
48720,71
48721,999
48840,71
48841,999
49920,76
49921,999
50400,76
50401,999
50520,74
50521,999
50640,71
50641,999
50760,74
50761,999
51720,71
51721,999
51840,72
51841,999
52080,71
52081,999
52200,72
52201,999
52680,72
52681,999
52800,72
52801,999
53040,71
53041,999
53280,72
53281,999
53520,74
53521,999
53640,74
53641,999
55440,71
55441,999
55560,72
55561,999
55680,74
55681,999
55920,71
55921,999
56040,67
56041,999
56520,62
56521,999
56640,64
56641,999
56880,67
56881,999
57000,67
57001,999
57480,71
57481,999
57600,71
57601,999
58080,71
58081,999
58200,69
58201,999
58320,67
58321,999
58440,69
58441,999
59280,71
59281,999
59400,72
59401,999
59520,74
59521,999
59760,74
59761,999
59880,74
59881,999
60360,67
60361,999
60480,76
60481,999
60720,76
60721,999
60960,76
