time,semitone
13800,69
13801,999
13800,57
13801,999
13920,81
13921,999
13920,69
13921,999
14160,81
14161,999
14160,69
14161,999
14280,81
14281,999
14280,69
14281,999
14640,79
14641,999
14640,67
14641,999
14760,78
14761,999
14760,66
14761,999
15120,76
15121,999
15120,64
15121,999
15240,78
15241,999
15240,66
15241,999
16320,78
16321,999
16320,66
16321,999
16560,76
16561,999
16560,64
16561,999
16800,74
16801,999
16800,62
16801,999
17040,79
17041,999
17040,67
17041,999
17760,79
17761,999
17760,67
17761,999
18000,78
18001,999
18000,66
18001,999
18720,81
18721,999
18720,69
18721,999
18960,79
18961,999
18960,67
18961,999
21360,81
21361,999
21360,69
21361,999
21600,81
21601,999
21600,69
21601,999
21840,81
21841,999
21840,69
21841,999
21960,81
21961,999
21960,69
21961,999
22320,83
22321,999
22320,71
22321,999
22560,85
22561,999
22560,73
22561,999
22800,86
22801,999
22800,74
22801,999
23280,81
23281,999
23280,69
23281,999
23880,83
23881,999
23880,71
23881,999
24000,84
24001,999
24000,72
24001,999
24240,83
24241,999
24240,71
24241,999
24480,78
24481,999
24480,66
24481,999
24720,79
24721,999
24720,67
24721,999
26400,79
26401,999
26400,67
26401,999
26640,78
26641,999
26640,66
26641,999
26880,78
26881,999
26880,66
26881,999
27120,79
27121,999
27120,67
27121,999
27240,76
27241,999
27240,64
27241,999
29160,69
29161,999
29160,57
29161,999
29280,81
29281,999
29280,69
29281,999
29520,81
29521,999
29520,69
29521,999
29640,81
29641,999
29640,69
29641,999
30000,79
30001,999
30000,67
30001,999
30120,78
30121,999
30120,66
30121,999
30480,76
30481,999
30480,64
30481,999
30600,78
30601,999
30600,66
30601,999
31680,78
31681,999
31680,66
31681,999
31920,76
31921,999
31920,64
31921,999
32160,74
32161,999
32160,62
32161,999
32400,79
32401,999
32400,67
32401,999
33120,79
33121,999
33120,67
33121,999
33360,78
33361,999
33360,66
33361,999
34080,81
34081,999
34080,69
34081,999
34320,79
34321,999
34320,67
34321,999
36720,81
36721,999
36720,69
36721,999
36960,81
36961,999
36960,69
36961,999
37200,81
37201,999
37200,69
37201,999
37320,81
37321,999
37320,69
37321,999
37680,83
37681,999
37680,71
37681,999
37920,85
37921,999
37920,73
37921,999
38160,86
38161,999
38160,74
38161,999
38640,81
38641,999
38640,69
38641,999
39240,83
39241,999
39240,71
39241,999
39360,84
39361,999
39360,72
39361,999
39600,83
39601,999
39600,71
39601,999
39840,78
39841,999
39840,66
39841,999
40080,79
40081,999
40080,67
40081,999
41760,79
41761,999
41760,67
41761,999
41880,78
41881,999
41880,66
41881,999
42240,81
42241,999
42240,69
42241,999
43680,81
43681,999
43680,69
43681,999
43800,81
43801,999
43800,69
43801,999
43920,69
43921,999
44160,88
44161,999
44160,76
44161,999
44880,86
44881,999
44880,74
44881,999
45000,86
45001,999
45000,74
45001,999
45600,81
45601,999
45600,69
45601,999
45720,81
45721,999
45720,69
45721,999
45840,81
45841,999
45840,69
45841,999
46080,90
46081,999
46080,79
46081,999
46800,88
46801,999
46800,78
46801,999
46920,88
46921,999
46920,78
46921,999
48000,91
48001,999
48000,79
48001,999
48240,91
48241,999
48240,79
48241,999
48600,90
48601,999
48600,78
48601,999
48840,88
48841,999
48840,76
48841,999
48960,86
48961,999
48960,74
48961,999
49440,86
49441,999
49440,74
49441,999
49620,88
49621,999
49620,76
49621,999
49800,90
49801,999
49800,78
49801,999
49920,78
49921,999
49940,90
49941,999
50180,88
50181,999
50180,76
50181,999
50540,88
50541,999
50540,76
50541,999
50720,86
50721,999
50720,74
50721,999
50900,85
50901,999
50900,73
50901,999
51380,81
51381,999
51380,69
51381,999
51500,81
51501,999
51500,69
51501,999
51620,81
51621,999
51620,69
51621,999
51860,88
51861,999
51860,76
51861,999
52520,86
52521,999
52580,74
52581,999
52700,90
52701,999
52700,78
52701,999
53300,81
53301,999
53300,69
53301,999
53420,81
53421,999
53420,69
53421,999
53540,81
53541,999
53540,69
53541,999
53780,90
53781,999
53780,78
53781,999
54500,88
54501,999
54500,76
54501,999
54620,91
54621,999
54620,79
54621,999
55700,91
55701,999
55700,79
55701,999
55940,91
55941,999
55940,79
55941,999
56300,90
56301,999
56300,78
56301,999
56480,76
56481,999
56540,88
56541,999
56660,86
56661,999
56660,74
56661,999
57140,86
57141,999
57140,74
57141,999
57320,88
57321,999
57320,76
57321,999
57500,90
57501,999
57500,78
57501,999
57620,90
57621,999
57620,78
57621,999
57860,88
57861,999
57860,76
57861,999
57980,88
57981,999
57980,76
57981,999
58220,90
58221,999
58220,78
58221,999
58340,76
58341,999
58380,88
58381,999
59040,88
59041,999
59040,76
59041,999
59220,88
59221,999
59220,76
59221,999
59380,90
59381,999
59380,78
59381,999
59500,76
59501,999
59560,88
59561,999
59740,88
59741,999
59740,76
59741,999
59920,88
59921,999
59920,76
59921,999
60160,90
60161,999
60160,78
60161,999
60400,91
60401,999
60400,79
60401,999
63720,69
63721,999
63720,57
63721,999
63840,81
63841,999
63840,69
63841,999
64080,81
64081,999
64080,69
64081,999
64200,81
64201,999
64200,69
64201,999
64560,79
64561,999
64560,67
64561,999
64680,78
64681,999
64680,66
64681,999
65040,76
65041,999
65040,64
65041,999
65160,78
65161,999
65160,66
65161,999
66240,78
66241,999
66240,66
66241,999
66480,76
66481,999
66480,64
66481,999
66720,74
66721,999
66720,62
66721,999
66960,79
66961,999
66960,67
66961,999
67660,79
67661,999
67660,67
67661,999
67900,78
67901,999
67900,66
67901,999
68620,81
68621,999
68620,69
68621,999
68860,79
68861,999
68860,67
68861,999
71260,81
71261,999
71260,69
71261,999
71500,81
71501,999
71500,69
71501,999
71740,81
71741,999
71740,69
71741,999
71860,81
71861,999
71860,69
71861,999
72220,83
72221,999
72220,71
72221,999
72460,85
72461,999
72460,73
72461,999
72700,86
72701,999
72700,74
72701,999
73180,81
73181,999
73180,69
73181,999
73780,83
73781,999
73780,71
73781,999
73900,84
73901,999
73900,72
73901,999
74140,83
74141,999
74140,71
74141,999
74380,78
74381,999
74380,66
74381,999
74620,79
74621,999
74620,67
74621,999
76320,79
76321,999
76320,67
76321,999
76560,78
76561,999
76560,66
76561,999
77020,79
77021,999
77020,67
77021,999
77140,76
77141,999
77140,64
77141,999
79060,69
79061,999
79060,57
79061,999
79180,81
79181,999
79180,69
79181,999
79420,81
79421,999
79420,69
79421,999
79540,81
79541,999
79540,69
79541,999
79900,79
79901,999
79900,67
79901,999
80020,78
80021,999
80020,66
80021,999
80380,76
80381,999
80380,64
80381,999
80500,78
80501,999
80500,66
80501,999
81600,78
81601,999
81600,66
81601,999
81840,76
81841,999
81840,64
81841,999
82080,74
82081,999
82080,62
82081,999
82320,79
82321,999
82320,67
82321,999
83040,79
83041,999
83040,67
83041,999
83280,78
83281,999
83280,66
83281,999
84000,81
84001,999
84000,69
84001,999
84240,79
84241,999
84240,67
84241,999
86620,81
86621,999
86620,69
86621,999
86860,81
86861,999
86860,69
86861,999
87100,81
87101,999
87100,69
87101,999
87220,81
87221,999
87220,69
87221,999
87580,83
87581,999
87580,71
87581,999
87820,85
87821,999
87820,73
87821,999
88060,86
88061,999
88060,74
88061,999
88540,81
88541,999
88540,69
88541,999
89140,83
89141,999
89140,71
89141,999
89260,84
89261,999
89260,72
89261,999
89500,83
89501,999
89500,71
89501,999
89740,78
89741,999
89740,66
89741,999
89980,79
89981,999
89980,67
89981,999
91680,79
91681,999
91680,67
91681,999
91800,78
91801,999
91800,66
91801,999
93600,81
93601,999
93600,69
93601,999
93720,81
93721,999
93720,69
93721,999
93840,69
93841,999
94780,86
94781,999
94780,74
94781,999
94900,86
94901,999
94900,74
94901,999
95500,81
95501,999
95500,69
95501,999
95620,81
95621,999
95620,69
95621,999
95740,81
95741,999
95740,69
95741,999
95980,90
95981,999
95980,79
95981,999
96700,88
96701,999
96700,78
96701,999
96820,88
96821,999
96820,78
96821,999
97900,91
97901,999
97900,79
97901,999
98220,91
98221,999
98220,79
98221,999
98580,90
98581,999
98580,78
98581,999
98760,88
98761,999
98760,76
98761,999
98880,74
98881,999
98940,86
98941,999
99420,86
99421,999
99420,74
99421,999
99600,88
99601,999
99600,76
99601,999
99720,90
99721,999
99720,78
99721,999
99880,78
99881,999
99900,90
99901,999
100080,88
100081,999
100080,76
100081,999
100440,88
100441,999
100440,76
100441,999
100680,86
100681,999
100680,74
100681,999
100800,85
100801,999
100800,73
100801,999
101280,81
101281,999
101280,69
101281,999
101400,81
101401,999
101400,69
101401,999
101520,81
101521,999
101520,69
101521,999
101760,88
101761,999
101760,76
101761,999
102480,86
102481,999
102480,74
102481,999
102600,90
102601,999
102600,78
102601,999
103200,81
103201,999
103200,69
103201,999
103320,81
103321,999
103320,69
103321,999
103440,81
103441,999
103440,69
103441,999
103680,90
103681,999
103680,78
103681,999
104400,88
104401,999
104400,76
104401,999
104520,91
104521,999
104520,79
104521,999
105600,91
105601,999
105600,79
105601,999
105840,91
105841,999
105840,79
105841,999
106200,90
106201,999
106200,78
106201,999
106440,88
106441,999
106440,76
106441,999
106560,86
106561,999
106560,74
106561,999
107040,86
107041,999
107040,74
107041,999
107220,88
107221,999
107220,76
107221,999
107400,90
107401,999
107400,78
107401,999
107520,78
107521,999
107580,90
107581,999
107760,88
107761,999
107760,76
107761,999
107880,76
107881,999
107940,88
107941,999
108120,90
108121,999
108120,78
108121,999
108240,76
108241,999
108280,88
108281,999
109000,88
109001,999
109000,76
109001,999
109120,88
109121,999
109120,76
109121,999
109280,90
109281,999
109280,78
109281,999
109460,88
109461,999
109460,76
109461,999
109700,88
109701,999
109700,76
109701,999
109820,88
109821,999
109820,76
109821,999
110060,90
110061,999
110060,78
110061,999
110300,91
110301,999
110300,79
110301,999
128180,81
128181,999
128180,69
128181,999
128300,81
128301,999
128300,69
128301,999
128420,69
128421,999
128660,88
128661,999
128660,76
128661,999
129380,86
129381,999
129380,74
129381,999
129500,86
129501,999
129500,74
129501,999
130100,81
130101,999
130100,69
130101,999
130220,81
130221,999
130220,69
130221,999
130340,81
130341,999
130340,69
130341,999
130580,90
130581,999
130580,79
130581,999
131300,88
131301,999
131300,78
131301,999
131420,88
131421,999
131420,78
131421,999
132500,91
132501,999
132500,79
132501,999
132740,91
132741,999
132740,79
132741,999
133100,90
133101,999
133100,78
133101,999
133280,88
133281,999
133280,76
133281,999
133460,86
133461,999
133460,74
133461,999
133940,86
133941,999
133940,74
133941,999
134120,88
134121,999
134120,76
134121,999
134300,90
134301,999
134300,78
134301,999
134420,78
134421,999
134440,90
134441,999
134680,88
134681,999
134680,76
134681,999
135040,88
135041,999
135040,76
135041,999
135220,86
135221,999
135220,74
135221,999
135400,85
135401,999
135400,73
135401,999
135880,81
135881,999
135880,69
135881,999
136000,81
136001,999
136000,69
136001,999
136060,81
136061,999
136120,69
136121,999
136360,88
136361,999
136360,76
136361,999
137020,86
137021,999
137020,74
137021,999
137140,90
137141,999
137140,78
137141,999
137740,81
137741,999
137740,69
137741,999
137860,81
137861,999
137860,69
137861,999
137980,81
137981,999
137980,69
137981,999
138220,90
138221,999
138220,78
138221,999
138940,88
138941,999
138940,76
138941,999
139060,79
139061,999
139120,91
139121,999
140140,91
140141,999
140200,79
140201,999
140440,91
140441,999
140440,79
140441,999
140800,90
140801,999
140800,78
140801,999
140980,88
140981,999
140980,76
140981,999
141100,74
141101,999
141160,86
141161,999
141580,86
141581,999
141640,74
141641,999
141760,88
141761,999
141760,76
141761,999
141940,90
141941,999
141940,78
141941,999
142120,90
142121,999
142120,78
142121,999
142300,76
142301,999
142360,88
142361,999
142480,88
142481,999
142480,76
142481,999
142660,78
142661,999
142720,90
142721,999
142780,76
142781,999
142820,88
142821,999
143540,88
143541,999
143540,76
143541,999
143720,88
143721,999
143720,76
143721,999
143880,90
143881,999
143880,78
143881,999
144000,88
144001,999
144000,76
144001,999
144240,88
144241,999
144240,76
144241,999
144360,88
144361,999
144360,76
144361,999
144600,90
144601,999
144600,78
144601,999
144840,91
144841,999
144840,79
144841,999
145440,81
145441,999
145440,69
145441,999
145560,81
145561,999
145560,69
145561,999
145680,81
145681,999
145680,69
145681,999
145920,88
145921,999
145920,76
145921,999
146640,86
146641,999
146640,74
146641,999
146760,86
146761,999
146760,74
146761,999
147360,81
147361,999
147360,69
147361,999
147480,81
147481,999
147480,69
147481,999
147600,81
147601,999
147600,69
147601,999
147840,90
147841,999
147840,79
147841,999
148560,88
148561,999
148560,78
148561,999
148680,88
148681,999
148680,78
148681,999
149760,91
149761,999
149760,79
149761,999
150000,91
150001,999
150000,79
150001,999
150360,90
150361,999
150360,78
150361,999
150600,88
150601,999
150600,76
150601,999
150720,86
150721,999
150720,74
150721,999
151200,86
151201,999
151200,74
151201,999
151380,88
151381,999
151380,76
151381,999
151560,90
151561,999
151560,78
151561,999
151680,78
151681,999
151700,90
151701,999
151940,88
151941,999
151940,76
151941,999
152300,88
152301,999
152300,76
152301,999
152480,86
152481,999
152480,74
152481,999
152660,85
152661,999
152660,73
152661,999
153140,81
153141,999
153140,69
153141,999
153260,81
153261,999
153260,69
153261,999
153380,81
153381,999
153380,69
153381,999
153620,88
153621,999
153620,76
153621,999
154280,86
154281,999
154340,74
154341,999
154460,90
154461,999
154460,78
154461,999
155060,81
155061,999
155060,69
155061,999
155180,81
155181,999
155180,69
155181,999
155300,81
155301,999
155300,69
155301,999
155540,90
155541,999
155540,78
155541,999
156260,88
156261,999
156260,76
156261,999
156380,91
156381,999
156380,79
156381,999
157460,91
157461,999
157460,79
157461,999
157700,91
157701,999
157700,79
157701,999
158060,90
158061,999
158060,78
158061,999
158240,76
158241,999
158300,88
158301,999
158420,86
158421,999
158420,74
158421,999
158900,86
158901,999
158900,74
158901,999
159080,88
159081,999
159080,76
159081,999
159260,90
159261,999
159260,78
159261,999
159380,90
159381,999
159380,78
159381,999
159620,88
159621,999
159620,76
159621,999
159740,88
159741,999
159740,76
159741,999
159980,90
159981,999
159980,78
159981,999
160100,76
160101,999
160140,88
160141,999
160800,88
160801,999
160800,76
160801,999
160980,88
160981,999
160980,76
160981,999
161140,90
161141,999
161140,78
161141,999
161260,76
161261,999
161320,88
161321,999
161500,88
161501,999
161500,76
161501,999
161680,88
161681,999
161680,76
161681,999
161920,90
161921,999
161920,78
161921,999
162160,91
162161,999
162160,79
162161,999
