time,semitone
0,64
1,999
1680,52
1681,999
1920,61
1921,999
2400,59
2401,999
2640,59
2641,999
3360,57
3361,999
3600,61
3601,999
5520,52
5521,999
5760,61
5761,999
6240,59
6241,999
6480,59
6481,999
7200,57
7201,999
7680,59
7681,999
9360,52
9361,999
9600,61
9601,999
10080,59
10081,999
10320,59
10321,999
11040,57
11041,999
11280,59
11281,999
13440,57
13441,999
13920,54
13921,999
14160,57
14161,999
14880,54
14881,999
17040,52
17041,999
17280,61
17281,999
17760,59
17761,999
18000,59
18001,999
18720,57
18721,999
18960,61
18961,999
20880,52
20881,999
21120,61
21121,999
21600,59
21601,999
21840,59
21841,999
22560,57
22561,999
23040,59
23041,999
24720,52
24721,999
24960,61
24961,999
25440,59
25441,999
25680,59
25681,999
26400,57
26401,999
26640,59
26641,999
28800,57
28801,999
29280,54
29281,999
29520,57
29521,999
30240,54
30241,999
31680,61
31681,999
32640,59
32641,999
33600,57
33601,999
34560,61
34561,999
35520,61
35521,999
36000,59
36001,999
36480,61
36481,999
37440,64
37441,999
37920,64
37921,999
38880,59
38881,999
40800,59
40801,999
41280,59
41281,999
41760,61
41761,999
42240,62
42241,999
43200,62
43201,999
43680,61
43681,999
44160,62
44161,999
45120,66
45121,999
45600,61
45601,999
47520,59
47521,999
48480,57
48481,999
49920,61
49921,999
50880,61
50881,999
51360,59
51361,999
51840,61
51841,999
52800,64
52801,999
53280,64
53281,999
54240,59
54241,999
56160,59
56161,999
56640,59
56641,999
57120,61
57121,999
57600,62
57601,999
58560,62
58561,999
59040,61
59041,999
59520,62
59521,999
60480,66
60481,999
60960,61
60961,999
62880,59
62881,999
63840,57
63841,999
109200,64
109201,999
109440,73
109441,999
109920,71
109921,999
110160,71
110161,999
110880,69
110881,999
111120,73
111121,999
113040,64
113041,999
113280,73
113281,999
113760,71
113761,999
114000,71
114001,999
114720,69
114721,999
115200,71
115201,999
116880,64
116881,999
117120,73
117121,999
117600,71
117601,999
117840,71
117841,999
118560,69
118561,999
118800,71
118801,999
119520,73
119521,999
119760,71
119761,999
120960,69
120961,999
121440,66
121441,999
121680,69
121681,999
122400,66
122401,999
123840,73
123841,999
124560,64
124561,999
124800,73
124801,999
125280,71
125281,999
125520,71
125521,999
126000,69
126001,999
126480,69
126481,999
127680,73
127681,999
128000,73
128001,999
128320,81
128321,999
128640,81
128641,999
128960,80
128961,999
129280,80
129281,999
129600,80
129601,999
129920,76
129921,999
130240,76
130241,999
130560,76
130561,999
130880,71
130881,999
131200,71
131201,999
131520,71
131521,999
132240,69
132241,999
132480,71
132481,999
133200,69
133201,999
133440,71
133441,999
133680,69
133681,999
133920,71
133921,999
134160,69
134161,999
134400,71
134401,999
134640,73
134641,999
134880,71
134881,999
135840,69
135841,999
136800,66
136801,999
138240,73
138241,999
138560,73
138561,999
138880,74
138881,999
139200,73
139201,999
139680,69
139681,999
140160,73
140161,999
140480,73
140481,999
140800,74
140801,999
141120,73
141121,999
141600,69
141601,999
142080,73
142081,999
143040,73
143041,999
143520,71
143521,999
144000,73
144001,999
144960,76
144961,999
145440,76
145441,999
146400,71
146401,999
148320,71
148321,999
148800,71
148801,999
149280,73
149281,999
149760,74
149761,999
150720,74
150721,999
151200,73
151201,999
151680,74
151681,999
152640,78
152641,999
153120,73
153121,999
155040,71
155041,999
156000,69
156001,999
157440,73
157441,999
158400,73
158401,999
158880,71
158881,999
159360,73
159361,999
160320,76
160321,999
160800,76
160801,999
161760,71
161761,999
163680,71
163681,999
164160,71
164161,999
164640,73
164641,999
165120,74
165121,999
166080,74
166081,999
166560,73
166561,999
167040,74
167041,999
168000,78
168001,999
168480,73
168481,999
170400,71
170401,999
171360,69
171361,999
180960,73
180961,999
181440,73
181441,999
181920,71
181921,999
182160,71
182161,999
182640,69
182641,999
183120,69
183121,999
184800,73
184801,999
185280,73
185281,999
185760,71
185761,999
186000,71
186001,999
186480,69
186481,999
187200,68
187201,999
187680,69
187681,999
196320,73
196321,999
196800,73
196801,999
197280,71
197281,999
197520,71
197521,999
198000,69
198001,999
198480,69
198481,999
200160,73
200161,999
200640,73
200641,999
201120,71
201121,999
201360,71
201361,999
202080,69
202081,999
202560,68
202561,999
203040,71
203041,999
203520,69
203521,999
205200,66
205201,999
205440,66
205441,999
205680,68
205681,999
206160,69
206161,999
206880,71
206881,999
209280,73
209281,999
211200,74
211201,999
213120,76
213121,999
215040,76
215041,999
217440,76
217441,999
217920,81
217921,999
218400,80
218401,999
245760,73
245761,999
246720,73
246721,999
247200,71
247201,999
247680,73
247681,999
248640,76
248641,999
249120,76
249121,999
250080,71
250081,999
252000,71
252001,999
252480,71
252481,999
252960,73
252961,999
253440,74
253441,999
254400,74
254401,999
254880,73
254881,999
255360,74
255361,999
256320,78
256321,999
256800,73
256801,999
261120,73
261121,999
262080,73
262081,999
262560,71
262561,999
263040,73
263041,999
264000,76
264001,999
264480,76
264481,999
265440,71
265441,999
267360,71
267361,999
267840,71
267841,999
268320,73
268321,999
268800,74
268801,999
269760,74
269761,999
270240,73
270241,999
270720,74
270721,999
271680,78
271681,999
272160,73
272161,999
276480,73
276481,999
277440,73
277441,999
277920,71
277921,999
278400,73
278401,999
279360,76
279361,999
279840,76
279841,999
280800,71
280801,999
282720,71
282721,999
283200,71
283201,999
283680,73
283681,999
284160,74
284161,999
285120,74
285121,999
285600,73
285601,999
286080,74
286081,999
287040,78
287041,999
287520,73
287521,999
291840,73
291841,999
292800,73
292801,999
293280,71
293281,999
293760,73
293761,999
294720,76
294721,999
295200,76
295201,999
296160,71
296161,999
298080,71
298081,999
298560,71
298561,999
299040,73
299041,999
299520,74
299521,999
300480,74
300481,999
300960,73
300961,999
301440,74
301441,999
302400,78
302401,999
302880,73
302881,999
307200,73
307201,999
308160,73
308161,999
308640,71
308641,999
309120,73
309121,999
310080,76
310081,999
310560,76
310561,999
311520,71
311521,999
313440,71
313441,999
313920,71
313921,999
314400,73
314401,999
314880,74
314881,999
315840,74
315841,999
316320,73
316321,999
316800,74
316801,999
317760,78
317761,999
318240,73
318241,999
322560,73
322561,999
323520,73
323521,999
324000,71
324001,999
324480,73
324481,999
325440,76
325441,999
325920,76
325921,999
326880,71
326881,999
328800,71
328801,999
329280,71
329281,999
329760,73
329761,999
330240,74
330241,999
331200,74
331201,999
331680,73
331681,999
332160,74
332161,999
333120,78
333121,999
333600,73
333601,999
334080,73
334081,999
335040,73
335041,999
335360,71
335361,999
335680,71
335681,999
336000,71
336001,999
336320,69
336321,999
336640,69
336641,999
336960,68
336961,999
337440,69
337441,999
