time,semitone
31200,49
31201,999
31440,51
31441,999
31680,52
31681,999
31920,49
31921,999
32160,52
32161,999
32400,59
32401,999
35040,56
35041,999
35280,59
35281,999
35520,63
35521,999
35760,59
35761,999
36000,56
36001,999
36240,59
36241,999
38880,56
38881,999
39120,59
39121,999
39360,63
39361,999
39600,59
39601,999
39840,56
39841,999
40080,54
40081,999
41520,54
41521,999
42000,52
42001,999
42480,52
42481,999
42960,52
42961,999
43440,49
43441,999
43920,47
43921,999
46560,49
46561,999
46800,51
46801,999
47040,52
47041,999
47280,49
47281,999
47520,52
47521,999
47760,59
47761,999
50400,56
50401,999
50640,59
50641,999
50880,63
50881,999
51120,59
51121,999
51360,56
51361,999
51600,59
51601,999
54240,56
54241,999
54480,59
54481,999
54720,63
54721,999
54960,59
54961,999
55200,56
55201,999
55440,54
55441,999
56880,49
56881,999
57120,47
57121,999
57360,56
57361,999
57840,54
57841,999
58560,52
58561,999
58800,49
58801,999
59040,52
59041,999
59280,59
59281,999
63360,68
63361,999
64080,64
64081,999
65040,61
65041,999
65280,68
65281,999
65520,68
65521,999
65760,68
65761,999
66000,68
66001,999
66480,64
66481,999
66960,64
66961,999
67200,66
67201,999
67440,66
67441,999
67680,66
67681,999
67920,66
67921,999
68400,63
68401,999
68640,59
68641,999
68880,66
68881,999
71040,68
71041,999
71280,64
71281,999
71760,64
71761,999
72720,61
72721,999
72960,68
72961,999
73200,68
73201,999
73440,68
73441,999
73680,68
73681,999
74160,64
74161,999
74640,64
74641,999
74880,66
74881,999
75120,66
75121,999
75360,66
75361,999
75600,66
75601,999
76080,63
76081,999
76320,59
76321,999
76560,66
76561,999
78720,68
78721,999
79080,64
79081,999
79440,64
79441,999
79920,61
79921,999
80160,64
80161,999
80400,66
80401,999
80640,67
80641,999
81000,64
81001,999
81360,64
81361,999
82320,64
82321,999
82560,66
82561,999
82920,63
82921,999
83280,63
83281,999
84480,64
84481,999
84720,64
84721,999
85200,64
85201,999
86400,64
86401,999
86640,64
86641,999
87120,64
87121,999
87120,65
87121,999
87600,59
87601,999
88320,64
88321,999
94560,49
94561,999
94800,51
94801,999
95040,52
95041,999
95280,49
95281,999
95520,52
95521,999
95760,59
95761,999
98400,56
98401,999
98640,59
98641,999
98880,63
98881,999
99120,59
99121,999
99360,56
99361,999
99600,59
99601,999
102240,56
102241,999
102480,59
102481,999
102720,63
102721,999
102960,59
102961,999
103200,56
103201,999
103440,54
103441,999
104880,54
104881,999
105360,52
105361,999
105840,52
105841,999
106320,52
106321,999
106800,49
106801,999
107280,47
107281,999
109920,49
109921,999
110160,51
110161,999
110400,52
110401,999
110640,49
110641,999
110880,52
110881,999
111120,59
111121,999
113760,56
113761,999
114000,59
114001,999
114240,63
114241,999
114480,59
114481,999
114720,56
114721,999
114960,59
114961,999
117600,56
117601,999
117840,59
117841,999
118080,63
118081,999
118320,59
118321,999
118560,56
118561,999
118800,54
118801,999
120240,49
120241,999
120480,47
120481,999
120720,56
120721,999
121200,54
121201,999
121920,52
121921,999
122160,49
122161,999
122400,52
122401,999
122640,59
122641,999
126720,68
126721,999
127440,64
