time,semitone
42120,63
42121,999
42240,63
42241,999
42480,63
42481,999
42720,63
42721,999
42960,63
42961,999
43080,63
43081,999
43200,62
43201,999
43440,60
43441,999
43560,58
43561,999
44040,55
44041,999
44160,53
44161,999
44400,53
44401,999
44640,55
44641,999
44880,58
44881,999
45000,55
45001,999
45240,53
45241,999
45960,51
45961,999
46080,63
46081,999
46320,63
46321,999
46500,63
46501,999
47040,62
47041,999
47040,60
47041,999
47280,60
47281,999
47340,58
47341,999
47640,55
47641,999
47820,58
47821,999
47940,55
47941,999
48180,53
48181,999
49560,51
49561,999
49680,51
49681,999
49800,53
49801,999
49920,55
49921,999
50160,55
50161,999
50400,58
50401,999
50640,60
50641,999
50880,58
50881,999
51360,55
51361,999
51600,53
51601,999
51840,51
51841,999
52080,51
52081,999
52320,51
52321,999
52560,51
52561,999
52680,51
52681,999
53400,51
53401,999
53520,51
53521,999
53640,53
53641,999
53760,55
53761,999
54000,58
54001,999
54240,60
54241,999
54480,58
54481,999
54600,60
54601,999
55020,58
55021,999
55140,60
55141,999
55380,63
55381,999
55620,65
55621,999
55680,67
55681,999
55920,65
55921,999
56160,63
56161,999
56400,65
56401,999
57120,58
57121,999
57360,60
57361,999
57600,63
57601,999
57840,63
57841,999
58080,63
58081,999
58320,63
58321,999
58440,63
58441,999
58560,62
58561,999
58800,60
58801,999
58920,58
58921,999
59400,58
59401,999
59520,65
59521,999
59760,67
59761,999
60000,65
60001,999
60240,67
60241,999
61080,58
61081,999
61200,58
61201,999
61320,60
61321,999
61440,63
61441,999
61680,63
61681,999
61920,63
61921,999
62160,63
62161,999
62280,65
62281,999
62400,62
62401,999
62640,60
62641,999
62760,58
62761,999
63240,59
63241,999
63240,58
63241,999
63360,65
63361,999
63600,67
63601,999
63840,65
63841,999
64080,63
64081,999
64920,58
64921,999
65040,58
65041,999
65160,60
65161,999
65280,63
65281,999
65520,63
65521,999
65760,63
65761,999
66000,63
66001,999
66120,63
66121,999
66240,62
66241,999
66480,60
66481,999
66600,58
66601,999
67080,58
67081,999
67200,65
67201,999
67440,67
67441,999
67680,65
67681,999
67920,67
67921,999
68760,58
68761,999
68880,58
68881,999
69000,60
69001,999
69120,63
69121,999
69360,63
69361,999
69600,63
69601,999
69840,63
69841,999
69960,65
69961,999
70080,62
70081,999
70320,60
70321,999
70440,58
70441,999
70920,58
70921,999
71040,65
71041,999
71280,67
71281,999
71520,65
71521,999
71760,63
71761,999
82440,63
82441,999
82560,63
82561,999
82800,63
82801,999
83040,63
83041,999
83280,63
83281,999
83400,63
83401,999
83520,62
83521,999
83760,60
83761,999
83880,58
83881,999
84360,55
84361,999
84480,53
84481,999
84720,53
84721,999
84960,55
84961,999
85200,58
85201,999
85320,55
85321,999
85560,53
85561,999
86280,51
86281,999
86400,63
86401,999
86640,63
86641,999
86820,63
86821,999
87360,62
87361,999
87360,60
87361,999
87600,60
87601,999
87660,58
87661,999
87960,55
87961,999
88140,58
88141,999
88260,55
88261,999
88500,53
88501,999
89880,51
89881,999
90000,51
90001,999
90120,53
90121,999
90240,55
90241,999
90480,55
90481,999
90720,58
90721,999
90960,60
90961,999
91200,58
91201,999
91680,55
91681,999
91920,53
91921,999
92160,51
92161,999
92400,51
92401,999
92640,51
92641,999
92880,51
92881,999
93000,51
93001,999
93720,51
93721,999
93840,51
93841,999
93960,53
93961,999
94080,55
94081,999
94320,58
94321,999
94560,60
94561,999
94800,58
94801,999
94920,60
94921,999
95340,58
95341,999
95460,60
95461,999
95700,63
95701,999
95940,65
95941,999
96000,67
96001,999
96240,65
96241,999
96480,63
96481,999
96720,65
96721,999
97440,58
97441,999
97680,60
97681,999
97920,63
97921,999
98160,63
98161,999
98400,63
98401,999
98640,63
98641,999
98760,63
98761,999
98880,62
98881,999
99120,60
99121,999
99240,58
99241,999
99720,58
99721,999
99840,65
99841,999
100080,67
100081,999
100320,65
100321,999
100560,67
100561,999
101400,58
101401,999
101520,58
101521,999
101640,60
101641,999
101760,63
101761,999
102000,63
102001,999
102240,63
102241,999
102480,63
102481,999
102600,65
102601,999
102720,62
102721,999
102960,60
102961,999
103080,58
103081,999
103560,59
103561,999
103560,58
103561,999
103680,65
103681,999
103920,67
103921,999
104160,65
104161,999
104400,63
104401,999
105240,58
105241,999
105360,58
105361,999
105480,60
105481,999
105600,63
105601,999
105840,63
105841,999
106080,63
106081,999
106320,63
106321,999
106440,63
106441,999
106560,62
106561,999
106800,60
106801,999
106920,58
106921,999
107400,58
107401,999
107520,65
107521,999
107760,67
107761,999
108000,65
108001,999
108240,67
108241,999
109080,58
109081,999
109200,58
109201,999
109320,60
109321,999
109440,63
109441,999
109680,63
109681,999
109920,63
109921,999
110160,63
110161,999
110280,65
110281,999
110400,62
110401,999
110640,60
110641,999
110760,58
110761,999
111240,58
111241,999
111360,65
111361,999
111600,67
111601,999
111840,65
111841,999
112080,63
112081,999
143640,51
143641,999
143760,51
143761,999
143880,53
143881,999
144000,55
144001,999
144240,55
144241,999
144480,58
144481,999
144720,60
144721,999
144960,58
144961,999
145440,55
145441,999
145680,53
145681,999
145920,51
145921,999
146160,51
146161,999
146400,51
146401,999
146640,51
146641,999
146760,51
146761,999
147480,51
147481,999
147600,51
147601,999
147720,53
147721,999
147840,55
147841,999
148080,58
148081,999
148320,60
148321,999
148560,58
148561,999
148680,60
148681,999
149100,58
149101,999
149220,60
149221,999
149460,63
149461,999
149700,65
149701,999
149760,67
149761,999
150000,65
150001,999
150240,63
150241,999
150480,65
150481,999
151200,60
151201,999
151440,62
151441,999
151680,65
151681,999
151920,65
151921,999
152160,65
152161,999
152400,65
152401,999
152520,65
