time,semitone
19200,59
19201,999
19680,59
19681,999
20160,54
20161,999
20640,54
20641,999
20880,52
20881,999
21120,59
21121,999
21600,59
21601,999
22080,54
22081,999
22560,54
22561,999
22800,52
22801,999
23040,59
23041,999
23520,59
23521,999
24000,54
24001,999
24240,54
24241,999
24360,54
24361,999
24720,56
24721,999
24960,52
24961,999
25200,54
25201,999
26400,47
26401,999
26640,47
26641,999
26880,59
26881,999
27840,54
27841,999
28200,54
28201,999
28560,56
28561,999
28800,57
28801,999
29040,56
29041,999
30240,54
30241,999
30480,52
30481,999
30720,54
30721,999
30960,56
30961,999
31200,52
31201,999
32880,52
32881,999
34560,59
34561,999
35040,59
35041,999
35040,59
35041,999
35520,54
35521,999
36000,54
36001,999
36240,52
36241,999
36480,59
36481,999
36960,59
36961,999
37440,54
37441,999
37920,54
37921,999
38160,52
38161,999
38400,59
38401,999
38880,59
38881,999
39360,54
39361,999
39600,54
39601,999
39720,54
39721,999
40080,56
40081,999
40320,52
40321,999
40560,54
40561,999
41760,47
41761,999
42000,47
42001,999
42240,59
42241,999
43200,54
43201,999
43560,54
43561,999
43920,56
43921,999
44160,57
44161,999
44400,56
44401,999
45600,54
45601,999
45840,52
45841,999
46080,54
46081,999
46320,56
46321,999
46560,56
46561,999
50400,64
50401,999
50640,63
50641,999
50880,64
50881,999
51120,63
51121,999
51360,64
51361,999
51600,66
51601,999
51840,66
51841,999
52560,59
52561,999
52800,59
52801,999
54120,59
54121,999
54240,64
54241,999
54480,63
54481,999
54720,64
54721,999
54960,63
54961,999
55200,64
55201,999
55440,66
55441,999
55680,66
55681,999
56400,59
56401,999
56640,59
56641,999
58320,63
58321,999
58560,64
58561,999
58800,63
58801,999
59040,61
59041,999
59280,59
59281,999
59520,59
59521,999
60240,63
60241,999
60480,64
60481,999
60720,63
60721,999
60960,61
60961,999
61200,59
61201,999
61440,59
61441,999
61920,57
61921,999
62160,56
62161,999
62400,57
62401,999
62640,56
62641,999
62880,57
62881,999
63120,59
63121,999
63360,54
63361,999
65040,56
65041,999
65280,57
65281,999
65520,56
65521,999
65760,57
65761,999
66000,56
66001,999
66240,57
66241,999
66480,56
66481,999
66720,54
66721,999
66960,52
66961,999
67200,52
67201,999
74880,59
74881,999
75360,59
75361,999
75360,59
75361,999
75840,54
75841,999
76320,54
76321,999
76560,52
76561,999
76800,59
76801,999
77280,59
77281,999
77760,54
77761,999
78240,54
78241,999
78480,52
78481,999
78720,59
78721,999
79200,59
79201,999
79680,54
79681,999
79920,54
79921,999
80040,54
80041,999
80400,56
80401,999
80640,52
80641,999
80880,54
80881,999
82080,47
82081,999
82320,47
82321,999
82560,59
82561,999
83520,54
83521,999
83880,54
83881,999
84240,56
84241,999
84480,57
84481,999
84720,56
84721,999
85920,54
85921,999
86160,52
86161,999
86400,54
86401,999
86640,56
86641,999
86880,56
86881,999
88800,64
88801,999
89040,63
89041,999
89280,64
89281,999
89520,63
89521,999
89760,64
89761,999
90000,66
90001,999
90240,66
90241,999
90960,59
90961,999
91200,59
91201,999
92520,59
92521,999
92640,64
92641,999
92880,63
92881,999
93120,64
93121,999
93360,63
93361,999
93600,64
93601,999
93840,66
93841,999
94080,66
94081,999
94800,59
94801,999
95040,59
95041,999
96720,63
96721,999
96960,64
96961,999
97200,63
97201,999
97440,61
97441,999
97680,59
97681,999
97920,59
97921,999
98640,63
98641,999
98880,64
98881,999
99120,63
99121,999
99360,61
99361,999
99600,59
99601,999
99840,59
99841,999
100320,57
100321,999
100560,56
100561,999
100800,57
100801,999
101040,56
101041,999
101280,57
101281,999
101520,59
101521,999
101760,59
101761,999
104160,64
104161,999
104400,63
104401,999
104640,64
104641,999
104880,63
104881,999
105120,64
105121,999
105360,66
105361,999
105600,66
105601,999
105600,66
105601,999
106320,59
106321,999
106560,59
106561,999
107880,59
107881,999
108000,64
108001,999
108240,63
108241,999
108480,64
108481,999
108720,63
108721,999
108960,64
108961,999
109200,66
109201,999
109440,66
109441,999
110160,59
110161,999
110400,59
110401,999
112080,63
112081,999
112320,64
112321,999
112560,63
112561,999
112800,61
112801,999
113040,59
113041,999
113280,59
113281,999
114000,63
114001,999
114240,64
114241,999
114480,63
114481,999
114720,61
114721,999
114960,59
114961,999
115200,59
115201,999
115680,57
115681,999
115920,56
115921,999
116160,57
116161,999
116400,56
116401,999
116640,57
116641,999
116880,59
116881,999
117120,54
117121,999
118800,56
118801,999
119040,57
119041,999
119280,56
119281,999
119520,57
119521,999
119760,56
119761,999
120000,57
120001,999
120240,56
120241,999
120480,54
120481,999
120720,52
120721,999
120960,52
120961,999
138720,66
138721,999
138960,65
138961,999
139200,66
139201,999
139440,65
139441,999
139680,66
139681,999
139920,68
139921,999
140160,68
140161,999
140880,61
140881,999
141120,61
141121,999
142440,61
142441,999
142560,66
142561,999
142800,65
142801,999
143040,66
143041,999
143280,65
143281,999
143520,66
143521,999
143760,68
143761,999
144000,68
144001,999
144720,61
144721,999
144960,61
144961,999
146640,65
146641,999
146880,66
146881,999
147120,65
147121,999
147360,63
147361,999
147600,61
147601,999
147840,61
147841,999
148560,65
148561,999
148800,66
148801,999
149040,65
149041,999
149280,63
149281,999
149520,61
149521,999
149760,61
149761,999
150240,59
150241,999
150480,58
150481,999
150720,59
150721,999
150960,58
150961,999
151200,59
151201,999
151440,61
151441,999
151680,56
151681,999
154080,66
154081,999
154320,65
154321,999
154560,66
154561,999
154800,65
154801,999
155040,66
155041,999
155280,68
155281,999
155520,68
155521,999
156240,61
156241,999
156480,61
156481,999
157920,66
157921,999
158160,65
158161,999
158400,66
158401,999
158640,65
158641,999
158880,66
158881,999
159120,68
159121,999
159360,68
159361,999
160080,61
160081,999
160320,61
160321,999
162000,65
162001,999
162240,66
162241,999
162480,65
162481,999
162720,63
162721,999
162960,61
162961,999
163200,61
163201,999
163920,65
163921,999
164160,66
164161,999
164400,65
164401,999
164640,63
164641,999
164880,61
164881,999
165120,61
165121,999
165600,59
165601,999
165840,58
165841,999
166080,59
166081,999
166320,58
166321,999
166560,59
166561,999
166800,61
166801,999
167040,56
167041,999
168720,58
168721,999
168960,59
168961,999
169200,58
169201,999
169440,59
169441,999
169680,58
169681,999
169920,59
169921,999
170160,58
170161,999
170400,56
170401,999
170640,54
170641,999
170880,54
170881,999
173280,58
173281,999
173520,58
173521,999
173760,59
173761,999
174000,58
174001,999
174240,56
174241,999
174480,54
174481,999
174720,54
174721,999
177120,58
177121,999
177360,58
177361,999
177600,59
177601,999
177840,58
177841,999
178080,59
178081,999
178320,61
178321,999
178560,61
178561,999
180240,58
180241,999
180480,59
180481,999
180720,58
180721,999
180960,59
180961,999
181200,58
181201,999
181440,59
181441,999
181680,58
181681,999
181920,56
181921,999
182160,54
182161,999
182400,54
182401,999
