time,semitone
20400,62
20401,999
20640,64
20641,999
20880,65
20881,999
21360,64
21361,999
21840,62
21841,999
22320,60
22321,999
22800,60
22801,999
24480,57
24481,999
24720,55
24721,999
25200,53
25201,999
25440,55
25441,999
25680,53
25681,999
25920,57
25921,999
26400,57
26401,999
28080,62
28081,999
28320,64
28321,999
28560,65
28561,999
29040,64
29041,999
29520,63
29521,999
30000,61
30001,999
30480,60
30481,999
32160,57
32161,999
32400,55
32401,999
33120,57
33121,999
33360,57
33361,999
33840,62
33841,999
34320,64
34321,999
34560,65
34561,999
35520,57
35521,999
36240,65
36241,999
37920,65
37921,999
38160,65
38161,999
38880,65
38881,999
39120,65
39121,999
39840,67
39841,999
40080,65
40081,999
40560,64
40561,999
41040,62
41041,999
41520,64
41521,999
42000,65
42001,999
43200,57
43201,999
43920,55
43921,999
44400,53
44401,999
44880,53
44881,999
45360,55
45361,999
45840,53
45841,999
50400,67
50401,999
50640,67
50641,999
51120,69
51121,999
51600,67
51601,999
52080,65
52081,999
52560,62
52561,999
53040,65
53041,999
54240,67
54241,999
54480,67
54481,999
54960,69
54961,999
55440,67
55441,999
58080,67
58081,999
58320,67
58321,999
58560,67
58561,999
58800,69
58801,999
59280,67
59281,999
59760,65
59761,999
60240,62
60241,999
60720,65
60721,999
61440,70
61441,999
62400,69
62401,999
63360,65
63361,999
64320,67
64321,999
65280,65
65281,999
65760,65
65761,999
66000,65
66001,999
66240,65
66241,999
66480,65
66481,999
66960,64
66961,999
67440,60
67441,999
67920,60
67921,999
68400,62
68401,999
68880,65
68881,999
69600,65
69601,999
69840,65
69841,999
70320,65
70321,999
70800,69
70801,999
71280,67
71281,999
71760,65
71761,999
72240,64
72241,999
72720,65
72721,999
74160,65
74161,999
74640,67
74641,999
76080,64
76081,999
76560,65
76561,999
81120,65
81121,999
81360,65
81361,999
81600,65
81601,999
81840,65
81841,999
82320,64
82321,999
82800,60
82801,999
83280,60
83281,999
83760,62
83761,999
84240,65
84241,999
84960,65
84961,999
85200,65
85201,999
85440,65
85441,999
85680,65
85681,999
86160,69
86161,999
86640,67
86641,999
87120,65
87121,999
87600,64
87601,999
88080,65
88081,999
89520,65
89521,999
90000,67
90001,999
91440,64
91441,999
91920,65
91921,999
102960,62
102961,999
103440,64
103441,999
103680,65
103681,999
104640,57
104641,999
105360,65
105361,999
107040,65
107041,999
107280,65
107281,999
108000,65
108001,999
108240,65
108241,999
108960,67
108961,999
109200,65
109201,999
109680,64
109681,999
110160,62
110161,999
110640,64
110641,999
111120,65
111121,999
112320,57
112321,999
113040,55
113041,999
113520,53
113521,999
114000,53
114001,999
114480,55
114481,999
114960,53
114961,999
119520,67
119521,999
119760,67
119761,999
120240,69
120241,999
120720,67
120721,999
121200,65
121201,999
121680,62
121681,999
122160,65
122161,999
123360,67
123361,999
123600,67
123601,999
124080,69
124081,999
124560,67
124561,999
127200,67
127201,999
127440,67
127441,999
127680,67
127681,999
127920,69
127921,999
128400,67
128401,999
128880,65
128881,999
129360,62
129361,999
129840,65
129841,999
130560,70
130561,999
131520,69
131521,999
132480,65
132481,999
133440,67
133441,999
134400,65
134401,999
134880,65
134881,999
135120,65
135121,999
135360,65
135361,999
135600,65
135601,999
136080,64
136081,999
136560,60
136561,999
137040,60
137041,999
137520,62
137521,999
138000,65
138001,999
138720,65
138721,999
138960,65
138961,999
139440,65
139441,999
139920,69
139921,999
140400,67
140401,999
140880,65
140881,999
141360,64
141361,999
141840,65
141841,999
143280,65
143281,999
143760,67
143761,999
145200,64
145201,999
145680,65
145681,999
150240,65
150241,999
150480,65
150481,999
150720,65
150721,999
150960,65
150961,999
151440,64
151441,999
151920,60
151921,999
152400,60
152401,999
152880,62
152881,999
153360,65
153361,999
154080,65
154081,999
154320,65
154321,999
154560,65
154561,999
154800,65
154801,999
155280,69
155281,999
155760,67
155761,999
156240,65
156241,999
156720,64
156721,999
157200,65
157201,999
158640,65
158641,999
159120,67
159121,999
160560,64
160561,999
161040,65
161041,999
165600,67
165601,999
165840,67
165841,999
166320,69
166321,999
166800,67
166801,999
167280,65
167281,999
167760,62
167761,999
168240,65
168241,999
169440,67
169441,999
169680,67
169681,999
170160,69
170161,999
170640,67
170641,999
173280,67
173281,999
173520,67
173521,999
173760,67
173761,999
174000,69
174001,999
174480,67
174481,999
174960,65
174961,999
175440,62
175441,999
175920,65
175921,999
176640,70
176641,999
177600,69
177601,999
178560,65
178561,999
179520,67
179521,999
180480,65
180481,999
180960,65
180961,999
181200,65
181201,999
181440,65
181441,999
181680,65
181681,999
182160,64
182161,999
182640,60
182641,999
183120,60
183121,999
183600,62
183601,999
184080,65
184081,999
184800,65
184801,999
185040,65
185041,999
185520,65
185521,999
186000,69
186001,999
186480,67
186481,999
186960,65
186961,999
187440,64
187441,999
187920,65
187921,999
188160,60
188161,999
188160,48
188161,999
188400,60
188401,999
188400,48
188401,999
188640,60
188641,999
188640,48
188641,999
188880,60
188881,999
188880,48
188881,999
189360,65
189361,999
189360,60
189361,999
189360,48
189361,999
189840,67
189841,999
190080,61
190081,999
190080,49
190081,999
190320,61
190321,999
190320,49
190321,999
190560,61
190561,999
190560,49
190561,999
190800,61
190801,999
190800,49
190801,999
191280,64
191281,999
191280,61
191281,999
191280,49
191281,999
191760,64
191761,999
191760,65
191761,999
191760,52
191761,999
192240,62
192241,999
192240,50
192241,999
196320,65
196321,999
196560,65
196561,999
196800,65
196801,999
197040,65
197041,999
197520,64
197521,999
198000,60
198001,999
198480,60
198481,999
198960,62
198961,999
199440,65
199441,999
200160,65
200161,999
200400,65
200401,999
200640,65
200641,999
200880,65
200881,999
201360,69
201361,999
201840,67
201841,999
202320,65
202321,999
202800,64
202801,999
203280,65
203281,999
203520,60
203521,999
203520,48
203521,999
203760,60
203761,999
203760,48
203761,999
204000,60
204001,999
204000,48
204001,999
204240,60
204241,999
204240,48
204241,999
204720,65
204721,999
204720,60
204721,999
204720,48
204721,999
205200,67
205201,999
205440,61
205441,999
205440,49
205441,999
205680,61
205681,999
205680,49
205681,999
205920,61
205921,999
205920,49
205921,999
206160,61
206161,999
206160,49
206161,999
206640,64
206641,999
206640,61
206641,999
206640,49
206641,999
207120,64
207121,999
207120,65
207121,999
207120,52
207121,999
207600,62
207601,999
207600,50
207601,999
