time,semitone
22080,72
22081,999
22320,74
22321,999
22560,76
22561,999
22800,72
22801,999
24000,72
24001,999
24240,74
24241,999
24480,76
24481,999
24720,72
24721,999
26400,72
26401,999
26640,72
26641,999
26880,71
26881,999
27120,71
27121,999
27360,71
27361,999
27600,71
27601,999
27840,71
27841,999
28080,72
28081,999
28320,71
28321,999
28560,72
28561,999
29760,72
29761,999
30000,74
30001,999
30240,76
30241,999
30480,72
30481,999
31680,72
31681,999
31920,74
31921,999
32160,76
32161,999
32400,72
32401,999
34080,72
34081,999
34320,72
34321,999
34560,71
34561,999
34800,71
34801,999
35040,71
35041,999
35280,71
35281,999
35520,71
35521,999
35760,72
35761,999
36000,71
36001,999
36240,72
36241,999
37200,83
37201,999
37920,84
37921,999
39120,83
39121,999
39840,84
39841,999
41040,83
41041,999
41520,84
41521,999
41760,83
41761,999
42000,84
42001,999
42960,83
42961,999
43440,84
43441,999
43680,83
43681,999
43920,84
43921,999
44640,79
44641,999
44880,79
44881,999
45120,79
45121,999
45360,79
45361,999
45600,83
45601,999
45840,84
45841,999
46560,79
46561,999
46800,79
46801,999
47040,79
47041,999
47280,77
47281,999
47520,76
47521,999
47760,77
47761,999
48240,72
48241,999
50400,74
50401,999
50400,67
50401,999
50640,74
50641,999
50640,67
50641,999
50880,74
50881,999
50880,67
50881,999
51120,76
51121,999
51360,74
51361,999
51840,74
51841,999
51840,67
51841,999
53040,76
53041,999
53040,67
53041,999
53280,74
53281,999
53520,72
53521,999
53520,69
53521,999
55680,74
55681,999
55680,67
55681,999
56880,76
56881,999
56880,69
56881,999
57120,74
57121,999
57120,69
57121,999
57360,72
57361,999
57360,67
57361,999
61440,76
61441,999
61680,79
61681,999
61920,86
61921,999
62160,84
62161,999
62640,79
62641,999
63120,76
63121,999
63600,79
63601,999
63840,86
63841,999
64080,84
64081,999
64560,79
64561,999
65040,77
65041,999
65520,84
65521,999
69120,76
69121,999
69360,79
69361,999
69600,86
69601,999
69840,84
69841,999
70320,79
70321,999
70800,76
70801,999
71280,79
71281,999
71520,86
71521,999
71760,84
71761,999
72240,79
72241,999
72720,77
72721,999
73200,84
73201,999
77280,79
77281,999
77520,79
77521,999
77760,79
77761,999
78000,72
78001,999
78480,72
78481,999
78720,79
78721,999
78960,79
78961,999
79200,79
79201,999
79440,79
79441,999
79680,79
79681,999
79920,72
79921,999
81120,79
81121,999
81360,79
81361,999
81600,79
81601,999
81840,72
81841,999
82320,72
82321,999
82560,79
82561,999
82800,79
82801,999
83040,79
