time,semitone
12960,59
12961,999
13260,59
13261,999
13440,59
13441,999
13740,59
13741,999
13920,64
13921,999
14400,59
14401,999
14760,58
14761,999
16740,56
16741,999
16800,57
16801,999
17160,57
17161,999
17280,57
17281,999
17580,57
17581,999
17760,63
17761,999
18240,57
18241,999
18540,56
18541,999
20520,58
20521,999
20640,59
20641,999
20940,59
20941,999
21120,59
21121,999
21420,59
21421,999
21600,64
21601,999
22080,59
22081,999
22380,58
22381,999
22860,58
22861,999
23040,58
23041,999
23340,58
23341,999
23520,63
23521,999
24000,58
24001,999
24300,57
24301,999
24780,57
24781,999
24960,57
24961,999
25260,57
25261,999
25500,63
25501,999
25920,57
25921,999
26220,56
26221,999
28320,59
28321,999
28620,59
28621,999
28800,59
28801,999
29100,59
29101,999
29280,64
29281,999
29760,59
29761,999
30120,58
30121,999
32100,56
32101,999
32160,57
32161,999
32520,57
32521,999
32640,57
32641,999
32940,57
32941,999
33120,63
33121,999
33600,57
33601,999
33900,56
33901,999
35880,58
35881,999
36000,59
36001,999
36300,59
36301,999
36480,59
36481,999
36780,59
36781,999
36960,64
36961,999
37440,68
37441,999
37740,66
37741,999
38220,58
38221,999
38400,58
38401,999
38700,58
38701,999
38940,66
38941,999
39360,58
39361,999
39660,57
39661,999
40140,57
40141,999
40320,57
40321,999
40620,57
40621,999
40860,63
40861,999
41280,66
41281,999
41580,64
41581,999
43620,59
43621,999
43680,61
43681,999
44640,64
44641,999
45120,61
45121,999
45420,63
45421,999
47580,59
47581,999
48060,59
48061,999
48300,59
48301,999
48480,64
48481,999
48960,59
48961,999
49260,61
49261,999
51300,59
51301,999
51360,61
51361,999
52320,64
52321,999
52800,61
52801,999
53100,63
53101,999
53580,63
53581,999
53760,63
53761,999
54060,63
54061,999
54240,66
54241,999
54720,63
54721,999
55020,64
55021,999
58380,66
58381,999
58620,61
58621,999
58920,64
58921,999
62760,68
62761,999
62880,69
62881,999
63360,64
63361,999
63900,64
63901,999
64320,64
64321,999
64620,61
64621,999
64780,62
64781,999
65320,64
65321,999
65620,69
65621,999
66640,68
66641,999
66760,69
66761,999
67240,64
67241,999
67720,64
67721,999
68200,64
68201,999
68440,61
68441,999
68620,62
68621,999
69100,64
69101,999
69480,71
69481,999
70500,68
70501,999
70560,69
70561,999
71580,64
71581,999
72060,64
72061,999
72360,64
72361,999
72480,66
72481,999
73500,69
73501,999
73920,64
73921,999
73980,66
73981,999
74220,64
74221,999
78160,68
78161,999
78220,69
78221,999
78700,64
78701,999
79240,64
79241,999
79720,64
79721,999
80020,61
80021,999
80200,62
80201,999
80680,64
80681,999
80980,69
80981,999
82120,69
82121,999
82600,64
82601,999
83080,64
83081,999
83560,64
83561,999
83800,61
83801,999
84040,62
84041,999
84460,64
84461,999
84760,71
84761,999
85840,68
85841,999
85900,69
85901,999
86440,64
86441,999
86920,64
