time,semitone
7200,83
7201,999
7440,79
7441,999
20160,67
20161,999
20400,67
20401,999
20640,67
20641,999
20880,66
20881,999
21120,67
21121,999
21600,66
21601,999
21840,67
21841,999
22320,71
22321,999
23040,71
23041,999
24960,69
24961,999
26400,66
26401,999
26640,67
26641,999
26880,69
26881,999
27360,71
27361,999
27600,67
27601,999
28320,66
28321,999
28560,67
28561,999
29280,69
29281,999
29520,67
29521,999
30480,66
30481,999
30720,62
30721,999
31200,64
31201,999
31440,64
31441,999
32640,62
32641,999
35520,67
35521,999
35760,67
35761,999
36000,67
36001,999
36240,66
36241,999
36480,67
36481,999
36960,66
36961,999
37200,67
37201,999
37680,74
37681,999
38400,74
38401,999
40320,72
40321,999
41760,69
41761,999
42000,71
42001,999
42240,72
42241,999
42720,71
42721,999
42960,71
42961,999
43440,69
43441,999
43920,71
43921,999
44400,67
44401,999
45840,67
45841,999
46080,76
46081,999
46560,71
46561,999
47040,69
47041,999
47520,67
47521,999
47760,69
47761,999
49440,69
49441,999
49680,71
49681,999
49920,72
49921,999
50400,71
50401,999
50640,72
50641,999
51600,74
51601,999
51840,76
51841,999
52320,74
52321,999
52800,72
52801,999
53280,71
53281,999
53760,71
53761,999
54240,64
54241,999
54480,67
54481,999
56640,71
56641,999
57120,69
57121,999
59040,71
59041,999
61440,73
61441,999
61920,71
61921,999
62160,73
62161,999
62880,71
62881,999
63120,73
63121,999
63840,71
63841,999
64080,73
64081,999
64560,80
64561,999
65040,76
65041,999
67200,69
67201,999
67680,68
67681,999
67920,69
67921,999
68400,74
68401,999
68880,73
68881,999
71040,71
71041,999
71520,73
71521,999
71760,69
71761,999
72720,68
72721,999
72960,68
72961,999
73440,69
73441,999
73680,69
73681,999
76800,73
76801,999
77280,71
77281,999
77520,73
77521,999
78240,71
78241,999
78480,73
78481,999
79200,71
79201,999
79440,73
79441,999
79920,80
79921,999
80400,76
80401,999
82560,69
82561,999
83040,68
83041,999
83280,69
83281,999
83760,74
83761,999
84240,73
84241,999
88080,68
88081,999
88320,78
88321,999
88800,75
88801,999
89040,73
89041,999
89520,71
89521,999
90000,73
90001,999
91680,78
91681,999
92160,76
92161,999
94080,69
94081,999
94800,71
94801,999
95520,73
95521,999
96000,74
96001,999
99360,71
99361,999
99600,73
99601,999
99840,74
99841,999
100800,73
100801,999
101280,71
101281,999
102720,73
102721,999
103200,69
103201,999
133920,71
133921,999
134160,73
134161,999
134400,74
134401,999
134880,73
134881,999
135120,74
135121,999
136080,76
136081,999
136320,78
136321,999
136800,76
136801,999
137280,74
137281,999
137760,73
137761,999
138240,73
138241,999
138720,66
138721,999
138960,69
138961,999
141120,73
141121,999
141600,71
141601,999
143520,73
143521,999
145920,75
145921,999
146400,73
146401,999
146640,75
146641,999
147360,73
147361,999
147600,75
147601,999
148320,73
148321,999
148560,75
148561,999
149040,82
149041,999
149520,78
149521,999
151680,71
151681,999
152160,70
152161,999
152400,71
152401,999
152880,76
152881,999
153360,75
153361,999
155520,73
155521,999
156000,75
156001,999
156240,71
156241,999
157200,70
157201,999
157440,70
157441,999
157920,71
157921,999
158160,71
158161,999
161280,75
161281,999
161760,73
161761,999
162000,75
162001,999
162720,73
162721,999
162960,75
162961,999
163680,73
163681,999
163920,75
163921,999
164400,82
164401,999
164880,78
164881,999
167040,71
167041,999
167520,70
167521,999
167760,71
167761,999
168240,76
168241,999
168720,75
168721,999
170400,73
170401,999
170640,75
170641,999
170880,78
170881,999
171360,75
171361,999
171600,78
171601,999
171840,80
171841,999
172320,75
172321,999
172560,73
172561,999
172800,73
172801,999
173520,75
173521,999
174240,71
174241,999
176640,78
176641,999
176640,75
176641,999
176640,71
176641,999
177120,78
177121,999
177120,73
177121,999
177120,70
177121,999
177360,78
177361,999
177360,75
177361,999
177360,71
177361,999
178080,78
178081,999
178080,73
178081,999
178080,70
178081,999
178320,78
178321,999
178320,75
178321,999
178320,71
178321,999
179040,78
179041,999
179040,73
179041,999
179040,70
179041,999
179280,78
179281,999
179280,75
179281,999
179280,71
179281,999
179760,85
179761,999
179760,82
179761,999
179760,75
179761,999
180240,82
180241,999
180240,78
180241,999
180240,73
180241,999
182400,75
182401,999
182400,71
182401,999
182880,75
182881,999
182880,70
182881,999
183120,75
183121,999
183120,71
183121,999
183600,80
183601,999
183600,76
183601,999
184080,80
184081,999
184080,75
184081,999
186240,73
186241,999
186720,75
186721,999
186960,71
186961,999
187920,70
187921,999
188160,70
188161,999
188640,71
188641,999
188880,71
188881,999
192000,75
192001,999
192480,73
192481,999
192720,75
192721,999
193440,73
193441,999
193680,75
193681,999
194400,73
194401,999
194640,75
194641,999
195120,82
195121,999
195600,78
195601,999
197760,71
197761,999
198240,70
198241,999
198480,71
198481,999
198960,76
198961,999
199440,75
199441,999
203280,70
203281,999
203520,80
203521,999
204000,77
204001,999
204240,75
204241,999
204720,73
204721,999
205200,75
205201,999
206880,80
206881,999
207360,78
207361,999
209280,71
209281,999
210000,73
210001,999
210720,75
210721,999
211200,76
211201,999
214560,73
214561,999
214800,75
214801,999
215040,76
215041,999
216000,75
216001,999
216480,73
216481,999
217920,75
217921,999
218400,71
218401,999
