time,semitone
2400,57
2401,999
2640,59
2641,999
3360,59
3361,999
3600,60
3601,999
4560,60
4561,999
6240,57
6241,999
6480,59
6481,999
7200,59
7201,999
7440,60
7441,999
8400,60
8401,999
10080,57
10081,999
10320,59
10321,999
11040,59
11041,999
11280,60
11281,999
12000,60
12001,999
12240,62
12241,999
12960,62
12961,999
13200,64
13201,999
15360,62
15361,999
16560,60
16561,999
16800,59
16801,999
17040,60
17041,999
18000,57
18001,999
21600,57
21601,999
21840,59
21841,999
22560,59
22561,999
22800,60
22801,999
23760,60
23761,999
25440,57
25441,999
25680,59
25681,999
26400,62
26401,999
26640,60
26641,999
27600,60
27601,999
29280,57
29281,999
29520,59
29521,999
30240,59
30241,999
30480,60
30481,999
31200,60
31201,999
31440,62
31441,999
32160,62
32161,999
32400,64
32401,999
34560,62
34561,999
35280,64
35281,999
36000,62
36001,999
36480,60
36481,999
38400,59
38401,999
39120,60
39121,999
39840,55
39841,999
40320,57
40321,999
44160,57
44161,999
45120,59
45121,999
46080,60
46081,999
46800,60
46801,999
47040,60
47041,999
47280,62
47281,999
47520,64
47521,999
48000,62
48001,999
48960,62
48961,999
49200,60
49201,999
49440,59
49441,999
49920,60
49921,999
50640,60
50641,999
50880,60
50881,999
51120,62
51121,999
51360,64
51361,999
51840,59
51841,999
52320,64
52321,999
52800,62
52801,999
53040,60
53041,999
53280,59
53281,999
53760,60
53761,999
55200,62
55201,999
55440,60
55441,999
56160,55
56161,999
56400,55
56401,999
57120,55
57121,999
57360,55
57361,999
57600,65
57601,999
58560,64
58561,999
59520,62
59521,999
61440,57
61441,999
62400,59
62401,999
63360,60
63361,999
64080,60
64081,999
64320,60
64321,999
64560,62
64561,999
64800,64
64801,999
65280,62
65281,999
66240,62
66241,999
66480,60
66481,999
66720,59
66721,999
67200,60
67201,999
67920,60
67921,999
68160,60
68161,999
68400,62
68401,999
68640,64
68641,999
69120,59
69121,999
69600,64
69601,999
70080,62
70081,999
70320,60
70321,999
70560,59
70561,999
71040,60
71041,999
72480,62
72481,999
72720,60
72721,999
73440,55
73441,999
73680,55
73681,999
74400,55
74401,999
74640,55
74641,999
74880,65
74881,999
75360,64
75361,999
75600,62
75601,999
76080,60
76081,999
76800,60
76801,999
77280,59
77281,999
77520,57
77521,999
78000,59
78001,999
78480,60
78481,999
83040,63
83041,999
83280,62
83281,999
83520,63
83521,999
84780,58
84781,999
85200,58
85201,999
86880,63
86881,999
87120,62
87121,999
87360,63
87361,999
88080,65
88081,999
88320,68
88321,999
89040,67
89041,999
89340,67
89341,999
91620,70
91621,999
92160,68
92161,999
92880,67
92881,999
93120,67
93121,999
119040,63
119041,999
119760,63
119761,999
120000,63
120001,999
120240,65
120241,999
120480,67
120481,999
120960,65
120961,999
121920,65
121921,999
122160,63
122161,999
122400,62
122401,999
122880,63
122881,999
123600,63
123601,999
123840,63
123841,999
124080,65
124081,999
124320,67
124321,999
124800,62
124801,999
125280,67
125281,999
125760,65
125761,999
126000,63
126001,999
126240,62
126241,999
126720,63
126721,999
128160,65
128161,999
128400,63
128401,999
129120,58
129121,999
129360,58
129361,999
130080,58
130081,999
130320,58
130321,999
130560,68
130561,999
131520,67
131521,999
132480,65
132481,999
134400,60
134401,999
135360,62
135361,999
136320,63
136321,999
137040,63
137041,999
137280,63
137281,999
137520,65
137521,999
137760,67
137761,999
138240,65
138241,999
139200,65
139201,999
139440,63
139441,999
139680,62
139681,999
140160,63
140161,999
140880,63
140881,999
141120,63
141121,999
141360,65
141361,999
141600,67
141601,999
142080,62
142081,999
142560,67
142561,999
143040,65
143041,999
143280,63
143281,999
143520,62
143521,999
144000,63
144001,999
145440,65
145441,999
145680,63
145681,999
146400,58
146401,999
146640,58
146641,999
147360,58
147361,999
147600,58
147601,999
147840,68
147841,999
148320,67
148321,999
148560,65
148561,999
149040,63
149041,999
149760,63
149761,999
150240,62
150241,999
150480,60
150481,999
150960,62
150961,999
151440,63
151441,999
151680,63
151681,999
152400,63
152401,999
152640,63
152641,999
152880,65
152881,999
153120,67
153121,999
153600,65
153601,999
154560,65
154561,999
154800,63
154801,999
155040,62
155041,999
155520,63
155521,999
156240,63
156241,999
156480,63
156481,999
156720,65
156721,999
156960,67
156961,999
157440,62
157441,999
157920,67
157921,999
158400,65
158401,999
158640,63
158641,999
158880,62
158881,999
159360,63
159361,999
160800,65
160801,999
161040,63
161041,999
161760,58
161761,999
162000,58
162001,999
162720,58
162721,999
162960,58
162961,999
163200,68
163201,999
164160,67
164161,999
165120,65
165121,999
167040,60
167041,999
168000,62
168001,999
168960,63
168961,999
169680,63
169681,999
169920,63
169921,999
170160,65
170161,999
170400,67
170401,999
170880,65
170881,999
171840,65
171841,999
172080,63
172081,999
172320,62
172321,999
172800,63
172801,999
173520,63
173521,999
173760,63
173761,999
174000,65
174001,999
174240,67
174241,999
174720,62
174721,999
175200,67
175201,999
175680,65
175681,999
175920,63
175921,999
176160,62
176161,999
176640,63
176641,999
178080,65
178081,999
178320,63
178321,999
179040,58
179041,999
179280,58
179281,999
180000,58
180001,999
180240,58
180241,999
180480,68
180481,999
180960,67
180961,999
181200,65
181201,999
181680,63
181681,999
182400,63
182401,999
182880,62
182881,999
183120,60
183121,999
183600,62
183601,999
184080,63
184081,999
192000,68
192001,999
192480,67
192481,999
192720,65
192721,999
193200,63
193201,999
193920,63
193921,999
194880,62
194881,999
195840,60
195841,999
196800,62
196801,999
197760,63
197761,999
