time,semitone
14400,71
14401,999
15840,67
15841,999
17040,64
17041,999
17280,69
17281,999
17760,71
17761,999
20160,71
20161,999
20640,72
20641,999
21120,71
21121,999
21600,69
21601,999
22080,67
22081,999
22560,69
22561,999
23040,69
23041,999
23520,71
23521,999
25920,71
25921,999
27360,67
27361,999
28560,64
28561,999
28800,69
28801,999
29280,71
29281,999
31440,64
31441,999
31680,67
31681,999
32160,69
32161,999
32640,71
32641,999
33120,69
33121,999
33600,67
33601,999
33840,66
33841,999
34380,66
34381,999
34560,67
34561,999
34800,67
34801,999
37440,71
37441,999
38880,67
38881,999
40080,64
40081,999
40320,69
40321,999
40800,71
40801,999
42960,67
42961,999
43200,71
43201,999
43680,72
43681,999
44160,71
44161,999
44400,69
44401,999
44640,69
44641,999
44880,67
44881,999
45120,67
45121,999
45840,69
45841,999
46080,69
46081,999
46800,71
46801,999
48960,76
48961,999
49440,71
49441,999
49680,74
49681,999
49920,69
49921,999
50160,71
50161,999
50400,69
50401,999
51600,67
51601,999
51840,69
51841,999
52320,74
52321,999
52680,72
52681,999
52800,71
52801,999
53160,69
53161,999
54480,67
54481,999
54720,67
54721,999
55200,69
55201,999
55680,71
55681,999
56160,76
56161,999
56640,74
56641,999
57120,69
57121,999
57360,71
57361,999
57600,69
57601,999
58080,67
58081,999
60000,64
60001,999
60240,67
60241,999
60480,69
60481,999
60960,69
60961,999
61680,67
61681,999
61920,67
61921,999
63120,64
63121,999
63360,69
63361,999
63840,69
63841,999
64320,71
64321,999
64800,69
64801,999
65040,67
65041,999
65280,67
65281,999
66000,64
66001,999
66240,71
66241,999
66720,71
66721,999
67200,71
67201,999
67680,71
67681,999
67920,69
67921,999
68160,69
68161,999
68400,67
68401,999
69120,74
69121,999
73440,67
73441,999
73920,69
73921,999
74400,71
74401,999
74880,74
74881,999
76080,67
76081,999
76320,74
76321,999
76800,72
76801,999
77280,71
77281,999
77760,69
77761,999
78240,71
78241,999
79200,67
79201,999
79680,69
79681,999
80160,71
80161,999
80640,74
80641,999
81120,74
81121,999
81600,74
81601,999
82080,74
82081,999
82320,72
82321,999
82560,72
82561,999
82800,71
82801,999
83040,71
83041,999
83280,69
83281,999
83520,69
83521,999
84960,67
84961,999
85440,69
85441,999
85920,71
85921,999
86400,74
86401,999
87840,74
87841,999
88320,72
88321,999
89040,71
89041,999
89280,69
89281,999
90000,71
90001,999
91920,67
91921,999
92160,72
92161,999
92880,71
92881,999
93120,72
93121,999
93600,74
93601,999
94080,71
94081,999
94560,71
94561,999
94800,69
94801,999
95040,71
95041,999
95280,69
95281,999
95520,69
95521,999
96480,67
96481,999
96960,69
96961,999
97440,71
97441,999
97920,74
97921,999
99120,67
99121,999
99360,74
99361,999
99840,72
99841,999
100320,71
100321,999
100800,69
100801,999
101280,71
101281,999
102240,67
102241,999
102720,69
102721,999
103200,71
103201,999
103680,74
103681,999
104160,74
104161,999
104640,74
104641,999
105120,74
105121,999
105600,76
105601,999
106080,71
106081,999
106320,69
106321,999
106560,69
106561,999
108000,67
108001,999
108480,69
108481,999
108960,71
108961,999
109440,74
109441,999
110880,74
110881,999
111360,72
111361,999
111840,71
111841,999
112320,69
112321,999
112800,69
112801,999
113280,74
113281,999
113760,71
113761,999
114720,69
114721,999
114960,71
114961,999
115200,72
115201,999
115440,71
115441,999
115680,72
115681,999
115920,71
115921,999
116280,67
116281,999
118080,72
118081,999
118560,71
118561,999
118800,69
118801,999
119040,69
119041,999
119520,67
119521,999
119760,66
119761,999
120000,66
120001,999
120240,67
120241,999
120480,66
120481,999
120720,67
120721,999
121260,67
121261,999
145440,69
145441,999
145920,71
145921,999
146400,73
146401,999
146880,76
146881,999
148080,69
148081,999
148320,76
148321,999
148800,74
148801,999
149520,73
149521,999
149760,71
149761,999
150240,73
150241,999
151200,69
151201,999
151680,71
151681,999
152160,73
152161,999
152640,76
152641,999
153120,76
153121,999
153600,76
153601,999
154080,76
154081,999
154320,74
154321,999
154560,74
154561,999
154800,73
154801,999
155040,73
155041,999
155280,76
155281,999
155520,76
155521,999
155760,73
155761,999
156000,71
156001,999
156960,69
156961,999
157440,71
157441,999
157920,73
157921,999
158400,76
158401,999
159840,76
159841,999
160320,74
160321,999
161040,73
161041,999
161280,71
161281,999
161760,73
161761,999
162360,71
162361,999
162480,69
162481,999
163920,69
163921,999
164160,74
164161,999
164880,73
164881,999
165120,74
165121,999
165600,76
165601,999
166080,73
166081,999
166560,73
166561,999
166800,71
166801,999
167040,73
167041,999
167280,71
167281,999
167520,71
167521,999
168480,69
168481,999
168960,71
168961,999
169440,73
169441,999
169920,76
169921,999
171120,69
171121,999
171360,76
171361,999
171840,74
171841,999
172320,73
172321,999
172800,71
172801,999
173280,73
173281,999
174240,69
174241,999
174720,71
174721,999
175200,73
175201,999
175680,76
175681,999
176160,76
176161,999
176640,76
176641,999
177120,76
177121,999
177600,78
177601,999
178080,81
178081,999
178560,83
178561,999
185760,85
185761,999
186240,83
186241,999
186720,81
186721,999
187200,83
187201,999
188160,81
188161,999
188640,81
188641,999
189120,81
189121,999
189600,81
189601,999
190080,81
190081,999
190320,78
190321,999
190560,76
190561,999
191040,76
191041,999
191520,76
191521,999
191760,71
191761,999
192000,73
192001,999
192480,71
192481,999
192720,73
192721,999
192960,74
192961,999
193200,73
193201,999
193440,74
193441,999
193680,73
193681,999
194160,69
194161,999
201600,74
201601,999
202200,73
202201,999
202440,71
202441,999
202800,71
202801,999
203040,69
203041,999
203340,69
203341,999
203640,68
203641,999
204000,69
204001,999
204300,68
204301,999
204720,68
204721,999
204960,69
204961,999
205440,69
205441,999
210240,73
210241,999
210540,71
210541,999
212880,73
212881,999
213120,69
213121,999
218880,73
218881,999
219360,69
219361,999
