time,semitone
19920,67
19921,999
20400,70
20401,999
20880,72
20881,999
21840,70
21841,999
23760,71
23761,999
24240,74
24241,999
24720,77
24721,999
25680,75
25681,999
26880,72
26881,999
27360,72
27361,999
27600,72
27601,999
28320,72
28321,999
28560,72
28561,999
29280,72
29281,999
29520,72
29521,999
30240,69
30241,999
30480,71
30481,999
35280,67
35281,999
35760,70
35761,999
36240,72
36241,999
37200,70
37201,999
39120,71
39121,999
39600,74
39601,999
40080,77
40081,999
41040,75
41041,999
42240,72
42241,999
42720,72
42721,999
42960,72
42961,999
43680,72
43681,999
43920,72
43921,999
44640,72
44641,999
44880,77
44881,999
45600,72
45601,999
46080,75
46081,999
47520,74
47521,999
47760,72
47761,999
48000,74
48001,999
49680,67
49681,999
49920,77
49921,999
50400,76
50401,999
50700,76
50701,999
51360,74
51361,999
51600,74
51601,999
52320,72
52321,999
52560,71
52561,999
53280,72
53281,999
53520,76
53521,999
54240,74
54241,999
54480,74
54481,999
55200,69
55201,999
55440,74
55441,999
57120,71
57121,999
57360,72
57361,999
57600,76
57601,999
58080,74
58081,999
58320,74
58321,999
59040,72
59041,999
59280,72
59281,999
60000,71
60001,999
60240,69
60241,999
60720,71
60721,999
61440,67
61441,999
65040,67
65041,999
65280,77
65281,999
65760,76
65761,999
66060,76
66061,999
66720,74
66721,999
66960,74
66961,999
67680,72
67681,999
67920,71
67921,999
68640,72
68641,999
68880,76
68881,999
69600,74
69601,999
69840,74
69841,999
70560,69
70561,999
70800,74
70801,999
72480,71
72481,999
72720,72
72721,999
72960,76
72961,999
73440,74
73441,999
73680,74
73681,999
74400,72
74401,999
74640,72
74641,999
75360,71
75361,999
75600,69
75601,999
76080,71
76081,999
76560,72
76561,999
76800,72
76801,999
81360,67
81361,999
81840,70
81841,999
82320,72
82321,999
83280,70
83281,999
85200,71
85201,999
85680,74
85681,999
86160,77
86161,999
87120,75
87121,999
88320,72
88321,999
88800,72
88801,999
89040,72
89041,999
89760,72
89761,999
90000,72
90001,999
90720,72
90721,999
90960,72
90961,999
91680,69
91681,999
91920,71
91921,999
96720,67
96721,999
97200,70
97201,999
97680,72
97681,999
98320,70
98321,999
98480,67
98481,999
98640,70
98641,999
100560,71
100561,999
101040,74
101041,999
101520,77
101521,999
102480,75
102481,999
103680,72
103681,999
104160,72
104161,999
104400,72
104401,999
105120,72
105121,999
105360,72
105361,999
106080,72
106081,999
106320,77
106321,999
107040,72
107041,999
107520,75
107521,999
108960,74
108961,999
109200,72
109201,999
109440,74
109441,999
111120,67
111121,999
111360,77
111361,999
111840,76
111841,999
112140,76
112141,999
112800,74
112801,999
113040,74
113041,999
113760,72
113761,999
114000,71
114001,999
114720,72
114721,999
114960,76
114961,999
115680,74
115681,999
115920,74
115921,999
116640,69
116641,999
116880,74
116881,999
118560,71
118561,999
118800,72
118801,999
119040,76
119041,999
119520,74
119521,999
119760,74
119761,999
120480,72
120481,999
120720,72
120721,999
121440,71
121441,999
121680,69
121681,999
122160,71
122161,999
122880,67
122881,999
126480,67
126481,999
126720,77
126721,999
127200,76
127201,999
127500,76
127501,999
128160,74
128161,999
128400,74
128401,999
129120,72
129121,999
129360,71
129361,999
130080,72
130081,999
130320,76
130321,999
131040,74
131041,999
131280,74
131281,999
132000,69
132001,999
132240,74
132241,999
133920,71
133921,999
134160,72
134161,999
134400,76
134401,999
134880,74
134881,999
135120,74
135121,999
135840,72
135841,999
136080,72
136081,999
136800,71
136801,999
137040,69
137041,999
137520,71
137521,999
138000,72
138001,999
138240,72
138241,999
140640,72
140641,999
143040,72
143041,999
143520,74
143521,999
143760,75
143761,999
145680,70
145681,999
145920,77
145921,999
146400,75
146401,999
146700,75
146701,999
147360,70
147361,999
147600,70
147601,999
149520,79
149521,999
149760,79
149761,999
150240,77
150241,999
150480,77
150481,999
151200,75
151201,999
151440,75
151441,999
151920,72
151921,999
152880,75
152881,999
153360,77
153361,999
153680,79
153681,999
156500,80
156501,999
156980,79
156981,999
157220,80
157221,999
157460,82
157461,999
160100,79
160101,999
160580,77
160581,999
160820,75
160821,999
161300,79
161301,999
162740,77
162741,999
162980,79
162981,999
163100,77
163101,999
163220,75
163221,999
172820,77
172821,999
173300,76
173301,999
173540,76
173541,999
174260,74
174261,999
174500,74
174501,999
175220,72
175221,999
175460,71
175461,999
176180,72
176181,999
176420,76
176421,999
177140,74
177141,999
177380,74
177381,999
178100,69
178101,999
178340,74
178341,999
180020,71
180021,999
180260,72
180261,999
180500,76
180501,999
180980,74
180981,999
181220,74
181221,999
181940,72
181941,999
182180,72
182181,999
182900,71
182901,999
183140,69
183141,999
183620,71
183621,999
184100,74
184101,999
184580,72
184581,999
184700,71
184701,999
184820,69
184821,999
184980,67
184981,999
187920,67
187921,999
188160,77
188161,999
188640,76
188641,999
188940,76
188941,999
189600,74
189601,999
189840,74
189841,999
190560,72
190561,999
190800,71
190801,999
191520,72
191521,999
191760,76
191761,999
192480,74
192481,999
192720,74
192721,999
193440,69
193441,999
193680,74
193681,999
195360,71
195361,999
195600,72
195601,999
195840,76
195841,999
196320,74
196321,999
196560,74
196561,999
197280,69
197281,999
197520,74
197521,999
199200,71
199201,999
199440,72
199441,999
199680,76
199681,999
200160,74
200161,999
200400,74
200401,999
201120,69
201121,999
201360,74
201361,999
203280,69
203281,999
203520,76
203521,999
204000,74
204001,999
204240,74
204241,999
204960,72
204961,999
205200,72
205201,999
206040,71
206041,999
206460,69
206461,999
207420,71
207421,999
207840,72
207841,999
208320,72
208321,999
