time,semitone
3840,72
3841,999
4800,72
4801,999
5760,72
5761,999
6720,72
6721,999
7680,72
7681,999
8640,72
8641,999
9600,72
9601,999
10560,72
10561,999
11520,72
11521,999
12480,72
12481,999
13440,72
13441,999
14400,72
14401,999
15360,72
15361,999
16320,72
16321,999
17280,72
17281,999
18240,72
18241,999
19200,72
19201,999
20160,72
20161,999
21120,72
21121,999
22080,72
22081,999
23040,72
23041,999
24960,72
24961,999
26880,72
26881,999
33600,70
33601,999
34560,72
34561,999
35040,72
35041,999
36000,74
36001,999
36480,74
36481,999
37200,67
37201,999
37920,67
37921,999
41760,67
41761,999
42000,67
42001,999
42240,76
42241,999
42720,74
42721,999
42960,72
42961,999
43440,71
43441,999
43680,71
43681,999
44160,71
44161,999
45600,72
45601,999
46080,67
46081,999
49920,72
49921,999
50400,72
50401,999
50880,74
50881,999
51600,74
51601,999
52320,69
52321,999
53040,67
53041,999
55200,74
55201,999
55440,74
55441,999
55680,77
55681,999
56640,76
56641,999
57120,74
57121,999
58560,76
58561,999
59040,72
59041,999
61920,72
61921,999
63360,67
63361,999
65340,74
65341,999
65820,72
65821,999
66780,74
66781,999
67260,74
67261,999
67680,67
67681,999
67920,67
67921,999
72540,67
72541,999
72780,67
72781,999
73020,76
73021,999
73500,74
73501,999
73740,72
73741,999
74220,71
74221,999
74460,71
74461,999
74940,71
74941,999
76380,72
76381,999
76860,67
76861,999
80700,72
80701,999
81180,72
81181,999
81840,74
81841,999
82560,74
82561,999
83100,69
83101,999
83280,67
83281,999
85920,69
85921,999
86160,69
86161,999
86460,72
86461,999
87420,76
87421,999
87900,74
87901,999
89280,71
89281,999
89820,72
89821,999
95520,74
95521,999
96000,77
96001,999
96960,72
96961,999
97200,72
97201,999
97920,74
97921,999
103200,76
103201,999
103680,77
103681,999
104400,77
104401,999
104880,79
104881,999
105360,79
105361,999
108480,76
108481,999
110400,76
110401,999
110880,79
110881,999
111120,79
111121,999
111600,74
111601,999
113040,76
113041,999
113280,77
113281,999
113760,76
113761,999
114000,77
114001,999
114480,76
114481,999
114960,77
114961,999
115440,76
115441,999
115920,72
115921,999
116400,74
116401,999
117120,72
117121,999
118080,76
118081,999
118560,79
118561,999
118800,79
118801,999
119280,74
119281,999
120960,77
120961,999
121680,77
121681,999
122160,77
122161,999
122880,76
122881,999
123840,79
123841,999
124320,79
124321,999
124800,76
124801,999
125760,77
125761,999
126240,79
126241,999
126480,79
126481,999
126960,74
126961,999
128400,76
128401,999
128640,77
128641,999
129120,76
129121,999
129360,77
129361,999
129840,76
129841,999
130320,77
130321,999
130800,76
130801,999
131280,72
131281,999
131760,74
131761,999
132480,72
132481,999
133440,76
133441,999
133920,79
133921,999
134160,79
134161,999
134640,74
134641,999
135840,72
135841,999
136320,81
136321,999
137040,79
137041,999
137520,77
137521,999
138480,76
138481,999
139200,79
139201,999
139680,79
139681,999
144000,79
144001,999
144720,77
144721,999
145200,76
145201,999
145680,77
145681,999
146400,74
146401,999
152640,72
152641,999
153600,74
153601,999
154080,72
154081,999
155040,74
155041,999
155520,74
155521,999
156000,67
156001,999
156240,67
156241,999
160800,67
160801,999
161040,67
161041,999
161280,76
161281,999
161760,74
161761,999
162000,72
162001,999
162480,71
162481,999
162720,71
162721,999
163200,71
163201,999
164640,72
164641,999
165120,67
165121,999
168000,67
168001,999
168960,72
168961,999
169440,72
169441,999
170160,74
170161,999
170880,74
170881,999
171360,69
171361,999
171600,67
171601,999
173280,67
173281,999
174240,69
174241,999
174480,69
174481,999
174720,72
174721,999
175680,76
175681,999
176160,74
176161,999
177600,71
177601,999
178080,72
178081,999
182400,72
182401,999
183840,74
183841,999
184320,77
184321,999
185280,72
185281,999
185520,72
185521,999
186240,74
186241,999
191520,76
191521,999
192000,77
192001,999
192720,77
192721,999
193200,79
193201,999
193680,79
193681,999
196800,76
196801,999
198780,76
198781,999
199260,79
199261,999
199500,79
199501,999
199980,74
199981,999
201420,76
201421,999
201660,77
201661,999
202140,76
202141,999
202380,77
202381,999
202860,76
202861,999
203340,77
203341,999
203820,76
203821,999
204300,72
204301,999
204780,74
204781,999
205500,72
205501,999
206460,76
206461,999
206940,79
206941,999
207180,79
207181,999
207660,74
207661,999
209340,77
209341,999
210060,77
210061,999
210540,77
210541,999
211260,76
211261,999
212220,79
212221,999
212700,79
212701,999
213180,76
213181,999
214140,77
214141,999
214620,79
214621,999
214860,79
214861,999
215340,74
215341,999
216780,76
216781,999
217020,77
217021,999
217500,76
217501,999
217740,77
217741,999
218220,76
218221,999
218700,77
218701,999
219180,76
219181,999
219660,72
219661,999
220140,74
220141,999
220860,72
220861,999
221820,76
221821,999
222300,79
222301,999
222540,79
222541,999
223020,74
223021,999
224220,72
224221,999
224700,81
224701,999
225420,79
225421,999
225900,77
225901,999
226860,76
226861,999
227580,79
227581,999
228060,79
228061,999
232380,79
232381,999
233100,77
233101,999
233580,76
233581,999
234060,77
234061,999
234780,74
234781,999
236160,72
236161,999
249600,72
249601,999
252540,78
252541,999
253020,81
253021,999
253260,81
253261,999
253740,76
253741,999
255180,78
255181,999
255420,79
255421,999
255900,78
255901,999
256140,79
256141,999
256620,78
256621,999
257100,79
257101,999
257580,78
257581,999
258060,74
258061,999
258540,76
258541,999
259260,74
259261,999
260220,78
260221,999
260700,81
260701,999
260940,81
260941,999
261420,76
261421,999
263100,79
263101,999
263820,79
263821,999
264300,79
264301,999
265020,78
265021,999
265980,81
265981,999
266460,81
266461,999
266940,78
266941,999
267900,79
267901,999
268380,81
268381,999
268620,81
268621,999
269100,76
269101,999
270540,78
270541,999
270780,79
270781,999
271260,78
271261,999
271500,79
271501,999
271980,78
271981,999
272460,79
272461,999
272940,78
272941,999
273420,74
273421,999
273900,76
273901,999
274620,74
274621,999
275580,78
275581,999
276060,81
276061,999
276300,81
276301,999
276780,76
276781,999
277980,74
277981,999
278460,83
278461,999
279180,81
279181,999
279660,79
279661,999
280620,78
280621,999
281340,81
281341,999
281820,81
281821,999
286080,81
286081,999
290940,78
290941,999
291420,81
291421,999
291660,81
291661,999
292140,76
292141,999
293580,78
293581,999
293820,79
293821,999
294300,78
294301,999
294540,79
294541,999
295020,78
295021,999
295500,79
295501,999
295980,78
295981,999
296460,74
296461,999
296940,76
296941,999
297660,74
297661,999
298620,78
298621,999
299100,81
299101,999
299340,81
299341,999
299820,76
299821,999
301500,79
301501,999
302220,79
302221,999
302700,79
302701,999
303420,78
303421,999
304380,81
304381,999
304860,81
304861,999
305340,78
305341,999
306300,79
306301,999
306780,81
306781,999
307020,81
307021,999
307500,76
307501,999
308940,78
308941,999
309180,79
309181,999
309660,78
309661,999
309900,79
309901,999
310380,78
310381,999
310860,79
310861,999
311340,78
311341,999
311820,74
311821,999
312300,76
312301,999
313020,74
313021,999
313980,78
313981,999
314460,81
314461,999
314700,81
314701,999
315180,76
315181,999
316380,74
316381,999
316860,83
316861,999
317580,81
317581,999
318060,79
318061,999
319020,78
319021,999
319740,81
319741,999
320220,81
320221,999
324480,81
324481,999
324960,79
324961,999
325440,78
325441,999
325920,79
325921,999
326400,76
326401,999
