time,semitone
2280,72
2281,999
7320,72
7321,999
12240,72
12241,999
17280,72
17281,999
18240,79
18241,999
19680,77
19681,999
19920,76
19921,999
20160,74
20161,999
20400,72
20401,999
20640,72
20641,999
20880,72
20881,999
21120,71
21121,999
21840,72
21841,999
22080,72
22081,999
24960,72
24961,999
25920,79
25921,999
27360,77
27361,999
27600,76
27601,999
27840,74
27841,999
28080,72
28081,999
28320,72
28321,999
28560,72
28561,999
28800,71
28801,999
29520,72
29521,999
29760,72
29761,999
32160,69
32161,999
32400,72
32401,999
32640,74
32641,999
33120,74
33121,999
33360,74
33361,999
33840,76
33841,999
34320,74
34321,999
34800,72
34801,999
36000,74
36001,999
36240,76
36241,999
36480,77
36481,999
36960,76
36961,999
37200,74
37201,999
37680,72
37681,999
38160,76
38161,999
39840,72
39841,999
40080,71
40081,999
40320,69
40321,999
40800,71
40801,999
41040,72
41041,999
42000,72
42001,999
42240,74
42241,999
42720,72
42721,999
42960,72
42961,999
43680,71
43681,999
43920,72
43921,999
44340,67
44341,999
44500,69
44501,999
44660,67
44661,999
44820,69
44821,999
47760,71
47761,999
48000,72
48001,999
48960,79
48961,999
50400,77
50401,999
50640,76
50641,999
50880,74
50881,999
51120,72
51121,999
51360,72
51361,999
51600,72
51601,999
51840,71
51841,999
52560,72
52561,999
53040,72
53041,999
55680,72
55681,999
56640,79
56641,999
58080,77
58081,999
58320,76
58321,999
58560,74
58561,999
58800,72
58801,999
59040,72
59041,999
59280,72
59281,999
59520,71
59521,999
60240,72
60241,999
60480,72
60481,999
62880,69
62881,999
63120,72
63121,999
63360,74
63361,999
63840,74
63841,999
64080,74
64081,999
64560,76
64561,999
65040,74
65041,999
65520,72
65521,999
66720,74
66721,999
66960,76
66961,999
67200,77
67201,999
67680,76
67681,999
67920,74
67921,999
68400,72
68401,999
68640,72
68641,999
68880,76
68881,999
70560,72
70561,999
70800,71
70801,999
71040,69
71041,999
72000,71
72001,999
72960,72
72961,999
73680,74
73681,999
73920,76
73921,999
74400,74
74401,999
78720,76
78721,999
79260,77
79261,999
79680,74
79681,999
80400,72
80401,999
80640,74
80641,999
81120,76
81121,999
81360,72
81361,999
82320,67
82321,999
82560,72
82561,999
82800,72
82801,999
83040,72
83041,999
83280,72
83281,999
83520,76
83521,999
84000,72
84001,999
84480,71
84481,999
84960,71
84961,999
86400,76
86401,999
86880,77
86881,999
87120,74
87121,999
87600,81
87601,999
88320,79
88321,999
89040,72
89041,999
89280,72
89281,999
89760,79
89761,999
90000,76
90001,999
90240,77
90241,999
90720,76
90721,999
90960,74
90961,999
91680,72
91681,999
91920,76
91921,999
92880,74
92881,999
93120,74
93121,999
94080,76
94081,999
94620,77
94621,999
95040,74
95041,999
95760,72
95761,999
96000,74
96001,999
96480,76
96481,999
96720,72
96721,999
97680,67
97681,999
97920,72
97921,999
98160,72
98161,999
98400,72
98401,999
98640,72
98641,999
98880,76
98881,999
99360,72
99361,999
99840,71
99841,999
100320,71
100321,999
101760,76
101761,999
102240,77
102241,999
102480,74
102481,999
102960,81
102961,999
103680,79
103681,999
104400,72
104401,999
104640,72
104641,999
105120,79
105121,999
105360,76
105361,999
105600,77
105601,999
106080,76
106081,999
106320,74
106321,999
106800,72
106801,999
107520,72
107521,999
108240,71
108241,999
108480,71
108481,999
109200,72
109201,999
109440,72
109441,999
143760,73
143761,999
144000,73
144001,999
144960,80
144961,999
146400,78
146401,999
146640,77
146641,999
146880,75
146881,999
147120,73
147121,999
147360,73
147361,999
147600,73
147601,999
147840,72
147841,999
148560,73
148561,999
149040,73
149041,999
151680,73
151681,999
152640,80
152641,999
154080,78
154081,999
154320,77
154321,999
154560,75
154561,999
154800,73
154801,999
155040,73
155041,999
155280,73
155281,999
155520,72
155521,999
156300,73
156301,999
156720,75
156721,999
157200,73
157201,999
158880,70
158881,999
159120,73
159121,999
159360,75
159361,999
159840,75
159841,999
160080,75
160081,999
160560,77
160561,999
161040,75
161041,999
161520,73
161521,999
162720,75
162721,999
162960,77
162961,999
163200,78
163201,999
163680,77
163681,999
163920,77
163921,999
164160,80
164161,999
164640,77
164641,999
164880,77
164881,999
165120,75
165121,999
165360,73
165361,999
166560,73
166561,999
166800,72
166801,999
167040,70
167041,999
168000,72
168001,999
168960,73
168961,999
169680,75
169681,999
169920,77
169921,999
170400,80
170401,999
170580,75
170581,999
170740,77
170741,999
171000,75
171001,999
171180,77
171181,999
171360,75
171361,999
174460,80
174461,999
174700,81
174701,999
179040,79
179041,999
179280,76
179281,999
180240,74
180241,999
180960,78
180961,999
181200,74
181201,999
182160,69
182161,999
182620,74
182621,999
182860,74
182861,999
183100,74
183101,999
183340,78
183341,999
183820,74
183821,999
184060,73
184061,999
184300,73
184301,999
186720,79
186721,999
186960,76
186961,999
187440,83
187441,999
188860,74
188861,999
189100,74
189101,999
189580,81
189581,999
189820,78
189821,999
190060,79
190061,999
190560,78
190561,999
190800,76
190801,999
191520,74
191521,999
191760,78
191761,999
192700,79
192701,999
192940,81
192941,999
193180,76
193181,999
193420,78
193421,999
193660,76
193661,999
193900,78
193901,999
194860,76
194861,999
195580,74
195581,999
195820,76
195821,999
196320,78
196321,999
196560,74
196561,999
197520,69
197521,999
197980,74
197981,999
198220,74
198221,999
198460,74
198461,999
198700,78
198701,999
199180,74
199181,999
199660,73
199661,999
200160,73
200161,999
202080,79
202081,999
202320,76
202321,999
202800,83
202801,999
204220,74
204221,999
204460,74
204461,999
204940,81
204941,999
205180,78
205181,999
205420,79
205421,999
205920,78
205921,999
206160,76
206161,999
206640,74
206641,999
209260,74
209261,999
212640,74
212641,999
212880,74
212881,999
