time,semitone
3780,59
3781,999
3900,68
3901,999
3900,66
3901,999
4860,68
4861,999
5100,66
5101,999
5220,68
5221,999
5400,71
5401,999
5700,71
5701,999
5940,66
5941,999
6060,66
6061,999
8640,66
8641,999
8680,68
8681,999
8920,66
8921,999
9040,68
9041,999
9400,66
9401,999
9520,66
9521,999
9880,68
9881,999
10000,66
10001,999
10120,64
10121,999
11440,59
11441,999
11560,68
11561,999
11560,66
11561,999
12520,68
12521,999
12760,66
12761,999
12880,68
12881,999
13120,71
13121,999
13360,71
13361,999
13720,66
13721,999
13840,66
13841,999
16120,68
16121,999
16240,66
16241,999
16360,68
16361,999
16600,66
16601,999
16720,68
16721,999
17080,66
17081,999
17200,66
17201,999
17560,68
17561,999
17680,66
17681,999
17800,64
17801,999
18760,68
18761,999
19000,69
19001,999
20220,69
20221,999
20460,68
20461,999
20580,69
20581,999
20820,71
20821,999
21060,71
21061,999
21400,66
21401,999
21520,66
21521,999
23800,68
23801,999
23920,66
23921,999
24040,68
24041,999
24280,66
24281,999
24400,68
24401,999
24760,66
24761,999
24880,66
24881,999
25240,68
25241,999
25360,66
25361,999
25480,64
25481,999
25960,64
25961,999
26200,71
26201,999
26440,68
26441,999
26680,68
26681,999
26800,71
26801,999
26920,69
26921,999
27820,68
27821,999
27880,69
27881,999
28120,68
28121,999
28240,66
28241,999
28600,64
28601,999
28840,64
28841,999
29680,63
29681,999
29800,63
29801,999
30640,64
30641,999
30760,64
30761,999
34480,59
34481,999
34600,68
34601,999
34600,66
34601,999
35560,68
35561,999
35800,66
35801,999
35920,68
35921,999
36160,71
36161,999
36400,71
36401,999
36640,66
36641,999
36760,66
36761,999
39340,66
39341,999
39380,68
39381,999
39620,66
39621,999
39740,68
39741,999
40100,66
40101,999
40220,66
40221,999
40580,68
40581,999
40700,66
40701,999
40820,64
40821,999
42140,59
42141,999
42260,66
42261,999
42320,68
42321,999
43220,68
43221,999
43460,66
43461,999
43580,68
43581,999
43820,71
43821,999
44060,71
44061,999
44420,66
44421,999
44600,66
44601,999
46820,68
46821,999
46940,66
46941,999
47060,68
47061,999
47300,66
47301,999
47420,68
47421,999
47780,66
47781,999
47900,66
47901,999
48260,68
48261,999
48380,66
48381,999
48500,64
48501,999
49460,68
49461,999
49700,69
49701,999
50900,69
50901,999
51140,68
51141,999
51260,69
51261,999
51500,71
51501,999
51740,71
51741,999
52100,66
52101,999
52220,66
52221,999
54500,68
54501,999
54620,66
54621,999
54740,68
54741,999
54980,66
54981,999
55100,68
55101,999
55460,66
55461,999
55640,66
55641,999
55940,68
55941,999
56120,66
56121,999
56180,64
56181,999
56660,64
56661,999
56900,71
56901,999
57140,68
57141,999
57380,68
57381,999
57500,71
57501,999
57680,69
57681,999
58520,68
58521,999
58580,69
58581,999
58820,68
58821,999
58940,66
58941,999
59300,64
59301,999
59540,64
59541,999
60380,63
60381,999
60500,63
60501,999
61340,64
61341,999
61460,64
61461,999
64820,64
64821,999
65060,71
65061,999
65120,73
65121,999
66260,75
66261,999
66620,76
66621,999
66860,78
66861,999
67100,76
67101,999
67340,71
67341,999
67460,71
67461,999
69020,68
69021,999
69140,69
69141,999
69380,68
69381,999
69500,69
69501,999
69860,76
69861,999
70100,75
70101,999
70100,73
70101,999
70340,73
70341,999
70460,71
70461,999
70820,69
70821,999
71060,68
71061,999
71540,73
71541,999
71780,71
71781,999
71840,73
71841,999
72020,71
72021,999
72860,64
72861,999
72980,71
72981,999
73040,73
73041,999
73940,75
73941,999
74360,76
74361,999
74540,78
74541,999
74780,76
74781,999
75020,71
75021,999
75140,71
75141,999
76700,68
76701,999
76820,69
76821,999
77060,68
77061,999
77180,69
77181,999
78020,66
78021,999
78140,69
78141,999
78380,75
78381,999
78400,76
78401,999
78640,76
78641,999
78880,78
78881,999
79000,73
79001,999
79060,75
79061,999
79420,73
79421,999
79540,71
79541,999
80560,64
80561,999
80680,71
80681,999
80740,73
80741,999
81640,75
81641,999
82000,76
82001,999
82240,78
82241,999
82420,76
82421,999
82720,71
82721,999
82840,71
82841,999
84400,68
84401,999
84520,69
84521,999
84760,68
84761,999
84880,69
84881,999
85120,76
85121,999
85300,73
85301,999
85360,75
85361,999
85720,73
85721,999
85840,71
85841,999
86080,69
86081,999
86200,71
86201,999
86320,71
86321,999
86680,73
86681,999
86800,71
86801,999
88240,64
88241,999
88360,73
88361,999
88360,71
88361,999
89320,75
89321,999
89680,76
89681,999
89920,78
89921,999
90160,76
90161,999
90280,80
90281,999
90280,78
90281,999
90700,78
90701,999
91120,76
91121,999
91240,78
91241,999
91300,76
91301,999
92080,68
92081,999
92200,69
92201,999
92440,68
92441,999
92560,69
92561,999
92800,76
92801,999
92980,75
92981,999
93040,76
93041,999
94000,68
94001,999
94120,69
