time,semitone
17520,79
17521,999
17520,79
17521,999
17760,79
17761,999
17760,79
17761,999
18000,75
18001,999
18000,75
18001,999
18240,74
18241,999
18240,74
18241,999
18480,72
18481,999
18480,72
18481,999
18720,74
18721,999
18720,74
18721,999
18960,75
18961,999
18960,75
18961,999
19200,75
19201,999
19200,75
19201,999
19920,67
19921,999
19920,67
19921,999
20160,68
20161,999
20160,68
20161,999
21360,77
21361,999
21600,77
21601,999
21600,77
21601,999
21840,74
21841,999
21840,74
21841,999
22080,72
22081,999
22080,72
22081,999
22320,70
22321,999
22320,70
22321,999
22560,72
22561,999
22560,72
22561,999
22800,74
22801,999
22800,74
22801,999
23040,74
23041,999
23760,65
23761,999
23760,65
23761,999
24000,67
24001,999
24720,70
24721,999
24720,70
24721,999
24960,72
24961,999
24960,72
24961,999
25680,74
25681,999
25680,74
25681,999
25920,75
25921,999
25920,75
25921,999
26640,68
26641,999
26880,74
26881,999
26880,74
26881,999
27600,75
27601,999
27600,75
27601,999
27840,77
27841,999
27840,77
27841,999
28560,75
28561,999
28560,75
28561,999
29040,74
29041,999
29040,74
29041,999
32880,79
32881,999
32880,79
32881,999
33120,79
33121,999
33120,79
33121,999
33360,75
33361,999
33360,75
33361,999
33600,74
33601,999
33600,74
33601,999
33840,72
33841,999
33840,72
33841,999
34080,74
34081,999
34320,75
34321,999
34560,75
34561,999
34560,75
34561,999
35280,67
35281,999
35280,67
35281,999
35520,68
35521,999
35520,68
35521,999
36720,77
36721,999
36720,77
36721,999
36960,77
36961,999
36960,77
36961,999
37200,74
37201,999
37200,74
37201,999
37440,72
37441,999
37440,72
37441,999
37680,70
37681,999
37680,70
37681,999
37920,72
37921,999
38160,74
38161,999
38400,74
38401,999
38400,74
38401,999
39120,65
39121,999
39240,67
39241,999
40080,68
40081,999
40080,68
40081,999
40320,72
40321,999
40680,72
40681,999
41040,74
41041,999
41040,74
41041,999
41280,75
41281,999
41280,75
41281,999
42000,68
42001,999
42000,68
42001,999
42240,74
42241,999
42600,74
42601,999
42960,75
42961,999
42960,75
42961,999
43200,77
43201,999
43200,77
43201,999
43920,75
43921,999
43920,75
43921,999
44400,74
44401,999
44400,74
44401,999
45840,72
45841,999
45840,72
45841,999
46320,76
46321,999
46320,76
46321,999
48000,75
48001,999
48000,75
48001,999
48960,77
48961,999
48960,77
48961,999
49680,70
49681,999
49680,70
49681,999
49920,77
49921,999
49920,77
49921,999
50160,79
50161,999
50160,79
50161,999
50400,80
50401,999
50400,80
50401,999
50640,79
50641,999
50640,79
50641,999
51360,77
51361,999
51360,77
51361,999
51600,75
51601,999
51600,75
51601,999
51840,77
51841,999
51840,77
51841,999
52080,79
52081,999
52080,79
52081,999
52320,80
52321,999
52320,80
52321,999
52560,79
52561,999
52560,79
52561,999
53280,77
53281,999
53280,77
53281,999
53520,75
53521,999
53520,75
53521,999
53760,77
53761,999
53760,77
53761,999
54000,79
54001,999
54000,79
54001,999
54240,80
54241,999
54240,80
54241,999
54480,79
54481,999
54480,79
54481,999
55920,82
55921,999
55920,82
55921,999
56160,82
56161,999
56160,82
56161,999
56400,80
56401,999
56400,80
56401,999
56640,80
56641,999
56640,80
56641,999
56880,79
56881,999
56880,79
56881,999
57120,77
57121,999
57120,77
57121,999
57360,75
57361,999
57360,75
57361,999
57600,82
57601,999
57600,82
57601,999
58320,80
58321,999
58320,80
58321,999
58560,80
58561,999
58560,80
58561,999
59280,75
59281,999
59280,75
59281,999
59520,82
59521,999
59520,82
59521,999
60240,80
60241,999
60240,80
60241,999
60480,84
60481,999
60480,84
60481,999
61200,79
61201,999
61200,79
61201,999
61440,80
61441,999
61440,80
61441,999
61560,79
61561,999
61560,79
61561,999
61800,77
61801,999
61800,77
61801,999
65520,79
65521,999
65520,79
65521,999
65760,79
65761,999
65760,79
65761,999
66000,75
66001,999
66000,75
66001,999
66240,74
66241,999
66240,74
66241,999
66480,72
66481,999
66480,72
66481,999
66720,74
66721,999
66720,74
66721,999
66960,75
66961,999
66960,75
66961,999
67200,75
67201,999
67200,75
67201,999
67920,67
67921,999
67920,67
67921,999
68160,68
68161,999
68160,68
68161,999
69360,77
69361,999
69360,77
69361,999
69600,77
69601,999
69600,77
69601,999
69840,74
69841,999
69840,74
69841,999
70080,72
70081,999
70080,72
70081,999
70320,70
70321,999
70320,70
70321,999
70560,72
70561,999
70560,72
70561,999
70800,74
70801,999
70800,74
70801,999
71040,74
71041,999
71040,74
71041,999
71760,65
71761,999
71760,65
71761,999
72000,67
72001,999
72000,67
72001,999
72720,68
72721,999
72720,68
72721,999
72960,72
72961,999
72960,72
72961,999
73680,74
73681,999
73680,74
