time,semitone
7200,73
7201,999
7440,78
7441,999
7680,76
7681,999
8400,81
8401,999
8640,80
8641,999
8880,76
8881,999
9120,73
9121,999
10080,73
10081,999
10320,76
10321,999
10560,74
10561,999
11040,74
11041,999
11280,73
11281,999
11520,74
11521,999
11760,78
11761,999
12000,76
12001,999
12960,73
12961,999
13200,71
13201,999
13440,69
13441,999
13920,69
13921,999
14640,69
14641,999
14880,69
14881,999
15360,71
15361,999
15840,73
15841,999
16320,71
16321,999
18720,73
18721,999
18960,78
18961,999
19200,76
19201,999
19920,81
19921,999
20160,80
20161,999
20400,76
20401,999
20640,73
20641,999
21600,73
21601,999
21840,76
21841,999
22080,74
22081,999
22560,74
22561,999
22800,73
22801,999
23040,74
23041,999
23280,78
23281,999
23520,76
23521,999
24480,73
24481,999
24720,71
24721,999
24960,69
24961,999
25440,69
25441,999
26160,69
26161,999
26400,68
26401,999
26880,69
26881,999
27360,71
27361,999
27840,69
27841,999
30240,73
30241,999
30480,71
30481,999
30720,69
30721,999
31200,68
31201,999
31680,69
31681,999
32160,73
32161,999
33120,73
33121,999
33360,71
33361,999
33600,69
33601,999
34080,68
34081,999
34560,69
34561,999
35040,81
35041,999
36000,76
36001,999
36240,76
36241,999
36480,78
36481,999
36960,78
36961,999
37440,76
37441,999
37680,74
37681,999
37920,76
37921,999
38880,74
38881,999
39120,76
39121,999
39360,78
39361,999
39840,78
39841,999
40320,80
40321,999
40560,81
40561,999
40800,80
40801,999
43200,73
43201,999
43440,78
43441,999
43680,76
43681,999
44400,81
44401,999
44640,80
44641,999
44880,76
44881,999
45120,73
45121,999
46080,73
46081,999
46320,76
46321,999
46560,74
46561,999
47040,74
47041,999
47280,73
47281,999
47520,74
47521,999
47760,78
47761,999
48000,76
48001,999
48960,73
48961,999
49200,71
49201,999
49440,69
49441,999
49920,69
49921,999
50640,69
50641,999
50880,68
50881,999
51360,69
51361,999
51840,71
51841,999
52320,69
52321,999
80640,73
80641,999
80880,71
80881,999
81120,69
81121,999
81600,68
81601,999
82080,69
82081,999
82560,73
82561,999
83520,73
83521,999
83760,71
83761,999
84000,69
84001,999
84480,68
84481,999
84960,69
84961,999
85440,81
85441,999
86400,76
86401,999
86640,76
86641,999
86880,78
86881,999
87360,78
87361,999
87840,76
87841,999
88080,74
88081,999
88320,76
88321,999
89280,74
89281,999
89520,76
89521,999
89760,78
89761,999
90240,78
90241,999
90720,80
90721,999
90960,81
90961,999
91200,80
91201,999
93600,73
93601,999
93840,78
93841,999
94080,76
94081,999
94800,81
94801,999
95040,80
95041,999
95280,76
95281,999
95520,73
95521,999
96480,73
96481,999
96720,76
96721,999
96960,74
96961,999
97440,74
97441,999
97680,73
97681,999
97920,74
97921,999
98160,78
98161,999
98400,76
98401,999
99360,73
99361,999
99600,71
99601,999
99840,69
99841,999
100320,69
100321,999
101040,69
101041,999
101280,68
101281,999
101760,69
101761,999
102240,71
102241,999
102720,69
102721,999
