time,semitone
3840,74
3841,999
4080,74
4081,999
4560,74
4561,999
5760,73
5761,999
6000,73
6001,999
6240,73
6241,999
6720,73
6721,999
6960,73
6961,999
7680,74
7681,999
9600,74
9601,999
9840,74
9841,999
10080,74
10081,999
11520,74
11521,999
13440,74
13441,999
13680,74
13681,999
13920,74
13921,999
14160,74
14161,999
22320,69
22321,999
22560,78
22561,999
22800,69
22801,999
23040,76
23041,999
23520,74
23521,999
23760,76
23761,999
24240,78
24241,999
25200,76
25201,999
25680,74
25681,999
30240,74
30241,999
30480,74
30481,999
30720,73
30721,999
31200,71
31201,999
31440,69
31441,999
32160,66
32161,999
32400,71
32401,999
37440,71
37441,999
37920,74
37921,999
38160,76
38161,999
38880,76
38881,999
39120,76
39121,999
39600,78
39601,999
40320,78
40321,999
42240,74
42241,999
42720,76
42721,999
43200,78
43201,999
43680,71
43681,999
44640,76
44641,999
49920,74
49921,999
50400,76
50401,999
50880,78
50881,999
51360,69
51361,999
60720,69
60721,999
60960,78
60961,999
61200,69
61201,999
61440,76
61441,999
61800,74
61801,999
62160,76
62161,999
62640,78
62641,999
63600,76
63601,999
64080,74
64081,999
68640,74
68641,999
68880,74
68881,999
69120,73
69121,999
69600,71
69601,999
69840,69
69841,999
70560,66
70561,999
70800,71
70801,999
75840,71
75841,999
76320,74
76321,999
76560,76
76561,999
77280,76
77281,999
77520,76
77521,999
78000,78
78001,999
78720,78
78721,999
80640,74
80641,999
81120,76
81121,999
81600,78
81601,999
82080,71
82081,999
83040,76
83041,999
83520,76
83521,999
88320,74
88321,999
88800,76
88801,999
89280,78
89281,999
89760,69
89761,999
96000,74
96001,999
96960,76
96961,999
97920,78
97921,999
98400,76
98401,999
98640,78
98641,999
99360,76
99361,999
99600,78
99601,999
100320,76
100321,999
100560,78
100561,999
101280,76
101281,999
101520,78
101521,999
103680,74
103681,999
104640,76
104641,999
105600,78
105601,999
106080,76
106081,999
106320,78
106321,999
107040,76
107041,999
107280,78
107281,999
108000,76
108001,999
108240,78
108241,999
108960,74
108961,999
109200,76
109201,999
109920,69
109921,999
111360,69
111361,999
112320,81
112321,999
113280,78
113281,999
113760,79
113761,999
114000,78
114001,999
114720,81
114721,999
