time,semitone
26880,80
26881,999
27840,71
27841,999
29520,71
29521,999
29760,80
29761,999
30000,78
30001,999
30240,76
30241,999
30480,78
30481,999
30720,78
30721,999
31680,71
31681,999
34560,76
34561,999
35520,69
35521,999
36240,71
36241,999
36480,78
36481,999
36960,78
36961,999
37440,78
37441,999
37680,76
37681,999
37920,75
37921,999
38160,73
38161,999
38400,75
38401,999
39120,76
39121,999
39360,68
39361,999
42240,73
42241,999
42720,72
42721,999
42960,73
42961,999
43200,75
43201,999
43680,78
43681,999
44160,78
44161,999
44640,76
44641,999
45120,78
45121,999
45840,80
45841,999
46080,80
46081,999
46560,73
46561,999
48000,73
48001,999
48480,75
48481,999
48960,76
48961,999
49440,78
49441,999
49920,80
49921,999
51360,81
51361,999
51840,78
51841,999
53760,71
53761,999
54240,71
54241,999
54720,71
54721,999
54960,73
54961,999
55200,75
55201,999
55440,78
55441,999
55680,78
55681,999
56160,76
56161,999
57120,76
57121,999
57360,68
57361,999
57600,69
57601,999
58320,68
58321,999
58560,69
58561,999
58800,71
58801,999
59040,73
59041,999
59280,78
59281,999
59520,80
59521,999
60000,81
60001,999
60480,78
60481,999
60960,76
60961,999
61200,78
61201,999
61440,80
61441,999
62160,81
62161,999
62400,80
62401,999
62880,75
62881,999
63360,78
63361,999
63840,80
63841,999
64320,78
64321,999
64560,76
64561,999
64800,75
64801,999
65040,76
65041,999
65280,73
65281,999
65760,80
65761,999
66720,73
66721,999
67200,72
67201,999
67680,80
67681,999
68640,78
68641,999
69120,76
69121,999
78720,73
78721,999
79200,72
79201,999
79440,73
79441,999
79680,75
79681,999
80160,78
80161,999
80640,78
80641,999
81120,76
81121,999
81600,78
81601,999
82320,80
82321,999
82560,80
82561,999
83040,73
83041,999
84480,73
84481,999
84960,75
84961,999
85440,76
85441,999
85920,78
85921,999
86400,80
86401,999
87840,81
87841,999
88320,83
88321,999
90240,71
90241,999
90720,71
90721,999
91200,71
91201,999
91440,73
91441,999
91680,75
91681,999
91920,78
91921,999
92160,78
92161,999
92640,76
92641,999
93600,76
93601,999
93840,68
93841,999
94080,69
94081,999
94800,68
94801,999
95040,69
95041,999
95280,71
95281,999
95520,73
95521,999
95760,76
95761,999
96000,80
96001,999
96480,81
96481,999
96960,78
96961,999
97440,76
97441,999
97680,78
97681,999
97920,80
97921,999
98640,81
98641,999
98880,80
98881,999
99360,75
99361,999
99840,78
99841,999
100320,80
100321,999
100800,78
100801,999
101040,76
101041,999
101280,75
101281,999
101520,76
101521,999
101760,73
101761,999
102240,80
102241,999
103200,73
103201,999
103680,72
103681,999
104160,80
104161,999
105120,78
105121,999
105600,76
105601,999
110400,80
110401,999
110880,78
110881,999
111120,80
111121,999
111840,78
111841,999
112080,76
112081,999
113040,76
113041,999
113280,78
113281,999
113760,71
113761,999
114000,71
114001,999
115680,68
115681,999
115920,71
115921,999
116160,73
116161,999
116880,75
116881,999
117120,76
117121,999
118080,76
118081,999
118560,75
118561,999
118800,76
118801,999
119520,75
119521,999
119760,76
119761,999
120240,78
120241,999
120960,71
120961,999
121680,73
121681,999
121920,75
121921,999
122640,76
122641,999
122880,78
122881,999
123600,76
123601,999
123840,81
123841,999
124320,81
124321,999
124560,80
124561,999
125760,83
125761,999
126240,81
126241,999
126480,81
126481,999
127200,80
127201,999
127440,78
127441,999
128400,76
128401,999
128640,78
128641,999
129120,80
129121,999
129600,83
129601,999
130080,80
130081,999
131040,76
131041,999
132000,76
132001,999
132240,75
132241,999
132480,76
132481,999
132960,78
132961,999
133440,73
133441,999
133920,75
133921,999
134400,76
134401,999
135840,73
135841,999
136080,75
136081,999
136320,76
136321,999
136800,78
136801,999
137280,79
137281,999
138000,81
138001,999
138240,83
138241,999
141120,88
141121,999
141360,87
141361,999
141600,83
141601,999
142080,90
142081,999
145920,84
145921,999
146400,84
146401,999
146880,84
146881,999
147120,82
147121,999
147360,81
147361,999
147600,79
147601,999
147840,79
147841,999
148320,81
148321,999
149280,84
149281,999
149520,81
149521,999
149760,82
149761,999
150480,81
150481,999
150720,82
150721,999
150960,81
150961,999
151200,79
151201,999
151440,81
151441,999
151680,81
151681,999
152160,82
152161,999
152640,79
152641,999
153120,77
153121,999
153360,79
153361,999
153600,81
153601,999
154320,82
154321,999
154560,81
154561,999
155040,76
155041,999
155520,79
155521,999
156000,81
156001,999
156480,79
156481,999
156720,77
156721,999
156960,76
156961,999
157200,77
157201,999
157440,74
157441,999
157920,81
157921,999
158880,74
158881,999
159360,73
159361,999
159840,81
159841,999
160800,79
160801,999
161280,84
161281,999
164400,81
164401,999
164640,84
164641,999
164880,86
164881,999
165360,84
165361,999
165600,86
165601,999
165840,89
165841,999
166560,88
166561,999
166800,86
166801,999
167040,88
167041,999
167280,86
167281,999
167520,84
167521,999
168480,77
168481,999
168720,79
168721,999
168960,81
168961,999
169680,82
169681,999
169920,85
169921,999
170400,81
170401,999
170880,79
170881,999
171360,81
171361,999
171840,79
171841,999
172080,77
172081,999
172320,76
172321,999
172560,77
172561,999
172800,74
172801,999
173280,81
173281,999
174240,74
174241,999
174720,73
174721,999
175200,81
175201,999
180000,79
180001,999
180480,77
180481,999
184080,77
184081,999
184320,84
184321,999
184800,81
184801,999
185040,82
185041,999
185280,81
185281,999
185520,79
185521,999
185760,77
185761,999
186000,79
186001,999
186240,77
186241,999
186480,81
186481,999
186960,84
186961,999
189120,81
189121,999
189600,79
189601,999
190080,77
190081,999
