time,semitone
10800,69
10801,999
11040,69
11041,999
11280,69
11281,999
11520,78
11521,999
11760,76
11761,999
12240,74
12241,999
12720,73
12721,999
13200,76
13201,999
13920,74
13921,999
14160,73
14161,999
14640,74
14641,999
15360,69
15361,999
18480,69
18481,999
18720,69
18721,999
18960,69
18961,999
19200,78
19201,999
19440,76
19441,999
19920,74
19921,999
20400,73
20401,999
20880,76
20881,999
21600,74
21601,999
21840,73
21841,999
22320,74
22321,999
23040,69
23041,999
23160,71
23161,999
26160,69
26161,999
26400,69
26401,999
26640,69
26641,999
26880,78
26881,999
27120,76
27121,999
27600,74
27601,999
28080,74
28081,999
28800,69
28801,999
28960,71
28961,999
29980,69
29981,999
30220,69
30221,999
30460,69
30461,999
30700,78
30701,999
30940,76
30941,999
31420,74
31421,999
31900,74
31901,999
32620,74
32621,999
33100,73
33101,999
33340,71
33341,999
33820,73
33821,999
34540,74
34541,999
49180,69
49181,999
49420,69
49421,999
49660,69
49661,999
49900,78
49901,999
50140,76
50141,999
50620,74
50621,999
51100,73
51101,999
51580,76
51581,999
52320,74
52321,999
52560,73
52561,999
53040,74
53041,999
54240,67
54241,999
54480,66
54481,999
54960,67
54961,999
55500,67
55501,999
56860,69
56861,999
57100,69
57101,999
57340,69
57341,999
57580,78
57581,999
57820,76
57821,999
58300,74
58301,999
58780,73
58781,999
59260,76
59261,999
60000,74
60001,999
60240,73
60241,999
60720,74
60721,999
61560,71
61561,999
64540,69
64541,999
64780,69
64781,999
65020,69
65021,999
65260,78
65261,999
65500,76
65501,999
65980,74
65981,999
66460,74
66461,999
67180,69
67181,999
67340,71
67341,999
68420,69
68421,999
68660,69
68661,999
68900,69
68901,999
69140,78
69141,999
69380,76
69381,999
69860,74
69861,999
70340,74
70341,999
70820,76
70821,999
70940,78
70941,999
71060,76
71061,999
71540,76
71541,999
71780,76
71781,999
72260,74
72261,999
72980,74
72981,999
76820,74
76821,999
77300,74
77301,999
77540,74
77541,999
78020,74
78021,999
78740,74
78741,999
79220,74
79221,999
79460,74
79461,999
79940,74
79941,999
80660,73
80661,999
80740,74
80741,999
80820,73
80821,999
81360,71
81361,999
81840,69
81841,999
82560,64
82561,999
82680,66
82681,999
84480,74
84481,999
85200,74
85201,999
85680,74
85681,999
86400,74
86401,999
86880,74
86881,999
87120,74
87121,999
87600,74
87601,999
88320,74
88321,999
88800,74
88801,999
89040,74
89041,999
89520,74
89521,999
90240,74
90241,999
90720,73
90721,999
92160,71
92161,999
94080,73
94081,999
96000,78
96001,999
96240,77
96241,999
96720,75
96721,999
97200,73
97201,999
97920,75
97921,999
99840,78
99841,999
100080,77
100081,999
100560,75
100561,999
101040,73
101041,999
101760,68
101761,999
103440,68
103441,999
103680,78
103681,999
104160,77
104161,999
104640,75
104641,999
105120,73
105121,999
105600,75
105601,999
107340,75
107341,999
107520,75
107521,999
107760,75
107761,999
108240,78
108241,999
108720,80
108721,999
108800,82
108801,999
109440,80
109441,999
109680,82
109681,999
110160,77
110161,999
111120,70
111121,999
111360,78
111361,999
111600,77
111601,999
112080,75
112081,999
112560,73
112561,999
113040,75
113041,999
113520,78
113521,999
113760,75
113761,999
115200,78
115201,999
115440,77
115441,999
115920,75
115921,999
116400,73
116401,999
116880,75
116881,999
117360,75
117361,999
117600,75
117601,999
118800,75
118801,999
119040,74
119041,999
119280,74
119281,999
119760,74
119761,999
120240,74
120241,999
120960,73
120961,999
126720,78
126721,999
126960,77
126961,999
127440,75
127441,999
127920,73
127921,999
128640,75
128641,999
130560,78
130561,999
130800,77
130801,999
131280,75
131281,999
131760,73
131761,999
132480,68
132481,999
134160,68
134161,999
134400,78
134401,999
134880,77
134881,999
135360,75
135361,999
135840,73
135841,999
136320,75
136321,999
138060,75
138061,999
138240,75
138241,999
138480,75
138481,999
138960,78
138961,999
139440,80
139441,999
139520,82
139521,999
140160,80
140161,999
140400,82
140401,999
140880,77
140881,999
141840,70
141841,999
142080,78
142081,999
142320,77
142321,999
142800,75
142801,999
143280,73
143281,999
143760,75
143761,999
144240,78
144241,999
144480,75
144481,999
145920,78
145921,999
146160,77
146161,999
146640,75
146641,999
147120,73
147121,999
147600,75
147601,999
148080,75
148081,999
148320,75
148321,999
149520,75
149521,999
149760,74
149761,999
150000,74
150001,999
150480,74
150481,999
150960,74
150961,999
151680,75
151681,999
197760,75
197761,999
198000,73
198001,999
198240,75
198241,999
198480,73
198481,999
198720,75
198721,999
198960,73
198961,999
199200,75
199201,999
199440,73
199441,999
199680,75
199681,999
199920,73
199921,999
200160,75
200161,999
200400,73
200401,999
200640,75
200641,999
200880,73
200881,999
201120,70
201121,999
201600,75
201601,999
201840,73
201841,999
202080,75
202081,999
202320,73
202321,999
202560,75
202561,999
202800,73
202801,999
203040,75
203041,999
203280,73
203281,999
203520,75
203521,999
203760,73
203761,999
204000,75
204001,999
204240,73
204241,999
204480,75
204481,999
204720,73
204721,999
204960,70
204961,999
205440,78
205441,999
205440,75
205441,999
205680,77
205681,999
205680,73
205681,999
205920,78
205921,999
205920,75
205921,999
206160,77
206161,999
206160,73
206161,999
206400,78
206401,999
206400,75
206401,999
206640,77
206641,999
206640,73
206641,999
206880,78
206881,999
206880,75
206881,999
207120,77
207121,999
207120,73
207121,999
207360,78
207361,999
207360,75
207361,999
207600,77
207601,999
207600,73
207601,999
207840,78
207841,999
207840,75
207841,999
208080,77
208081,999
208080,73
208081,999
208320,78
208321,999
208320,75
208321,999
208560,77
208561,999
208560,73
208561,999
208800,73
208801,999
208800,70
208801,999
209280,78
209281,999
209280,75
209281,999
209520,77
209521,999
209520,73
209521,999
209760,78
209761,999
209760,75
209761,999
210000,77
210001,999
210000,73
210001,999
210240,78
210241,999
210240,75
210241,999
210480,77
210481,999
210480,73
210481,999
210720,73
210721,999
210720,70
210721,999
211200,78
211201,999
211680,77
211681,999
212160,75
212161,999
212640,73
212641,999
213120,75
213121,999
215040,78
215041,999
215280,77
215281,999
215760,75
215761,999
216240,73
216241,999
216960,68
216961,999
218640,68
218641,999
218880,78
218881,999
219360,77
219361,999
219840,75
219841,999
220320,73
220321,999
220800,75
220801,999
222540,75
222541,999
222720,75
222721,999
222960,75
222961,999
223440,78
223441,999
223920,80
223921,999
224000,82
224001,999
224640,80
224641,999
224880,82
224881,999
225360,77
225361,999
226320,70
226321,999
226560,78
226561,999
226800,77
226801,999
227280,75
227281,999
227760,73
227761,999
228240,75
228241,999
228720,78
228721,999
228960,75
228961,999
230400,78
230401,999
230640,77
230641,999
231120,75
231121,999
231600,73
231601,999
232080,75
232081,999
232560,75
232561,999
232800,75
232801,999
234000,75
234001,999
234240,74
234241,999
234480,74
234481,999
234960,74
234961,999
235440,74
235441,999
236160,73
236161,999
240000,66
240001,999
241920,78
241921,999
242160,77
242161,999
242640,75
242641,999
243120,73
243121,999
243840,75
243841,999
245760,78
245761,999
246000,78
246001,999
246480,78
246481,999
246520,80
246521,999
246940,78
246941,999
247660,73
247661,999
249340,73
249341,999
249580,78
249581,999
250060,78
250061,999
250540,80
250541,999
251020,78
251021,999
251500,78
251501,999
251740,75
251741,999
253240,75
253241,999
253420,75
253421,999
253680,75
253681,999
254160,78
254161,999
254640,80
254641,999
254720,82
254721,999
255580,82
255581,999
256060,77
256061,999
257020,70
257021,999
257260,78
257261,999
257500,80
257501,999
257980,78
257981,999
258220,77
258221,999
258460,77
258461,999
258940,78
258941,999
259420,77
259421,999
259660,75
259661,999
261100,78
261101,999
261340,77
261341,999
261820,75
261821,999
262300,73
262301,999
262780,75
262781,999
263280,78
263281,999
263520,75
263521,999
264720,75
264721,999
265180,74
265181,999
265660,74
265661,999
266140,74
266141,999
266860,75
266861,999
267820,70
267821,999
268780,75
268781,999
269740,70
269741,999
270700,63
270701,999
