time,semitone
30720,79
30721,999
32700,79
32701,999
34140,79
34141,999
35040,79
35041,999
35940,79
35941,999
36900,79
36901,999
37920,79
37921,999
38880,79
38881,999
39720,79
39721,999
40800,52
40801,999
41040,52
41041,999
41280,54
41281,999
41760,57
41761,999
42000,59
42001,999
42960,57
42961,999
43200,61
43201,999
43680,59
43681,999
44640,52
44641,999
44880,52
44881,999
45120,54
45121,999
45600,57
45601,999
45840,59
45841,999
46560,64
46561,999
46800,64
46801,999
48480,52
48481,999
48720,52
48721,999
48960,54
48961,999
49440,57
49441,999
49680,59
49681,999
50640,57
50641,999
50880,61
50881,999
51360,59
51361,999
52320,52
52321,999
52560,52
52561,999
52800,54
52801,999
53280,64
53281,999
53520,64
53521,999
55680,66
55681,999
55920,66
55921,999
56160,66
56161,999
56880,66
56881,999
57120,66
57121,999
57360,69
57361,999
57600,66
57601,999
58080,64
58081,999
58320,64
58321,999
59520,62
59521,999
59760,62
59761,999
60000,62
60001,999
60720,62
60721,999
60960,62
60961,999
61200,64
61201,999
61440,62
61441,999
61920,61
61921,999
62160,61
62161,999
63360,66
63361,999
63600,66
63601,999
63840,66
63841,999
64560,66
64561,999
64800,66
64801,999
65040,69
65041,999
65280,66
65281,999
65760,64
65761,999
66000,64
66001,999
66480,64
66481,999
66720,66
66721,999
66960,69
66961,999
67200,71
67201,999
68160,69
68161,999
68880,68
68881,999
72960,73
72961,999
73200,72
73201,999
73440,73
73441,999
73680,69
73681,999
74160,64
74161,999
74400,66
74401,999
74640,69
74641,999
74880,73
74881,999
75120,72
75121,999
75360,73
75361,999
75600,69
75601,999
76080,64
76081,999
76320,66
76321,999
76560,69
76561,999
76800,73
76801,999
77280,73
77281,999
77760,71
77761,999
78240,69
78241,999
78480,73
78481,999
78960,71
78961,999
80640,73
80641,999
80880,72
80881,999
81120,73
81121,999
81360,69
81361,999
81840,64
81841,999
82080,66
82081,999
82320,69
82321,999
82560,73
82561,999
82800,72
82801,999
83040,73
83041,999
83280,69
83281,999
83760,64
83761,999
84000,66
84001,999
84240,69
84241,999
84480,73
84481,999
84960,73
84961,999
85440,71
85441,999
85920,69
85921,999
86160,73
86161,999
86640,71
86641,999
88320,66
88321,999
88560,66
88561,999
88800,66
88801,999
89520,66
89521,999
89760,66
89761,999
90000,69
90001,999
90240,66
90241,999
90720,64
90721,999
90960,64
90961,999
92160,62
92161,999
92400,62
92401,999
92640,62
92641,999
93360,62
93361,999
93600,62
93601,999
93840,64
93841,999
94080,62
94081,999
94560,61
94561,999
94800,61
94801,999
96000,66
96001,999
96240,66
96241,999
96480,66
96481,999
97200,66
97201,999
97440,66
97441,999
97680,69
97681,999
97920,66
97921,999
98400,64
98401,999
98640,64
98641,999
99120,64
99121,999
99360,66
99361,999
99600,69
99601,999
99840,71
99841,999
100800,69
100801,999
101520,68
101521,999
103680,73
103681,999
103920,72
103921,999
104160,73
104161,999
104400,69
104401,999
104880,64
104881,999
105120,66
105121,999
105360,69
105361,999
105600,73
105601,999
105840,72
105841,999
106080,73
106081,999
106320,69
106321,999
106800,64
106801,999
107040,66
107041,999
107280,69
107281,999
107520,73
107521,999
108000,73
108001,999
108480,71
108481,999
108960,69
108961,999
109200,73
109201,999
109680,71
109681,999
111360,73
111361,999
111600,72
111601,999
111840,73
111841,999
112080,69
112081,999
112560,64
112561,999
112800,66
112801,999
