time,semitone
28800,72
28801,999
29280,79
29281,999
29760,75
29761,999
30240,74
30241,999
31200,72
31201,999
31680,71
31681,999
32400,69
32401,999
32640,71
32641,999
33120,72
33121,999
34560,72
34561,999
35040,79
35041,999
35520,75
35521,999
36000,74
36001,999
36960,72
36961,999
37440,70
37441,999
38160,67
38161,999
38400,70
38401,999
38880,72
38881,999
40320,72
40321,999
40800,79
40801,999
41280,75
41281,999
41760,74
41761,999
42720,72
42721,999
43200,71
43201,999
44160,72
44161,999
44400,74
44401,999
44640,75
44641,999
45840,72
45841,999
46080,72
46081,999
46560,79
46561,999
47040,75
47041,999
47520,77
47521,999
48960,74
48961,999
49440,70
49441,999
49920,67
49921,999
50400,72
50401,999
57600,72
57601,999
58080,79
58081,999
58560,75
58561,999
59040,74
59041,999
60000,72
60001,999
60240,72
60241,999
60480,71
60481,999
61440,69
61441,999
61680,71
61681,999
61920,72
61921,999
63360,72
63361,999
63840,79
63841,999
64320,75
64321,999
64800,74
64801,999
65760,72
65761,999
66240,70
66241,999
66960,67
66961,999
67200,70
67201,999
67680,72
67681,999
69120,72
69121,999
69600,79
69601,999
70080,75
70081,999
70560,74
70561,999
71520,72
71521,999
72000,71
72001,999
72960,72
72961,999
73200,74
73201,999
73440,75
73441,999
74640,72
74641,999
74880,72
74881,999
75360,79
75361,999
75840,75
75841,999
76320,77
76321,999
77760,74
77761,999
78240,70
78241,999
78720,67
78721,999
79200,72
79201,999
83520,84
83521,999
84240,84
84241,999
84960,82
84961,999
85680,77
85681,999
86400,79
86401,999
87600,75
87601,999
87840,74
87841,999
88320,75
88321,999
88800,77
88801,999
89280,79
89281,999
90000,79
90001,999
90720,77
90721,999
91440,74
91441,999
92160,75
92161,999
95040,84
95041,999
95760,84
95761,999
96480,82
96481,999
97200,77
97201,999
97920,79
97921,999
99120,79
99121,999
99360,79
99361,999
99840,80
99841,999
100320,79
100321,999
100800,79
100801,999
101520,80
101521,999
102240,79
102241,999
102960,80
102961,999
103680,79
103681,999
106560,84
106561,999
107280,84
107281,999
108000,82
108001,999
108720,77
108721,999
109440,79
109441,999
110640,75
110641,999
110880,74
110881,999
111360,75
111361,999
111840,77
111841,999
112320,79
112321,999
113040,79
113041,999
113760,77
113761,999
114480,74
114481,999
115200,75
115201,999
118080,84
118081,999
118800,87
118801,999
119520,86
119521,999
120240,79
120241,999
120960,89
120961,999
121920,87
121921,999
122400,86
122401,999
122880,87
122881,999
123360,86
123361,999
123840,84
123841,999
126720,87
126721,999
127440,87
127441,999
128160,86
128161,999
128880,79
128881,999
129600,84
129601,999
132480,72
132481,999
132960,79
132961,999
133440,75
133441,999
133920,74
133921,999
134880,72
134881,999
135360,71
135361,999
136080,69
136081,999
136320,71
136321,999
136800,72
136801,999
138240,72
138241,999
138720,79
138721,999
139200,75
139201,999
139680,74
139681,999
140640,72
140641,999
141120,70
141121,999
141840,67
141841,999
142080,70
142081,999
142560,72
142561,999
144000,72
144001,999
144480,79
144481,999
144960,75
144961,999
145440,74
145441,999
145680,74
145681,999
146400,72
146401,999
146880,71
146881,999
147840,72
147841,999
148080,74
148081,999
148320,75
148321,999
149520,72
149521,999
149760,72
149761,999
150240,79
