time,semitone
26400,75
26401,999
26640,76
26641,999
26880,75
26881,999
27120,71
27121,999
27360,66
27361,999
27600,68
27601,999
28560,71
28561,999
28800,75
28801,999
29040,76
29041,999
29280,75
29281,999
29520,76
29521,999
29760,75
29761,999
30240,68
30241,999
30480,71
30481,999
30960,73
30961,999
34080,71
34081,999
34320,69
34321,999
34560,68
34561,999
34920,69
34921,999
35280,76
35281,999
35760,78
35761,999
36240,79
36241,999
36720,78
36721,999
37200,76
37201,999
37680,72
37681,999
38160,71
38161,999
41760,75
41761,999
42000,76
42001,999
42240,75
42241,999
42480,71
42481,999
42720,66
42721,999
42960,68
42961,999
43920,71
43921,999
44160,75
44161,999
44400,76
44401,999
44640,75
44641,999
44880,76
44881,999
45120,75
45121,999
45600,71
45601,999
45840,68
45841,999
46320,73
46321,999
49440,71
49441,999
49680,69
49681,999
49920,68
49921,999
50280,69
50281,999
50640,76
50641,999
51120,78
51121,999
51600,79
51601,999
52080,78
52081,999
52560,76
52561,999
53040,78
53041,999
53520,80
53521,999
57120,80
57121,999
57360,78
57361,999
57600,73
57601,999
57840,80
57841,999
58080,78
58081,999
58320,73
58321,999
59040,80
59041,999
59280,78
59281,999
59520,73
59521,999
59760,80
59761,999
60000,78
60001,999
60240,72
60241,999
60960,72
60961,999
61200,71
61201,999
65040,73
65041,999
65280,80
65281,999
65760,81
65761,999
66000,73
66001,999
66480,76
66481,999
66960,79
66961,999
67440,78
67441,999
67920,76
67921,999
68400,78
68401,999
68880,80
68881,999
72480,80
72481,999
72720,78
72721,999
72960,73
72961,999
73200,80
73201,999
73440,78
73441,999
73680,73
73681,999
74400,80
74401,999
74640,78
74641,999
74880,72
74881,999
75120,80
75121,999
75360,78
75361,999
75600,81
75601,999
76080,80
76081,999
76560,78
76561,999
76800,71
76801,999
77280,73
77281,999
77760,75
77761,999
78120,76
78121,999
78480,80
78481,999
80400,73
80401,999
80640,80
80641,999
81120,81
81121,999
81360,73
81361,999
81840,76
81841,999
82320,79
82321,999
82800,78
82801,999
101280,75
101281,999
101520,76
101521,999
101760,75
101761,999
102000,71
102001,999
102240,66
102241,999
102480,68
102481,999
103440,71
103441,999
103680,75
103681,999
103920,76
103921,999
104160,75
104161,999
104400,76
104401,999
104640,75
104641,999
105120,71
105121,999
105360,68
105361,999
105840,73
105841,999
108960,71
108961,999
109200,69
109201,999
109440,68
109441,999
109800,69
109801,999
110160,76
110161,999
110640,78
110641,999
111120,79
111121,999
111600,78
111601,999
112080,76
112081,999
112560,78
112561,999
113040,80
113041,999
116640,80
116641,999
116880,78
116881,999
117120,73
117121,999
117360,80
117361,999
117600,78
117601,999
117840,73
117841,999
118560,80
118561,999
118800,78
118801,999
119040,73
119041,999
119280,80
119281,999
119520,78
119521,999
119760,72
119761,999
120480,72
120481,999
120720,71
120721,999
124560,73
124561,999
124800,80
124801,999
125280,81
125281,999
125520,73
125521,999
126000,76
126001,999
126480,79
126481,999
126960,78
126961,999
127440,76
127441,999
127920,78
127921,999
128400,80
128401,999
132000,80
132001,999
132240,78
132241,999
132480,73
132481,999
132720,80
132721,999
132960,78
132961,999
133200,73
133201,999
133920,80
133921,999
134160,78
134161,999
134400,72
134401,999
134640,80
134641,999
134880,78
134881,999
135120,81
135121,999
135600,80
135601,999
136080,78
136081,999
136320,71
136321,999
136800,73
136801,999
137280,75
137281,999
137640,76
137641,999
138000,80
138001,999
139920,73
139921,999
140160,80
140161,999
140640,81
140641,999
140880,73
140881,999
141360,76
141361,999
141840,79
141841,999
142320,78
142321,999
146160,75
146161,999
146400,75
146401,999
146640,75
146641,999
146880,78
146881,999
147360,80
147361,999
147840,76
147841,999
