time,semitone
17040,72
17041,999
39840,69
39841,999
40320,76
40321,999
41040,76
41041,999
41760,76
41761,999
42240,76
42241,999
42960,76
42961,999
44160,76
44161,999
44640,74
44641,999
44880,72
44881,999
45360,74
45361,999
46080,76
46081,999
46800,79
46801,999
47520,76
47521,999
49440,71
49441,999
55200,69
55201,999
55680,76
55681,999
56400,76
56401,999
57120,76
57121,999
57600,76
57601,999
59040,72
59041,999
59520,76
59521,999
60000,74
60001,999
60480,72
60481,999
60960,74
60961,999
61920,76
61921,999
62640,79
62641,999
63360,76
63361,999
70560,79
70561,999
71040,81
71041,999
71760,79
71761,999
72480,76
72481,999
72960,74
72961,999
73680,72
73681,999
74880,81
74881,999
75360,79
75361,999
75840,76
75841,999
76320,74
76321,999
77280,76
77281,999
78000,74
78001,999
78720,76
78721,999
85920,72
85921,999
86400,81
86401,999
87120,79
87121,999
87840,76
87841,999
88320,74
88321,999
89040,72
89041,999
90240,81
90241,999
90720,79
90721,999
90960,76
90961,999
91680,76
91681,999
92640,79
92641,999
93360,76
93361,999
94080,76
94081,999
101280,72
101281,999
101760,79
101761,999
102480,77
102481,999
103200,75
103201,999
103680,75
103681,999
104400,72
104401,999
105600,79
105601,999
106320,77
106321,999
106920,75
106921,999
107520,74
107521,999
108960,74
108961,999
110280,74
110281,999
111360,74
111361,999
116160,72
116161,999
117120,79
117121,999
117840,77
117841,999
118560,75
118561,999
119040,75
119041,999
119760,72
119761,999
120960,79
120961,999
121680,77
121681,999
122280,75
122281,999
122880,79
122881,999
123600,79
123601,999
124320,79
124321,999
125280,79
125281,999
126000,77
126001,999
126720,79
126721,999
130560,81
130561,999
131520,79
131521,999
132480,76
132481,999
133440,72
133441,999
134400,74
134401,999
134880,72
134881,999
135120,74
135121,999
135600,72
135601,999
136080,74
136081,999
136800,72
136801,999
137280,74
137281,999
137760,72
137761,999
138240,74
138241,999
139200,74
139201,999
139680,72
139681,999
139920,74
139921,999
140520,72
140521,999
141120,74
141121,999
141600,72
141601,999
142080,76
142081,999
143040,76
143041,999
143520,74
143521,999
143760,76
143761,999
144480,74
144481,999
144960,76
144961,999
145440,74
145441,999
145920,76
145921,999
146400,72
146401,999
146880,72
146881,999
147360,72
147361,999
147840,81
147841,999
148080,79
148081,999
148560,76
148561,999
149040,74
149041,999
149760,74
149761,999
150720,74
150721,999
151200,72
151201,999
151440,74
151441,999
152160,72
152161,999
152640,74
152641,999
153120,72
153121,999
153600,74
153601,999
154560,74
154561,999
155040,72
155041,999
155280,74
155281,999
155880,72
155881,999
156480,74
156481,999
156960,72
156961,999
157440,76
157441,999
158400,76
158401,999
158880,74
158881,999
159120,76
159121,999
159840,74
159841,999
160320,76
160321,999
160800,74
160801,999
161280,76
161281,999
161760,72
161761,999
162240,72
162241,999
162720,72
162721,999
163200,81
163201,999
163440,79
163441,999
163920,76
163921,999
164400,74
164401,999
165120,74
165121,999
235680,78
235681,999
236160,78
236161,999
236880,78
236881,999
237600,78
237601,999
238080,78
238081,999
238800,78
238801,999
240000,82
240001,999
240720,80
240721,999
241320,78
241321,999
241920,82
241921,999
243360,79
243361,999
244680,74
244681,999
245760,82
245761,999
251040,78
251041,999
251520,78
251521,999
252240,78
252241,999
252960,78
252961,999
253440,78
253441,999
254160,78
254161,999
254880,78
254881,999
255360,78
255361,999
256080,78
256081,999
256680,80
256681,999
257280,82
257281,999
258000,82
258001,999
258720,82
258721,999
259680,82
259681,999
260400,80
260401,999
261120,82
261121,999
264960,87
264961,999
265920,84
265921,999
266880,82
266881,999
267840,79
267841,999
268800,75
268801,999
269280,74
269281,999
269520,75
269521,999
270000,74
270001,999
270480,75
270481,999
271200,74
271201,999
271680,75
271681,999
272160,74
272161,999
272640,75
272641,999
273600,75
273601,999
274080,74
274081,999
274320,75
274321,999
274920,74
274921,999
275520,75
275521,999
276000,74
276001,999
276480,77
276481,999
277440,77
277441,999
277920,75
277921,999
278160,77
278161,999
278880,75
278881,999
279360,77
279361,999
279840,75
279841,999
280320,77
280321,999
280800,75
280801,999
281280,75
281281,999
281760,75
281761,999
282240,84
282241,999
282480,82
282481,999
282960,79
282961,999
283440,77
283441,999
284160,75
284161,999
285120,75
285121,999
285600,74
285601,999
286080,75
286081,999
286560,74
286561,999
287040,75
287041,999
287520,74
287521,999
288000,75
288001,999
288960,75
288961,999
289440,74
289441,999
289680,75
289681,999
290280,74
290281,999
290880,75
290881,999
291360,74
291361,999
291840,77
291841,999
292800,77
292801,999
293280,75
293281,999
293520,77
293521,999
294240,75
294241,999
294720,77
294721,999
295200,75
295201,999
295680,77
295681,999
296160,75
296161,999
296640,75
296641,999
297120,75
297121,999
297600,84
297601,999
297840,82
297841,999
298320,79
298321,999
298800,77
298801,999
299520,75
299521,999
300000,74
300001,999
300240,75
300241,999
300720,74
300721,999
301200,75
301201,999
301920,74
301921,999
302400,75
302401,999
302880,74
302881,999
303360,75
303361,999
304320,75
304321,999
304800,74
304801,999
305040,75
305041,999
305640,74
305641,999
306240,75
306241,999
306720,74
306721,999
307200,77
307201,999
308160,77
308161,999
308640,75
308641,999
308880,77
308881,999
309600,75
309601,999
310080,77
310081,999
310560,75
310561,999
311040,77
311041,999
311520,75
311521,999
312000,75
312001,999
312480,75
312481,999
312960,84
312961,999
313200,82
313201,999
313680,79
313681,999
314160,77
314161,999
314880,75
314881,999
315840,75
315841,999
316320,74
316321,999
316800,75
316801,999
317280,74
317281,999
317760,75
317761,999
318240,74
318241,999
318720,75
318721,999
319680,75
319681,999
320160,74
320161,999
320400,75
320401,999
321000,74
321001,999
321600,75
321601,999
322080,74
322081,999
322560,77
322561,999
323520,77
323521,999
324000,75
324001,999
324240,77
324241,999
324960,75
324961,999
325440,77
325441,999
325920,75
325921,999
326400,77
326401,999
326880,75
326881,999
327360,75
327361,999
327840,75
327841,999
328320,84
328321,999
328560,82
328561,999
329040,79
329041,999
329520,77
329521,999
330240,75
330241,999
330720,74
330721,999
330960,75
330961,999
331440,74
331441,999
331920,75
331921,999
332640,74
332641,999
333120,75
333121,999
333600,74
333601,999
334080,75
334081,999
335040,75
335041,999
335520,74
335521,999
335760,75
335761,999
336360,74
336361,999
336960,75
336961,999
337440,74
337441,999
337920,77
337921,999
338880,77
338881,999
339360,75
339361,999
339600,77
339601,999
340320,75
340321,999
340800,77
340801,999
341280,75
341281,999
341760,77
341761,999
342240,75
342241,999
342720,75
342721,999
343200,75
343201,999
343680,84
343681,999
343920,82
343921,999
344400,79
344401,999
344880,77
344881,999
345600,75
345601,999
349920,75
349921,999
350400,75
350401,999
350880,75
350881,999
351360,84
351361,999
351600,82
351601,999
352080,79
352081,999
352560,77
352561,999
353280,77
353281,999
354720,77
354721,999
