time,semitone
9120,79
9121,999
9600,77
9601,999
9840,76
9841,999
10080,77
10081,999
10140,76
10141,999
10320,79
10321,999
11520,79
11521,999
12000,79
12001,999
12480,79
12481,999
12960,79
12961,999
13440,77
13441,999
13680,79
13681,999
13860,77
13861,999
14040,76
14041,999
14580,74
14581,999
15300,72
15301,999
22800,67
22801,999
23040,67
23041,999
23280,67
23281,999
23520,67
23521,999
23760,67
23761,999
24000,69
24001,999
24480,72
24481,999
24720,69
24721,999
25140,67
25141,999
26640,67
26641,999
26820,67
26821,999
27300,67
27301,999
27780,69
27781,999
28320,72
28321,999
28500,69
28501,999
28980,67
28981,999
30420,72
30421,999
30660,72
30661,999
30900,72
30901,999
31140,72
31141,999
31380,72
31381,999
31620,74
31621,999
32100,76
32101,999
32340,72
32341,999
33060,72
33061,999
33600,74
33601,999
34080,76
34081,999
34560,76
34561,999
35520,77
35521,999
36420,74
36421,999
38160,67
38161,999
38400,69
38401,999
38400,67
38401,999
38640,67
38641,999
38880,67
38881,999
39120,67
39121,999
39360,69
39361,999
39840,72
39841,999
40080,69
40081,999
40560,67
40561,999
42000,67
42001,999
42000,65
42001,999
42240,67
42241,999
42480,67
42481,999
42660,67
42661,999
42900,67
42901,999
43200,69
43201,999
43680,72
43681,999
43920,69
43921,999
44400,67
44401,999
45840,72
45841,999
46080,72
46081,999
46260,72
46261,999
46500,72
46501,999
46740,72
46741,999
46980,74
46981,999
47460,76
47461,999
47700,72
47701,999
48480,72
48481,999
48900,74
48901,999
49440,76
49441,999
49860,76
49861,999
50820,77
50821,999
51780,74
51781,999
52560,79
52561,999
52980,77
52981,999
53220,76
53221,999
53460,74
53461,999
53760,72
53761,999
54660,74
54661,999
54720,76
54721,999
55680,74
55681,999
56340,67
56341,999
57120,74
57121,999
57600,76
57601,999
58320,72
58321,999
59040,76
59041,999
59520,77
59521,999
60240,72
60241,999
62280,79
62281,999
62700,79
62701,999
62880,79
62881,999
63120,79
63121,999
63360,79
63361,999
63840,77
63841,999
64320,76
64321,999
64800,74
64801,999
65280,76
65281,999
66000,79
66001,999
66420,79
66421,999
66660,79
66661,999
66900,81
66901,999
67140,79
67141,999
67680,77
67681,999
68160,76
68161,999
68640,74
68641,999
69120,76
69121,999
69840,79
69841,999
70320,79
70321,999
70560,79
70561,999
70800,79
70801,999
71040,74
71041,999
71520,77
71521,999
72000,76
72001,999
72480,74
72481,999
72960,76
72961,999
73260,72
73261,999
73440,74
73441,999
73680,72
73681,999
74160,69
74161,999
74400,71
74401,999
74580,72
74581,999
75360,74
75361,999
75600,76
75601,999
76020,77
76021,999
76560,74
76561,999
77460,76
77461,999
77520,79
77521,999
77520,77
77521,999
78000,79
78001,999
78180,79
78181,999
78420,79
78421,999
78720,79
78721,999
79200,77
79201,999
79680,76
79681,999
79920,74
79921,999
80400,76
80401,999
81420,79
81421,999
81840,79
81841,999
82080,79
82081,999
82320,81
82321,999
82560,79
82561,999
83040,77
83041,999
83520,76
83521,999
83760,74
83761,999
84180,76
84181,999
85200,79
85201,999
85680,79
85681,999
85920,79
85921,999
86100,79
86101,999
86400,74
86401,999
86880,77
86881,999
87360,76
87361,999
87840,74
87841,999
88320,76
88321,999
88620,72
88621,999
88800,74
88801,999
89040,72
89041,999
89460,69
89461,999
89700,71
89701,999
89940,72
89941,999
90720,74
90721,999
90960,76
90961,999
91380,77
91381,999
91860,74
91861,999
93360,72
93361,999
93600,71
93601,999
93900,72
93901,999
97920,79
97921,999
98400,79
98401,999
98880,79
98881,999
99360,79
99361,999
99840,77
99841,999
100080,79
100081,999
100260,77
100261,999
100500,79
100501,999
101760,79
101761,999
102240,79
102241,999
102720,79
102721,999
103140,79
103141,999
103680,77
103681,999
103920,79
103921,999
104100,77
104101,999
104340,76
104341,999
104820,74
104821,999
105300,72
105301,999
113040,67
113041,999
113280,67
113281,999
113520,67
113521,999
113700,67
113701,999
114000,67
114001,999
114180,69
114181,999
114720,72
114721,999
114960,69
114961,999
115380,67
115381,999
116820,67
116821,999
117120,67
117121,999
117360,67
117361,999
117600,67
117601,999
117780,67
117781,999
118020,69
118021,999
118560,72
118561,999
118800,69
118801,999
119220,67
119221,999
120720,72
120721,999
120900,72
120901,999
121140,72
121141,999
121380,72
121381,999
121620,72
121621,999
121860,74
121861,999
121920,72
121921,999
122340,76
122341,999
122640,72
122641,999
123360,72
123361,999
123840,74
123841,999
124320,76
124321,999
124800,76
124801,999
125760,77
125761,999
125760,76
125761,999
125760,74
125761,999
125760,72
125761,999
126480,74
126481,999
127380,79
127381,999
127380,77
127381,999
127380,76
127381,999
127860,77
127861,999
128100,76
128101,999
128340,74
128341,999
128640,72
128641,999
129540,74
129541,999
129600,76
129601,999
130500,74
130501,999
131220,67
131221,999
132000,74
132001,999
132480,76
132481,999
133200,72
133201,999
133920,76
133921,999
134400,77
134401,999
135120,72
135121,999
137160,79
137161,999
137580,79
137581,999
137760,79
137761,999
138060,79
138061,999
138240,79
138241,999
138720,77
138721,999
139200,76
139201,999
139680,74
139681,999
140160,76
140161,999
140880,79
140881,999
141360,79
141361,999
141600,81
141601,999
141600,79
141601,999
142020,81
142021,999
142560,77
142561,999
143040,76
143041,999
143280,74
143281,999
143760,76
143761,999
144660,77
144661,999
144720,79
144721,999
145140,79
145141,999
145380,79
145381,999
145620,79
145621,999
145920,74
145921,999
146400,77
146401,999
146880,76
146881,999
147360,74
147361,999
147840,76
147841,999
148140,72
148141,999
148320,74
148321,999
148560,72
148561,999
149040,69
149041,999
149280,71
149281,999
149520,72
149521,999
150300,74
150301,999
150480,76
150481,999
150960,77
150961,999
150960,76
150961,999
151440,74
151441,999
152340,76
152341,999
152400,79
152401,999
152400,77
152401,999
152880,79
152881,999
153120,79
153121,999
153300,79
153301,999
153540,79
153541,999
154080,77
154081,999
154560,76
154561,999
154800,74
154801,999
155280,76
155281,999
156240,79
156241,999
156720,79
156721,999
156900,79
156901,999
157140,81
157141,999
157380,79
157381,999
157920,77
157921,999
158400,76
158401,999
158640,74
158641,999
159120,76
159121,999
160080,79
160081,999
160560,79
160561,999
160800,79
160801,999
161280,74
161281,999
161820,77
161821,999
162240,76
162241,999
162720,74
162721,999
163200,76
163201,999
163500,72
163501,999
163680,74
163681,999
163920,72
163921,999
164400,69
164401,999
164640,71
164641,999
164880,72
164881,999
164880,71
164881,999
165600,74
165601,999
165840,76
165841,999
